Entry ID,Entry JP Name,Element ID,[Element Name],Order,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Speed,Effect SP,Pad 1,Pad 2,Effect Base,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad 3,Pad 4,Pad 5,Ship Occ ID,[Ship Occ Name],Pad 6,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Ship Eff Base,Unk,Pad 7,Pad 8,Pad 9,[JP Descr Pos],[JP Descr Size],JP Descr Str
0,アパ,1,Red,120,0b0011,"",X,X,21,Incr Attack & Defense,1,Single PC,6,Magic,0,2,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,124,???,15,8,100,-1,0,0,0,0x2adf00,84,味方１人をパワーアップの状態にする。\nなんとヴァイスだけは技もパワーアップするぞ!!
1,アポス,1,Red,121,0b0011,"",X,X,21,Incr Attack & Defense,2,All PCs,6,Magic,0,5,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,124,???,30,12,200,-1,0,0,0,0x2adf54,72,パワーアップЖ術の第２段階です。\nＰＣ全員の攻撃力、防御力が上がります。
2,サイレシャ,2,Purple,20,0b0011,"",X,X,12,Silence,3,Single EC,6,Magic,0,2,0,0,0,0,Physical,5,Silence,40,0,0,0,1,Always,0,-1,None,0,-1,0,-1,0,0,0,0x2adf9c,52,沈黙Ж術です。\nＥＣ単体のЖ術を一定確率で封じます。
3,パニカ,2,Purple,130,0b0010,"",X,"",11,Confusion,3,Single EC,6,Magic,0,3,0,0,0,0,Physical,4,Confusion,60,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2adfd0,72,敵１体を混乱の状態にする。\n混乱した敵はいちばん近くの誰かを攻撃するぞ!!
4,ダウナ,4,Yellow,140,0b0011,"",X,X,26,Decr All Attr,3,Single EC,6,Magic,0,2,0,0,0,0,Physical,8,Weak,60,0,0,0,0,Magic Cannon,0,130,???,15,4,50,-1,0,0,0,0x2ae018,76,能力値ダウンЖ術の第１段階です。\nＥＣ単体の全能力値を一定確率で下げます。
5,ダウノス,4,Yellow,141,0b0011,"",X,X,26,Decr All Attr,4,All ECs,6,Magic,0,5,0,0,0,0,Physical,8,Weak,60,0,0,0,0,Magic Cannon,0,130,???,30,8,100,-1,0,0,0,0x2ae064,76,能力値ダウンЖ術の第２段階です。\nＥＣ全体の全能力値を一定確率で下げます。
6,サプラ,0,Green,40,0b0111,X,X,X,31,Recover HP,1,Single PC,6,Magic,0,2,0,0,250,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP,10,0,3000,-1,0,0,0,0x2ae0b0,76,味方１人のＨＰを２５０ｐ回復する。\n消費ガッツが少ないので序盤で重宝するぞ!!
7,サプリィ,0,Green,41,0b0111,X,X,X,31,Recover HP,1,Single PC,6,Magic,0,5,0,0,1000,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP,15,0,15000,-1,0,0,0,0x2ae0fc,64,ＨＰ回復Ж術の第２段階です。\nＰＣ１人のＨＰを中量回復します。
8,サプレス,0,Green,42,0b0111,X,X,X,31,Recover HP,2,All PCs,6,Magic,0,5,0,0,500,0,Physical,0,Poison,0,0,0,0,1,Always,0,102,Recover SP,20,5,3000,-1,0,0,0,0x2ae13c,76,味方全員の体力を５００ｐ回復する。\n全体攻撃を持つ敵と戦うときの必需品だぞ!!
9,サプローネ,0,Green,43,0b0111,X,X,X,32,Recover HP of 100%,1,Single PC,6,Magic,0,12,0,0,9999,0,Physical,0,Poison,0,0,0,0,1,Always,0,101,Recover HP by 100%,20,0,0,-1,0,0,0,0x2ae188,64,ＨＰ回復Ж術の第４段階です。\nＰＣ１人のＨＰを完全回復します。
10,プワザ,0,Green,50,0b0010,"",X,"",4,Poison + Damage,3,Single EC,6,Magic,0,2,0,0,20,1,Magical,0,Poison,50,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2ae1c8,84,敵１体にダメージを与えた上、毒の状態にする。\n戦闘の前半に使った方がお得なЖ術だ!!
11,プワゾーク,0,Green,51,0b0010,"",X,"",4,Poison + Damage,4,All ECs,6,Magic,0,6,0,0,130,1,Magical,0,Poison,50,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2ae21c,72,毒攻撃Ж術の第２段階です。\nＥＣ全体にダメージと一定確率で毒を与えます。
12,スリーパ,3,Blue,110,0b0010,"",X,"",9,Sleep,4,All ECs,6,Magic,0,2,0,0,0,0,Physical,3,Sleep,50,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2ae264,48,睡眠Ж術です。\nＥＣ全体を一定確率で眠らせます。
