[Event Name],Task ID
MC0010005,"\h(《アイカ》)ふー、無事に通れたね。
まずは第一関門突破って
カンジかな？\e"
MC0010006,"\h(《ヴァイス》)ああ。
いよいよ、バルアに潜入だな。\e"
MC0010007,\h(《ヴァイス》)……！\e
MC0010008,"\h(《アイカ》)な……
何あれ!?\e"
MC0010009,"\h(《ドラクマ》)あれがバルア帝都への
唯一の入り口……
「ガルガンチュア要塞」だ。\e"
MC0010010,"\h(《ドラクマ》)険しい山脈に囲まれた
バルア帝都に入るには
あの要塞を通るしかない。\e"
MC0010011,"\h(《ヴァイス》)うはあ……
よくこんなもの造ったなあ。\e"
MC0010012,"\h(《ドラクマ》)20年前のナスルとの戦争では
100を超えるナスル戦艦が
この要塞に一斉砲撃をくわえた。\e"
MC0010013,"\h(《ドラクマ》)が、砲弾はその城壁に
すべてはじき返されたという。
文字どおりの「鉄の壁」だ。\e"
MC0010014,"\h(《アイカ》)あ！
なんか動き始めた！\e"
MC0010015,"\h(《ドラクマ》)要塞の扉は
船の通行のために
一日に一回だけ開かれる。\e"
MC0010016,"\h(《ドラクマ》)裏には要塞砲が壁一面に
設置されている。ナスルの艦隊は
要塞砲に全滅させられたのだ。\e"
MC0010017,"\h(《ヴァイス》)防御と攻撃……
表裏一体の要塞ってわけか。\e"
MC0010018,"\h(《アイカ》)ファイナやダイン船長は
あの奥にいるのね……\e"
MC0010019,"\h(《ドラクマ》)バルアに捕まって
あの要塞から出てきた空賊は
過去、誰一人としていない。\e"
MC0010020,"\h(《ドラクマ》)もっとも、外に出る方法は
一つだけあると
言われているがな。\e"
MC0010021,\h(《ヴァイス》)方法？\e
MC0010022,"\h(《ドラクマ》)処刑されれば死体となって
要塞の外に放り出される。それが
唯一の外に出る方法だそうだ。\e"
MC0010023,"\h(《アイカ》)晴れて自由の身になれるのは
死んだ時、ってワケですか。\e"
MC0010024,"\h(《ヴァイス》)そういうことを聞くと
逆に燃えてくるぜ！\e"
MC0010025,"\h(《ヴァイス》)みんなを救出して
絶対にバルアを脱出してやる。
必ずこの空に戻って見せる！\e"
"",me406x.sct
"",e6o005
"",a403x_eff.mld
"",a400x_ef3.mld
"",a403x_ef2.mld
"",a403x_ef2.mld
"",a403x_eff.mld
"",a400x_ef3.mld
"",M0314
"",e6o005
"",a243ac01.mld
"",a243ac01.mld
"",a243ac01.mld
