[Event Name],Task ID
MA0140000,"\h(《アイカ》)はあ……
よーやく止まったよ。
なんだったの、これ？\e"
MA0140001,"\h(《ヴァイス》)古代の石像かな？
それよりアイカ、はやく月Ж石を
確保しようぜ。\e"
MA0140002,\h(《アイカ》)オーケィ！\e
MA0140003,"\h(《アイカ》)わあ……
おっきい月Ж石！\e"
MA0140004,"\h(《ヴァイス》)苦労したかいがあったな。
これでしばらく
燃料には困らないぜ！\e"
MA0140005,"\h(《アイカ》)きれい……
こうやって、お宝探しをするのも
空賊の醍醐味だよね！\e"
MA0140006,\h(《アイカ》)フフッ、みんな喜ぶだろーな！\e
MA0140007,\h(《ヴァイス・アイカ》)イェイ！\e
MA0210000,\h(《アイカ》)やっと着いたね、ヴァイス。\e
MA0210001,"\h(《ヴァイス》)ああ。
しかし、これだけの大きさだと
上まで運ぶのも一苦労だな。\e"
MA0210002,\h(《アイカ》)きゃあっ！\e
MA0210003,\h(《ヴァイス》)どうした、アイカ!?\e
MA0210004,"\h(《アイカ》)ヴァイス……
こ、これ……！\e"
"",me199e.sct
"",a103ya21.mld
"",M0250
"",e6a021
"",a103ya21.mld
"",a103ya14.mld
"",M0250
"",e6a014
"",M0243
"",a103ya14.mld
"",me199d.sct
"",me199c.sct
