Entry ID,[Filter],[EC ID],[EC JP Name],[EC US Name],State ID,[State Name],Unk 1,Unk 2,Motion ID,[Motion Name],Motion Flags,Param ID,[Param Name],Unk 3,Blend Time,Play Rate
0,MB000.STD,0,軍艦兵,Battleship Soldier,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.00
1,MB000.STD,0,軍艦兵,Battleship Soldier,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,5.00,1.00
2,MB000.STD,0,軍艦兵,Battleship Soldier,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
3,MB000.STD,0,軍艦兵,Battleship Soldier,4,Close Attack,1,8,3,Close Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
4,MB000.STD,0,軍艦兵,Battleship Soldier,8,Critical Attack,1,8,4,Critical Attack,0b10001000001000000000000000000000,-1,None,0,5.00,1.00
5,MB000.STD,0,軍艦兵,Battleship Soldier,9,Take Damage 1,1,11,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
6,MB000.STD,0,軍艦兵,Battleship Soldier,5,Ranged Attack,1,8,6,Ranged Attack,0b10001000000000000000000000000000,-1,None,0,5.00,0.80
7,MB000.STD,0,軍艦兵,Battleship Soldier,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MB000.STD,0,軍艦兵,Battleship Soldier,11,Take Damage 3,1,10,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
9,MB000.STD,0,軍艦兵,Battleship Soldier,12,Guard,1,8,9,Guard,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
10,MB000.STD,0,軍艦兵,Battleship Soldier,13,Dodge,1,8,10,Dodge,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
11,MB000.STD,0,軍艦兵,Battleship Soldier,19,Withdraw,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
12,MB000.STD,0,軍艦兵,Battleship Soldier,32,Knockdown,1,10,12,Revive,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
13,MB000.STD,0,軍艦兵,Battleship Soldier,29,Exec S-Move,1,8,13,Focus,0b10001000000000000000000000000000,70,手榴弾,0,5.00,1.00
14,MB000.STD,0,軍艦兵,Battleship Soldier,29,Exec S-Move,1,8,13,Focus,0b10001000000000000000000000000000,71,毒ガス弾,0,5.00,1.00
15,MB000.STD,0,軍艦兵,Battleship Soldier,29,Exec S-Move,1,8,15,Run,0b10001000000000000000000000000000,72,薬草３,0,5.00,1.00
0,MB001.STD,1,航行士,Sailor,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.00
1,MB001.STD,1,航行士,Sailor,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,5.00,1.00
2,MB001.STD,1,航行士,Sailor,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.80
3,MB001.STD,1,航行士,Sailor,4,Close Attack,1,8,3,Close Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
4,MB001.STD,1,航行士,Sailor,8,Critical Attack,1,8,4,Critical Attack,0b10001010000000000000000000000000,-1,None,0,5.00,1.00
5,MB001.STD,1,航行士,Sailor,9,Take Damage 1,1,11,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
6,MB001.STD,1,航行士,Sailor,5,Ranged Attack,1,8,6,Ranged Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
7,MB001.STD,1,航行士,Sailor,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MB001.STD,1,航行士,Sailor,11,Take Damage 3,1,10,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
9,MB001.STD,1,航行士,Sailor,12,Guard,1,8,9,Guard,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
10,MB001.STD,1,航行士,Sailor,13,Dodge,1,8,10,Dodge,0b10001010000000000000000000000000,-1,None,0,0.00,1.20
11,MB001.STD,1,航行士,Sailor,16,Use Item 1,1,8,11,Defeat,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
12,MB001.STD,1,航行士,Sailor,21,Cast Magic,1,8,12,Revive,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
13,MB001.STD,1,航行士,Sailor,32,Knockdown,1,10,13,Focus,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
14,MB001.STD,1,航行士,Sailor,24,Exec Magic/S-Move,1,8,12,Revive,0b10001000000000000000000000000000,13,Quika,0,5.00,1.00
15,MB001.STD,1,航行士,Sailor,24,Exec Magic/S-Move,1,8,12,Revive,0b10001000000000000000000000000000,1,アポス,0,5.00,1.00
16,MB001.STD,1,航行士,Sailor,24,Exec Magic/S-Move,1,8,12,Revive,0b10001000000000000000000000000000,32,ボルタ,0,5.00,1.00
17,MB001.STD,1,航行士,Sailor,24,Exec Magic/S-Move,1,8,12,Revive,0b10001000000000000000000000000000,27,グラシィ,0,5.00,1.00
18,MB001.STD,1,航行士,Sailor,29,Exec S-Move,1,8,11,Defeat,0b10001000000000000000000000000000,79,Medicinal Herb,0,5.00,1.00
19,MB001.STD,1,航行士,Sailor,29,Exec S-Move,1,8,11,Defeat,0b10001000000000000000000000000000,80,Medicinal Herb,0,5.00,1.00
