Entry ID,[Filter],[ES ID],[ES Name],Turn ID,Phase ID,Cond ID,[Cond Name],Cond Param ID,[Cond Param Name],T1 Type ID,[T1 Type Name],T1 Arm ID,T1 Param ID,[T1 Param Name],T1 Arm Dur,T2 Type ID,[T2 Type Name],T2 Arm ID,T2 Param ID,[T2 Param Name],T2 Arm Dur
0,R500A.BIN,23,Blackbeard,0,0,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
1,R500A.BIN,23,Blackbeard,0,1,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
2,R500A.BIN,23,Blackbeard,0,2,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
3,R500A.BIN,23,Blackbeard,0,3,0,PS HP ≤,0,%,0,Attack,0,0,None,0,0,Attack,0,0,None,0
4,R500A.BIN,23,Blackbeard,1,0,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
5,R500A.BIN,23,Blackbeard,1,1,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
6,R500A.BIN,23,Blackbeard,1,2,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
7,R500A.BIN,23,Blackbeard,1,3,0,PS HP ≤,0,%,0,Attack,0,0,None,0,0,Attack,0,0,None,0
8,R500A.BIN,23,Blackbeard,2,0,-1,None,0,None,4,Nothing,-1,-1,None,0,0,Attack,0,-1,None,0
9,R500A.BIN,23,Blackbeard,2,1,-1,None,0,None,2,Focus,-1,-1,None,0,0,Attack,0,-1,None,0
10,R500A.BIN,23,Blackbeard,2,2,-1,None,0,None,3,Guard,-1,-1,None,0,0,Attack,0,-1,None,0
11,R500A.BIN,23,Blackbeard,2,3,0,PS HP ≤,0,%,0,Attack,0,0,None,0,0,Attack,0,0,None,0
12,R500A.BIN,23,Blackbeard,3,0,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
13,R500A.BIN,23,Blackbeard,3,1,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
14,R500A.BIN,23,Blackbeard,3,2,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
15,R500A.BIN,23,Blackbeard,3,3,0,PS HP ≤,0,%,0,Attack,0,0,None,0,0,Attack,0,0,None,0
16,R500A.BIN,23,Blackbeard,4,0,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
17,R500A.BIN,23,Blackbeard,4,1,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
18,R500A.BIN,23,Blackbeard,4,2,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
19,R500A.BIN,23,Blackbeard,4,3,0,PS HP ≤,0,%,0,Attack,0,0,None,0,0,Attack,0,0,None,0
0,R510A.BIN,4,Baluan Battleship,0,0,3,Rating,50,%,2,Focus,-1,-1,None,0,0,Attack,1,-1,None,0
