Entry ID,[Filter],[EC ID],[EC JP Name],[EC US Name],Type ID,[Type Name],Task ID,[Task Name],Param ID,[Param Name]
1,*,0,軍艦兵,Battleship Soldier,0,Branch,21,Rating 10%,3,Go to 3
2,*,0,軍艦兵,Battleship Soldier,1,Action,550,Attack,2,Random PC
3,*,0,軍艦兵,Battleship Soldier,1,Action,551,Guard,-1,None
1,*,1,航行士,Sailor,0,Branch,42,Used Sacri Crystals ≥ 1,6,Go to 6
2,*,1,航行士,Sailor,0,Branch,39,Any EC HP < 25%,5,Go to 5
3,*,1,航行士,Sailor,0,Branch,29,Rating 90%,6,Go to 6
4,*,1,航行士,Sailor,0,Branch,30,Always,8,Go to 8
5,*,1,航行士,Sailor,0,Branch,25,Rating 50%,7,Go to 7
6,*,1,航行士,Sailor,1,Action,550,Attack,2,Random PC
7,*,1,航行士,Sailor,1,Action,79,Medicinal Herb,7,EC With Lowest HP
8,*,1,航行士,Sailor,1,Action,551,Guard,-1,None
1,*,2,ミクラステル,Micrastel,0,Branch,45,1st PC ΔLevel > 7,3,Go to 3
2,*,2,ミクラステル,Micrastel,0,Branch,30,Always,4,Go to 4
3,*,2,ミクラステル,Micrastel,0,Branch,28,Rating 80%,10,Go to 10
4,*,2,ミクラステル,Micrastel,0,Branch,44,1st PC ΔLevel > 3,6,Go to 6
5,*,2,ミクラステル,Micrastel,0,Branch,30,Always,7,Go to 7
6,*,2,ミクラステル,Micrastel,0,Branch,24,Rating 40%,10,Go to 10
7,*,2,ミクラステル,Micrastel,0,Branch,24,Rating 40%,9,Go to 9
8,*,2,ミクラステル,Micrastel,1,Action,550,Attack,1,Nearest PC
9,*,2,ミクラステル,Micrastel,1,Action,4,Laser,0,Furthest PC
10,*,2,ミクラステル,Micrastel,1,Action,552,Run,-1,None
1,*,3,マロッカ,Marocca,0,Branch,44,1st PC ΔLevel > 3,3,Go to 3
2,*,3,マロッカ,Marocca,0,Branch,30,Always,4,Go to 4
3,*,3,マロッカ,Marocca,0,Branch,26,Rating 60%,8,Go to 8
4,*,3,マロッカ,Marocca,0,Branch,1,HP < 50%,7,Go to 7
5,*,3,マロッカ,Marocca,0,Branch,28,Rating 80%,7,Go to 7
6,*,3,マロッカ,Marocca,1,Action,551,Guard,-1,None
7,*,3,マロッカ,Marocca,1,Action,550,Attack,1,Nearest PC
8,*,3,マロッカ,Marocca,1,Action,552,Run,-1,None
1,*,4,アーアペプ,Grouder,0,Branch,33,Used Attack Spells ≥ 1,3,Go to 3
2,*,4,アーアペプ,Grouder,0,Branch,22,Rating 20%,10,Go to 10
3,*,4,アーアペプ,Grouder,0,Branch,36,Used State Spells ≥ 2,5,Go to 5
4,*,4,アーアペプ,Grouder,0,Branch,22,Rating 20%,9,Go to 9
5,*,4,アーアペプ,Grouder,0,Branch,23,Rating 30%,11,Go to 11
6,*,4,アーアペプ,Grouder,0,Branch,22,Rating 20%,8,Go to 8
7,*,4,アーアペプ,Grouder,1,Action,550,Attack,2,Random PC
8,*,4,アーアペプ,Grouder,1,Action,551,Guard,-1,None
9,*,4,アーアペプ,Grouder,1,Action,503,Panika,14,PC W/O Confusion
10,*,4,アーアペプ,Grouder,1,Action,520,Wevli,2,Random PC
11,*,4,アーアペプ,Grouder,1,Action,57,Eerie Wail,2,Random PC
1,*,7,煌術処刑士,Magic Executor,0,Branch,17,ECs Alive = 1,19,Go to 19
2,*,7,煌術処刑士,Magic Executor,0,Branch,35,Used State Spells ≥ 1,9,Go to 9
3,*,7,煌術処刑士,Magic Executor,0,Branch,40,Used Gather Strength?,20,Go to 20
4,*,7,煌術処刑士,Magic Executor,0,Branch,32,Used Sacri Spells ≥ 2,9,Go to 9
5,*,7,煌術処刑士,Magic Executor,0,Branch,39,Any EC HP < 25%,21,Go to 21
6,*,7,煌術処刑士,Magic Executor,0,Branch,11,Turn 1,9,Go to 9
7,*,7,煌術処刑士,Magic Executor,0,Branch,12,Turn 2,9,Go to 9
8,*,7,煌術処刑士,Magic Executor,0,Branch,22,Rating 20%,21,Go to 21
9,*,7,煌術処刑士,Magic Executor,0,Branch,37,Turn ≥ 5,14,Go to 14
10,*,7,煌術処刑士,Magic Executor,0,Branch,25,Rating 50%,23,Go to 23
11,*,7,煌術処刑士,Magic Executor,0,Branch,26,Rating 60%,19,Go to 19
12,*,7,煌術処刑士,Magic Executor,0,Branch,25,Rating 50%,20,Go to 20
13,*,7,煌術処刑士,Magic Executor,0,Branch,30,Always,25,Go to 25
14,*,7,煌術処刑士,Magic Executor,0,Branch,24,Rating 40%,23,Go to 23
15,*,7,煌術処刑士,Magic Executor,0,Branch,24,Rating 40%,19,Go to 19
16,*,7,煌術処刑士,Magic Executor,0,Branch,24,Rating 40%,24,Go to 24
17,*,7,煌術処刑士,Magic Executor,0,Branch,25,Rating 50%,21,Go to 21
18,*,7,煌術処刑士,Magic Executor,0,Branch,30,Always,25,Go to 25
19,*,7,煌術処刑士,Magic Executor,1,Action,550,Attack,1,Nearest PC
20,*,7,煌術処刑士,Magic Executor,1,Action,500,Increm,8,EC With Highest Attack
21,*,7,煌術処刑士,Magic Executor,1,Action,506,Sacri,7,EC With Lowest HP
22,*,7,煌術処刑士,Magic Executor,1,Action,506,Sacri,8,EC With Highest Attack
23,*,7,煌術処刑士,Magic Executor,1,Action,526,Crystali,2,Random PC
24,*,7,煌術処刑士,Magic Executor,1,Action,37,Reform,-1,None
25,*,7,煌術処刑士,Magic Executor,1,Action,551,Guard,-1,None
1,*,8,レトモニケ,Flestik,0,Branch,44,1st PC ΔLevel > 3,3,Go to 3
2,*,8,レトモニケ,Flestik,0,Branch,30,Always,4,Go to 4
3,*,8,レトモニケ,Flestik,0,Branch,28,Rating 80%,16,Go to 16
4,*,8,レトモニケ,Flestik,0,Branch,2,HP < 25%,12,Go to 12
5,*,8,レトモニケ,Flestik,0,Branch,4,Got Hit?,7,Go to 7
6,*,8,レトモニケ,Flestik,0,Branch,30,Always,9,Go to 9
7,*,8,レトモニケ,Flestik,0,Branch,28,Rating 80%,14,Go to 14
8,*,8,レトモニケ,Flestik,0,Branch,30,Always,15,Go to 15
9,*,8,レトモニケ,Flestik,0,Branch,26,Rating 60%,14,Go to 14
10,*,8,レトモニケ,Flestik,0,Branch,26,Rating 60%,15,Go to 15
11,*,8,レトモニケ,Flestik,0,Branch,30,Always,16,Go to 16
12,*,8,レトモニケ,Flestik,0,Branch,24,Rating 40%,16,Go to 16
13,*,8,レトモニケ,Flestik,0,Branch,30,Always,9,Go to 9
14,*,8,レトモニケ,Flestik,1,Action,550,Attack,1,Nearest PC
15,*,8,レトモニケ,Flestik,1,Action,551,Guard,-1,None
16,*,8,レトモニケ,Flestik,1,Action,552,Run,-1,None
1,*,9,パラミス,Basallish,0,Branch,44,1st PC ΔLevel > 3,3,Go to 3
2,*,9,パラミス,Basallish,0,Branch,30,Always,4,Go to 4
3,*,9,パラミス,Basallish,0,Branch,29,Rating 90%,16,Go to 16
4,*,9,パラミス,Basallish,0,Branch,2,HP < 25%,12,Go to 12
5,*,9,パラミス,Basallish,0,Branch,4,Got Hit?,7,Go to 7
6,*,9,パラミス,Basallish,0,Branch,30,Always,9,Go to 9
7,*,9,パラミス,Basallish,0,Branch,29,Rating 90%,14,Go to 14
8,*,9,パラミス,Basallish,0,Branch,30,Always,16,Go to 16
9,*,9,パラミス,Basallish,0,Branch,27,Rating 70%,14,Go to 14
10,*,9,パラミス,Basallish,0,Branch,24,Rating 40%,15,Go to 15
11,*,9,パラミス,Basallish,0,Branch,30,Always,16,Go to 16
12,*,9,パラミス,Basallish,0,Branch,25,Rating 50%,16,Go to 16
13,*,9,パラミス,Basallish,0,Branch,30,Always,9,Go to 9
14,*,9,パラミス,Basallish,1,Action,550,Attack,1,Nearest PC
15,*,9,パラミス,Basallish,1,Action,551,Guard,-1,None
16,*,9,パラミス,Basallish,1,Action,552,Run,-1,None
1,*,10,クグツムシ,Mind Stealer,0,Branch,21,Rating 10%,3,Go to 3
2,*,10,クグツムシ,Mind Stealer,1,Action,550,Attack,1,Nearest PC
3,*,10,クグツムシ,Mind Stealer,1,Action,551,Guard,-1,None
1,*,11,フォカラルガ,Walrenk,0,Branch,33,Used Attack Spells ≥ 1,3,Go to 3
2,*,11,フォカラルガ,Walrenk,0,Branch,22,Rating 20%,9,Go to 9
3,*,11,フォカラルガ,Walrenk,0,Branch,35,Used State Spells ≥ 1,5,Go to 5
4,*,11,フォカラルガ,Walrenk,0,Branch,22,Rating 20%,8,Go to 8
5,*,11,フォカラルガ,Walrenk,0,Branch,21,Rating 10%,7,Go to 7
6,*,11,フォカラルガ,Walrenk,1,Action,550,Attack,2,Random PC
7,*,11,フォカラルガ,Walrenk,1,Action,551,Guard,-1,None
8,*,11,フォカラルガ,Walrenk,1,Action,503,Panika,14,PC W/O Confusion
9,*,11,フォカラルガ,Walrenk,1,Action,527,グラシィ,2,Random PC
1,*,13,アスフール,Azbeth,0,Branch,44,1st PC ΔLevel > 3,3,Go to 3
2,*,13,アスフール,Azbeth,0,Branch,30,Always,4,Go to 4
3,*,13,アスフール,Azbeth,0,Branch,27,Rating 70%,15,Go to 15
4,*,13,アスフール,Azbeth,0,Branch,25,Rating 50%,13,Go to 13
5,*,13,アスフール,Azbeth,0,Branch,24,Rating 40%,8,Go to 8
6,*,13,アスフール,Azbeth,0,Branch,28,Rating 80%,11,Go to 11
7,*,13,アスフール,Azbeth,0,Branch,30,Always,14,Go to 14
8,*,13,アスフール,Azbeth,0,Branch,25,Rating 50%,16,Go to 16
9,*,13,アスフール,Azbeth,0,Branch,24,Rating 40%,17,Go to 17
10,*,13,アスフール,Azbeth,0,Branch,30,Always,18,Go to 18
11,*,13,アスフール,Azbeth,0,Branch,35,Used State Spells ≥ 1,19,Go to 19
12,*,13,アスフール,Azbeth,0,Branch,30,Always,20,Go to 20
13,*,13,アスフール,Azbeth,1,Action,550,Attack,2,Random PC
14,*,13,アスフール,Azbeth,1,Action,551,Guard,-1,None
15,*,13,アスフール,Azbeth,1,Action,552,Run,-1,None
16,*,13,アスフール,Azbeth,1,Action,200,Call Allies,-1,None
17,*,13,アスフール,Azbeth,1,Action,201,Call Allies,-1,None
18,*,13,アスフール,Azbeth,1,Action,108,Call Allies,-1,None
19,*,13,アスフール,Azbeth,1,Action,517,Eterni,2,Random PC
