Entry ID,Entry US Name,PS Flags,[L1],[L2],[D1],[D2],[D3],Type ID,[Type Name],Element ID,[Element Name],Attack,Hit%,Limit,SP,Trait ID,[Trait Name],Pad 1,Trait Value,Pad 2,Pad 3,Buy,Pad 4,Pad 5,Sell%,US Order 1,US Order 2,Pad 6,[US Descr Pos],[US Descr Size],US Descr Str
400,Main Cannon,0b00110000,X,X,"","","",0,Main Cannon,6,Neutral,420,160,0,4,-1,None,0,0,0,0,1000,0,0,50,0,0,0,0x2ebc1c,60,The Little Jack's main gun. It is old\nin good condition.
401,汎主砲,0b00111110,X,X,X,X,X,0,Main Cannon,6,Neutral,450,100,0,4,-1,None,0,0,0,0,1500,0,0,50,1,1,0,0x2ebc58,76,リトルジャックが装備できる大砲。\nバルアからの流出品。バルアでは一般的な砲。
402,汎主砲改,0b00111110,X,X,X,X,X,0,Main Cannon,6,Neutral,500,180,0,4,2,Defense,0,100,0,0,2000,0,0,50,2,2,0,0x2ebca4,72,リトルジャックが装備できる大砲。\n一般的な砲を改造し、火力を上げている。
403,重主砲Ｇ型,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,550,170,0,5,-1,None,0,0,0,0,3500,0,0,70,3,3,0,0x2ebcec,72,リトルジャックが装備できる大砲。\n限界まで口径を広げ、威力を上げている。
404,重主砲Ｂ型,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,600,250,0,6,-1,None,0,0,0,0,5000,0,0,50,4,4,0,0x2ebd34,68,リトルジャックが装備できる大砲。\n耐久性が高く、それだけ威力も強い。
405,試験型主砲,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,410,300,0,4,-1,None,0,0,0,0,6500,0,0,50,5,5,0,0x2ebd78,72,バルアの新鋭艦に搭載される予定の砲。\n未完成品なのであまり威力が無い。
406,新鋭主砲,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,620,300,0,4,-1,None,0,0,0,0,8000,0,0,50,6,6,0,0x2ebdc0,68,戦艦タイプの旋回主砲。\nバルアの新鋭艦に装備されているものと同じ砲。
407,ヤマトダマシイ,0b00001110,"","",X,X,X,0,Main Cannon,4,Yellow,650,350,0,6,-1,None,0,0,0,0,9500,0,0,70,7,7,0,0x2ebe04,64,戦艦タイプの旋回主砲。\nヤフトマーの熟練鍛冶が特別に作った逸品。
408,古の主砲,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,680,520,0,6,-1,None,0,0,0,0,11000,0,0,50,8,8,0,0x2ebe44,60,古の技術でつくられた砲。\n月Ж石の鋼材で作られた頑丈な砲。
409,Ｘ主砲,0b00001010,"","",X,"",X,0,Main Cannon,6,Neutral,700,400,0,8,-1,None,0,0,0,0,0,0,0,0,9,9,0,0x2ebe80,60,戦艦タイプの旋回主砲。\nバルアの全ての技術を注ぎ込んだ砲。
410,3-inch Cannon,0b00110000,X,X,"","","",1,Sec Cannon,6,Neutral,220,180,2,2,2,Defense,0,10,0,0,200,0,0,50,10,10,0,0x2ebebc,68,This cannon can be equipped as asecondary gun \nfor the Little Jack.
411,３インチ副砲改,0b00111110,X,X,X,X,X,1,Sec Cannon,6,Neutral,250,80,1,2,-1,None,0,0,0,0,400,0,0,50,11,11,0,0x2ebf00,52,リトルジャックが装備できる副砲。\n効果範囲が広い砲。
412,５インチ副砲,0b00111110,X,X,X,X,X,1,Sec Cannon,4,Yellow,280,120,1,3,-1,None,0,0,0,0,600,0,0,50,12,12,0,0x2ebf34,56,リトルジャックが装備できる副砲。\n比較的威力が強い砲。
413,８インチ副砲,0b00111110,X,X,X,X,X,1,Sec Cannon,6,Neutral,300,150,2,3,-1,None,0,0,0,0,800,0,0,50,13,13,0,0x2ebf6c,76,リトルジャックが装備できる副砲。\nバルアの戦艦に装備されるはずだったもの。
414,１２インチ副砲,0b00001110,"","",X,X,X,1,Sec Cannon,6,Neutral,350,200,2,3,-1,None,0,0,0,0,1000,0,0,50,14,14,0,0x2ebfb8,80,リトルジャックが装備できる副砲。\n特殊な合板を使用し、大口径化を実現している。
415,１０インチ副砲,0b00001110,"","",X,X,X,1,Sec Cannon,6,Neutral,400,300,3,3,-1,None,0,0,0,0,1200,0,0,50,15,15,0,0x2ec008,60,バルアの新鋭艦に搭載される予定の砲。\n未完成品なので弱い。
