Entry ID,[Str Pos],[Str Size],[Str Enc],Str Value,[Str Data]
0,0x30,17,Shift_JIS,Lib Handle Start,"""Lib Handle Start"""
1,0x5e6c,44,Shift_JIS,\nntInf Ver 2.00 Build:Mar 31 1999 14:13:50\n,"""\nntInf Ver 2.00 Build:Mar 31 1999 14:13:50\n"""
2,0x5e9c,12,Shift_JIS,GINXFER.BIN,"""GINXFER.BIN"""
3,0x5ea8,23,Shift_JIS,\\MANIFEST\\MANIFEST.BIN,"""\\MANIFEST\\MANIFEST.BIN"""
4,0x5ec0,14,Shift_JIS,\\MANIFEST.BIN,"""\\MANIFEST.BIN"""
5,0x5ed0,14,Shift_JIS,\\1ST_READ.BIN,"""\\1ST_READ.BIN"""
6,0x63b4,14,Shift_JIS,\\manifest.bin,"""\\manifest.bin"""
7,0x63f4,13,Shift_JIS,\\ginxfer.bin,"""\\ginxfer.bin"""
8,0x6474,14,Shift_JIS,\\manifest.bin,"""\\manifest.bin"""
9,0x6674,10,Shift_JIS,\\manifest,"""\\manifest"""
10,0x84c8,5,Shift_JIS,SEGA,"""SEGA"""
11,0x32d940,46,Shift_JIS,\nsyStart Ver 1.17 Build:Dec 01 1999 12:17:57\n,"""\nsyStart Ver 1.17 Build:Dec 01 1999 12:17:57\n"""
12,0x32d970,3,Shift_JIS,rb,"""rb"""
13,0x32d988,28,Shift_JIS,CHUNK POF IS HEAP AREA OVER,"""CHUNK POF IS HEAP AREA OVER"""
14,0x32d9a4,24,Shift_JIS,Sound Driver Read Error,"""Sound Driver Read Error"""
15,0x32d9bc,21,Shift_JIS,Sound Lib Init Error,"""Sound Lib Init Error"""
16,0x32d9d4,29,Shift_JIS,Sound Mem Block Create Error,"""Sound Mem Block Create Error"""
17,0x32d9f4,28,Shift_JIS,Sound Mem Block Param Error,"""Sound Mem Block Param Error"""
18,0x32da10,21,Shift_JIS,Sound Drv Init Error,"""Sound Drv Init Error"""
19,0x32da28,30,Shift_JIS,Sound Mem Block Destroy Error,"""Sound Mem Block Destroy Error"""
20,0x32da48,21,Shift_JIS,MIDI PORT OPEN ERROR,"""MIDI PORT OPEN ERROR"""
21,0x32da60,21,Shift_JIS,MIDI PORT STOP ERROR,"""MIDI PORT STOP ERROR"""
22,0x32da78,22,Shift_JIS,MIDI PORT RESET ERROR,"""MIDI PORT RESET ERROR"""
23,0x32da90,28,Shift_JIS,Sound sdSysSetSlotMax Error,"""Sound sdSysSetSlotMax Error"""
24,0x32daac,26,Shift_JIS,Sound MLT Down Load Error,"""Sound MLT Down Load Error"""
25,0x32dac8,5,Shift_JIS,SMSB,"""SMSB"""
26,0x32dad0,5,Shift_JIS,SMPB,"""SMPB"""
27,0x32dad8,23,Shift_JIS,MLT File Is Illegal %s,"""MLT File Is Illegal %s"""
28,0x32daf0,32,Shift_JIS,Sound Bank Data Down Load Error,"""Sound Bank Data Down Load Error"""
29,0x32db10,19,Shift_JIS,Sound Fx Set Error,"""Sound Fx Set Error"""
30,0x32db24,24,Shift_JIS,MIDI RELEASE MODE ERROR,"""MIDI RELEASE MODE ERROR"""
31,0x32db3c,23,Shift_JIS,Sound SHOT Close Error,"""Sound SHOT Close Error"""
32,0x32db54,22,Shift_JIS,Sound PCM Close Error,"""Sound PCM Close Error"""
33,0x32db6c,13,Shift_JIS,Bank 0 Error,"""Bank 0 Error"""
34,0x32db7c,23,Shift_JIS,Sound Get Status Error,"""Sound Get Status Error"""
35,0x32db94,27,Shift_JIS,Sound Midi Reset Prm Error,"""Sound Midi Reset Prm Error"""
36,0x32dbb0,27,Shift_JIS,Sound Shot Reset Prm Error,"""Sound Shot Reset Prm Error"""
37,0x32dbcc,26,Shift_JIS,Sound PCM Reset Prm Error,"""Sound PCM Reset Prm Error"""
38,0x32dbe8,17,Shift_JIS,Sound Play Error,"""Sound Play Error"""
39,0x32dbfc,11,Shift_JIS,Bank Error,"""Bank Error"""
40,0x32dc08,26,Shift_JIS,Sound PCM Down Load Error,"""Sound PCM Down Load Error"""
41,0x32dc24,23,Shift_JIS,Sound Pcm Status Error,"""Sound Pcm Status Error"""
42,0x32dc3c,21,Shift_JIS,Sound Pcm Play Error,"""Sound Pcm Play Error"""
43,0x32dc54,23,Shift_JIS,Sound MIDI Pause Error,"""Sound MIDI Pause Error"""
44,0x32dc6c,22,Shift_JIS,Sound MIDI Fade Error,"""Sound MIDI Fade Error"""
45,0x32dc84,22,Shift_JIS,Sound SHOT Fade Error,"""Sound SHOT Fade Error"""
46,0x32dc9c,26,Shift_JIS,Sound PCM Fade Error Left,"""Sound PCM Fade Error Left"""
47,0x32dcb8,27,Shift_JIS,Sound PCM Fade Error Right,"""Sound PCM Fade Error Right"""
48,0x32dcd4,8,Shift_JIS,\\sound\\,"""\\sound\\"""
49,0x32dcdc,25,Shift_JIS,MLT FAST HANDLE IS EMPTY,"""MLT FAST HANDLE IS EMPTY"""
50,0x32dcf8,22,Shift_JIS,MLT FAST HANDLE ERROR,"""MLT FAST HANDLE ERROR"""
51,0x32dd10,3,Shift_JIS,%s,"""%s"""
52,0x32dd14,5,Shift_JIS,GAME,"""GAME"""
53,0x32dd1d,7,Shift_JIS,CAMERA,"""CAMERA"""
54,0x32dd26,8,Shift_JIS,LIGHT 0,"""LIGHT 0"""
55,0x32dd2f,8,Shift_JIS,LIGHT 1,"""LIGHT 1"""
56,0x32dd38,8,Shift_JIS,LIGHT 2,"""LIGHT 2"""
57,0x32dd41,9,Shift_JIS,MURABITO,"""MURABITO"""
58,0x32dd4c,15,Shift_JIS,DEBUG MODE   -,"""DEBUG MODE   -"""
59,0x32dd5c,15,Shift_JIS,Calc Vertex  -,"""Calc Vertex  -"""
60,0x32dd6c,15,Shift_JIS,Calc Polygon -,"""Calc Polygon -"""
61,0x32dd7c,15,Shift_JIS,Draw Polygon -,"""Draw Polygon -"""
