Entry ID,[Filter],[EC ID],[EC JP Name],[EC US Name],State ID,[State Name],Unk 1,Unk 2,Motion ID,[Motion Name],Motion Flags,Param ID,[Param Name],Unk 3,Ranged Speed,Close Speed
0,MB000.STD,0,軍艦兵,Battleship Soldier,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,4,1.60,15.10
1,MB000.STD,0,軍艦兵,Battleship Soldier,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MB000.STD,0,軍艦兵,Battleship Soldier,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MB000.STD,0,軍艦兵,Battleship Soldier,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MB000.STD,0,軍艦兵,Battleship Soldier,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MB000.STD,0,軍艦兵,Battleship Soldier,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MB001.STD,1,航行士,Sailor,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,0,1.50,13.00
1,MB001.STD,1,航行士,Sailor,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MB001.STD,1,航行士,Sailor,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.80
3,MB001.STD,1,航行士,Sailor,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MB001.STD,1,航行士,Sailor,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MB001.STD,1,航行士,Sailor,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MB002.STD,2,ミクラステル,Micrastel,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,3,1.00,6.50
1,MB002.STD,2,ミクラステル,Micrastel,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MB002.STD,2,ミクラステル,Micrastel,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MB002.STD,2,ミクラステル,Micrastel,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MB002.STD,2,ミクラステル,Micrastel,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MB002.STD,2,ミクラステル,Micrastel,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MB003.STD,3,マロッカ,Marocca,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,4,1.00,7.50
1,MB003.STD,3,マロッカ,Marocca,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MB003.STD,3,マロッカ,Marocca,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MB003.STD,3,マロッカ,Marocca,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MB003.STD,3,マロッカ,Marocca,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MB003.STD,3,マロッカ,Marocca,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MB004.STD,4,アーアペプ,Grouder,0,Set Approach Speed,0,7,0,Idle 1,0b10001000010000000000000000000000,-1,None,8,1.50,7.00
1,MB004.STD,4,アーアペプ,Grouder,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MB004.STD,4,アーアペプ,Grouder,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MB004.STD,4,アーアペプ,Grouder,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MB004.STD,4,アーアペプ,Grouder,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MB004.STD,4,アーアペプ,Grouder,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MB007.STD,7,煌術処刑士,Magic Executor,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,5,1.00,10.00
