[Event Name],Task ID
M08120000,"\h(《掃除する女》)最近モエギ姫様の
元気がないのは
やはりお兄様のことが……\e"
M08120001,"\h(《掃除する女》)あら、私ったら見ず知らずの
異人さんに何言ってるのかしら？
どうぞお気になさらないよう。\c"
M08120002,"\h(《掃除する女》)そうですか。異国の船が……
モエギ姫様の悩みが
またひとつ増えてしまいますわ。\e"
M08120003,"\h(《掃除する女》)でも私たち下々の民があれこれ
言うことではありませんわね。
姫様ならきっと大丈夫ですわ。\c"
M08120004,"\h(《掃除する女》)姫様もようやくこれで自分の
幸せを考えることができます。
本当によかったですわ。\c"
M08120005,"\h(《掃除する女》)その節はどうも。
モエギ姫様はその後
いかがお過ごしでしょうか？\e"
M08120006,"\h(《掃除する女》)遠い異国の地に渡られても
私たちヤフトマーの民はみな
姫様をお慕いしていますわ。\c"
M08130000,"\h(《女の子》)ねー、イジンのおにいちゃん。
うちのねえちゃんはな、いつも
姫様の心配ばかりしとるんよ。\c"
M08130001,"\h(《女の子》)ねー、イジンのおにいちゃん。
みなとにイコクのふねが来たん？
うちもいってみようかな。\c"
M08130002,"\h(《女の子》)ねー、イジンのおにいちゃん。
イコクのふねは帰っちゃったの？
見にいこうとおもってたのにな。\c"
M08130003,"\h(《女の子》)ねー、イジンのお兄ちゃん。
ウチも大きくなったら
ふねにのろうかとおもうねんな。\e"
M08130004,"\h(《女の子》)モエギ姫様もふねにのって
イコクにいってるんやろ？
うちもいってみたいねんよ。\c"
M08140000,\h(《コケタ》)マンマー！　マンマー！\c
M08150000,"\h(《キララ》)おっ、ウワサの西邦人だね！
あたいはキララ。
この国で一番の大工さ。\e"
M08150001,"\h(《キララ》)どうだい、この国の街並みは？
あんたたちの国にも、こんなに
立派な建物はないだろ？\e"
M08150002,"\h(《うーん……》)「ああ、そうだな」
「いや、どうってことないな」\e"
M08150003,"\h(《ヴァイス》)ああ、そうだな。
見ると聞くとじゃ大違い、
ホントに立派な街並みだ。\e"
M08150004,"\h(《キララ》)ハハッ、そうかいそうかい！
いやー、そう言ってもらえると
まんざらでもない気分だね。\e"
M08150005,"\h(《キララ》)そうだ！
あたい、あんたらの船に乗って
西の国に行ってみようかな？\e"
M08150006,"\h(《キララ》)あたいの腕前を見せて
西邦人のドギモを
抜いてやろうじゃないか！\e"
M08150007,"\h(《ヴァイス》)お、おい……
この工事中の建物は
どうするんだ？\e"
M08150008,"\h(《キララ》)なーに、心配いらないよ。
これはあたいの家さ。
古くなったから改築してたんだ。\e"
M08150009,"\h(《キララ》)それじゃ、話はきまりだね！
あんたたちの住んでるとこに
いろんなものを建ててやるよ！\e"
M08150010,"\h(　)キララが
「大工」として
クルーになった。\e"
M08150011,"\h(《キララ》)そうそう、あたいには
ウララって妹がいるんだ。
よかったら一声かけてくんな。\c"
M08150012,"\h(《ヴァイス》)いや、どうってことないな。
これぐらいの建物だったら
向こうじゃ珍しくないぜ。\e"
M08150013,"\h(《キララ》)なんだって!?　するってえと
西方建築のほうがあたいのより
上等だっていうのかい？\e"
M08150014,"\h(《キララ》)ふん、聞き捨てならないね。
そこまで言われちゃ、あたいも
黙っていられないよ。\e"
M08150015,"\h(《キララ》)あんたの住んでるとこに
乗りこんで、いろんな建物を
おっ建ててやろうじゃないか！\e"
M08150016,"\h(《ヴァイス》)お、おい……
この工事中の建物は
どうするんだ？\e"
M08150017,"\h(《キララ》)なーに、心配いらないよ。
これはあたいの家さ。
古くなったから改築してたんだ。\e"
M08150018,"\h(《キララ》)建物は見てくれだけじゃなく
住み心地も大事なんだ。それを
身をもって味わわせてやるよ！\e"
M08150019,"\h(　)キララが
「大工」として
クルーになった。\e"
M08150020,"\h(《キララ》)そうそう、あたいには
ウララって妹がいるんだ。
よかったら一声かけてくんな。\c"
Ms019c000,"\h(《ヴァイス》)おっ、カモの親子だ！
小ガモがちょこちょこ親の後を
ついてまわって、かわいいなあ。\c"
Ms019c001,"\h(《ヴァイス》)カブを細長くしたような野菜が
干してある。ヤフトマーにも
こんな野菜があるんだな。\c"
Ms019c002,"\h(《ヴァイス》)おっ、干し魚か。
うまそうだし
航海に持っていくにもいいな。\c"
Ms019c003,"\h(《ヴァイス》)この木材の表面の滑らかさ……
よほどのベテラン職人が
カンナをかけたにちがいない。\c"
Ms019c004,"\h(《ヴァイス》)ヤフトマーの字は
上から下に書くんだな。
どうやって読むんだろ？\c"
Ms019c005,"\h(《ヴァイス》)ヤフトマーの酒かな？
空賊島の酒好き連中がいたら
すごく飲みたがるだろうな。\c"
Ms019c006,"\h(《ヴァイス》)木の皮のような、太い枝のような
なんだこの植物は。
野菜……なのかな？\c"
Ms019c007,"\h(《ヴァイス》)ティーセットが入ってるな。
ふうん、こっちのお茶の葉は
緑色なんだなあ。\c"
Ms019c008,"\h(《ヴァイス》)うわ……なんだ、このツボは？
ドロみたいなものの中に
いろんな野菜が漬けられてるぞ！\c"
Ms019c009,"\h(《ヴァイス》)小ビンに小さなアメが
たくさん入っている。
なんか機雷みたいな形だな。\c"
Ms019c010,"\h(《ヴァイス》)ミソシルとかいうスープだな。
うーん……なんだか
ちょっと変わったにおいだ。\c"
"",me198a.sct
"",me019b.sct
"",M0325
"",M0244
"",M5190000
