[Event Name],Task ID
MH0110000,"\h(《モエギ》)今日はお疲れ様でした。
今夜は、この水閣に
お泊まりください。\e"
MH0110001,"\h(《ファイナ》)わざわざ送っていただいて
ありがとうございます。\e"
MH0110002,"\h(《ヴァイス》)すっかりごちそうに
なっちゃって……あのコメって実
うまかったなあ。\e"
MH0110003,"\h(《アイカ》)あのハシってのが、二本の棒の
正体だったとはね。もっと大きい
枝みたいなのを想像してたよ。\e"
MH0110004,"\h(《モエギ》)みなさんのお口におあいしたなら
何よりでしたわ。\e"
MH0110005,"\h(《ムラジ》)ホホホ……
西邦人に、物の味が
わかるのでおじゃるか？\e"
MH0110006,"\h(《ムラジ》)おまえたち、わざわざマガタマを
取ってきたそうでおじゃるな。
礼を言うでおじゃるよ。\e"
MH0110007,"\h(《ムラジ》)わたしがモエギ姫をめとり
次のミカドになるときに
使わせてもらうでおじゃるよ。\e"
MH0110008,"\h(《モエギ》)わたくしは、あなたを夫と
するつもりなどありません！\e"
MH0110009,"\h(《モエギ》)それに、わたくしの兄・ダイゴが
いる限り、あなたがミカドに
なることなど、ありえませぬ！\e"
MH0110010,"\h(《ムラジ》)しかし、そのダイゴ皇子は
謀反の罪で、流刑に処せられた
身ではおじゃらぬか。\e"
MH0110011,"\h(《ムラジ》)ホホホ……
そのような重罪人が、ミカドに
なれるわけがないでおじゃる。\e"
MH0110012,\h(《ファイナ》)モエギさん……\e
MH0110013,\h(《ヴァイス》)……野郎！\e
MH0110014,\h(《ヴァイス》)……え、エンリック!?\e
MH0110015,"\h(《エンリック》)どういう事情か知らぬが
それが女性に対する
紳士の態度か？\e"
MH0110016,"\h(《エンリック》)これ以上、そのような言動を
つづけるつもりなら……
この私が、相手になろう。\e"
MH0110017,"\h(《ムラジ》)ぬうう……お、おまえたちこそ
たかがマガタマくらいでいい気に
なるんじゃないでおじゃるよ！\e"
MH0110018,"\h(《ムラジ》)このことは、父上に
言いつけておくでおじゃる！
覚えているでおじゃるよ！\e"
MH0110019,"\h(《モエギ》)エンリック様……
申し訳ありません。\e"
MH0110020,"\h(《モエギ》)わたくしのせいで不愉快な思いを
させてしまって……\e"
MH0110021,"\h(《エンリック》)いえいえ、私の国に伝わる
騎士道精神にのっとり
当然のことをしたまでです。\e"
MH0110022,"\h(《エンリック》)もっとも、そんな心がまえは
今のわが国ではほとんど消滅して
しまいましたがね……\e"
MH0110023,\h(《モエギ》)エンリック様……\e
MH0110024,"\h(《エンリック》)それより……今、あの男が
流刑とか皇子などと
言っていましたが……\e"
MH0110025,"\h(《エンリック》)何か、事情がおありに
なるのですか？\e"
MH0110026,\h(《モエギ》)…………\e
MH0110027,"\h(《モエギ》)……いえ、何でもないのです。
それでは、わたくしはこれで……
おやすみなさいませ。\e"
MH0110028,\h(《エンリック》)…………\e
MH0110029,"\h(《ムラジ》)ぬうう……あいつら
ホントに腹が立つでおじゃる！\e"
MH0110030,"\h(《女性の声》)フフフ……
だいぶご立腹のようね。\e"
MH0110031,"\h(《ムラジ》)ギョッ！
だ、誰でおじゃるか!?\e"
MH0110032,"\h(《ベレーザ》)静かに……
今の話、聞かせてもらったわ。\e"
MH0110033,"\h(《ベレーザ》)私の名前は、ベレーザ。
どうやら私は、あなたの味方に
なれそうよ。フフフフ……\e"
MH0310000,"\h(《アイカ》)……ベレーザたちの話
ずいぶん長引いてるみたいね。\e"
MH0310001,"\h(《ヴァイス》)まあ、国と国との交渉だからな。
時間はかかるだろう。\e"
MH0310002,"\h(《モエギ》)みなさん！
急いで、逃げてください!!\e"
MH0310003,"\h(《エンリック》)も、モエギ姫!?
どうなされたのですか!?\e"
MH0310004,"\h(《モエギ》)カンガンとムラジが謀反を起こし
父上が……ミカドが彼らの手に
落ちてしまいました！\e"
MH0310005,"\h(《モエギ》)すべては、あの
ベレーザというかたの
くわだてのようです!!\e"
MH0310006,\h(《ヴァイス》)な……何だって!?\e
MH0310007,"\h(《エンリック》)くっ……ベレーザめ。
すでに謀略の手を
まわしていたに違いない。\e"
MH0310008,\h(《アイカ》)ヴァイス、どうするの!?\e
MH0310009,"\h(《どうする!?》)「ミカドを助けに行くぜ！」
「この場は逃げよう！」\e"
MH0310010,"\h(《ヴァイス》)決まってるじゃないか！
ミカドを助けに行くぜ!!\e"
MH0310011,"\h(《モエギ》)そ、それはムリです！
王宮の中は、すでに敵の兵で
うめつくされています！\e"
MH0310012,"\h(《モエギ》)時間がありません。
みなさん、こちらに！\e"
MH0310013,"\h(《ヴァイス》)残念だが、ここは逃げよう。
ベレーザのことだ。おそらく
次の手も打っているはずだ。\e"
MH0310014,"\h(《エンリック》)賛成だ。
いったんこの街を離れ
次の機会を待とう。\e"
MH0310015,"\h(《モエギ》)わかりました。
みなさん、こちらへ！\e"
MH0310016,"\h(《モエギ》)ここから、王宮を脱出できます。
わたくしについてきてください。\e"
M08000000,"\h(《武器屋店主》)へい！　らっしゃい！
何にすんだい？　へへんっ。\e"
M08000001,"\h(《どうする？》)「武器を売買する」
「世間話をする」
「店を出る」\e"
M08000002,"\h(《武器屋店主》)テンコウってのは悪党の集団よ。
素手こそ最強とかなんとか言って
武器を狩り集めているらしいぜ。\e"
M08000003,"\h(《武器屋店主》)えっ、テンコウに会ったって？
おお、よく武器も命も
奪われずにすんだものだな。\e"
M08000004,"\h(《武器屋店主》)まいどありー！
また寄ってくんな！\c"
M08000005,"\h(《武器屋店主》)へい！　らっしゃい！
何にすんだい？　へへんっ。\e"
M08000006,"\h(《どうする？》)「武器を売買する」
「世間話をする」
「店を出る」\e"
M08000007,"\h(《武器屋店主》)あんたらは知らんだろうが
テンコウの首領ってのがまた
べらぼうに強いんだとよ。\e"
M08000008,"\h(《武器屋店主》)あんたらが倒した双子を
赤んぼうみたいに軽くあしらって
首領の座についたらしいぜ。\e"
M08000009,"\h(《武器屋店主》)まいどありー！
また寄ってくんな！\c"
M08000010,"\h(《武器屋店主》)へい！　らっしゃい！
何にすんだい？　へへんっ。\e"
M08000011,"\h(《どうする？》)「武器を売買する」
「世間話をする」
「店を出る」\e"
M08000012,"\h(《武器屋店主》)あの憎ったらしいカンガンを
ブッ倒すとは、やるじゃねえか！
いやー、胸がスッとしたぜ！\e"
M08000013,"\h(《武器屋店主》)おっと、そうだ！
ここからずっと北にある
孤島に行ってみな！\e"
M08000014,"\h(《武器屋店主》)リュウカンっていう
どえらいウデのたつ刀鍛治が
暮らしているはずだからよ！\c"
M08000015,"\h(《武器屋店主》)まいどありー！
また寄ってくんな！\c"
M08010000,"\h(《道具屋のばあさん》)おやまあ
よういらっしゃったの。\e"
M08010001,"\h(《どうする？》)「道具を売買する」
「世間話をする」
「店を出る」\e"
M08010002,"\h(《道具屋のばあさん》)この島の周りをぐるっと囲んどる
長城は、ご先祖様がこの国を
護るために作ったものじゃよ。\e"
M08010003,"\h(《道具屋のばあさん》)じゃが、本当にこの国を護って
くださるのは、長城ではなく
ありがたい「神の風」なんじゃ。\e"
M08010004,"\h(《道具屋のばあさん》)はいよ。
またいらっしゃいな。\c"
M08010005,"\h(《道具屋のばあさん》)黒い鉄の船が来たそうじゃが
なんも心配することねえだ。
なあに、大丈夫じゃよ。\e"
M08010006,"\h(《道具屋のばあさん》)いざとなればこの国に古くから
伝わる神の風が吹いて
わしらを護ってくれるんじゃ。\c"
M08010007,"\h(《道具屋のばあさん》)アンタよう見るとイイ男じゃね。
あと７０歳わしが若ければ……
あらヤダ、ナニ言わせるんじゃ！\e"
M08010008,"\h(《道具屋のばあさん》)おなごの口から言わせるなんて
ほんまにイヂワルな殿方じゃね。
ポッ……\c"
M08010009,"\h(《道具屋のばあさん》)わしらの若い頃は、だんぜん
ミカドが憧れの人じゃったが
今はやっぱりダイゴ皇子じゃね。\e"
M08010010,"\h(《道具屋のばあさん》)あらヤダ、ナニ言わせるんじゃ！
ほんまにイヂワルな殿方じゃね。
照れるでねえか、ポッ……\c"
M08030000,"\h(《ウララ》)あ……いらっしゃいませ。
何になさいますか？\e"
M08030001,"\h(《アイカ》)あ、ヤフトマーにも
ウェイトレスさんがいるんだ！\e"
M08030002,\h(《ウララ》)うぇ……？\e
M08030003,"\h(《ウララ》)ご、ごめんなさい……
うちのお店には、それは
置いてないんです……\e"
M08030004,"\h(《アイカ》)アハハハ、ちがうのちがうの！
あなたのことを話してたのよ。\e"
M08030005,\h(《ウララ》)え……\e
M08030006,"\h(《ウララ》)あ……ご、ごめんなさい。
わ、私……ご注文の品かと
かんちがいしてしまって……\e"
M08030007,"\h(《アイカ》)ううん、こっちこそゴメン！
今は用事があるからダメだけど
今度ゆっくり寄らせてもらうね。\e"
M08030008,"\h(《ウララ》)は、はい。
あの……ありがとうございます。\e"
M08030009,"\h(《ウララ》)こ、今度はおいしいおだんごや
あったかいおしるこをぜひ
召し上がっていってくださいね。\c"
M08030010,"\h(《ヴァイス》)あれ？
そういえばきみって……
もしかしてキララの妹さんかい？\e"
M08030011,"\h(《ウララ》)は、はい……
そうですけど……\e"
M08030012,"\h(《アイカ》)そっかあ！　実はキララさん、
大工としてあたしたちの船に
乗ることになったんだよ。\e"
M08030013,"\h(《アイカ》)よかったらあなたも
あたしたちの船に乗らない？\e"
M08030014,"\h(《ウララ》)えっ？　で、でも……
私は姉さんと違って
料理くらいしかできませんし……\e"
M08030015,"\h(《ヴァイス》)料理だって立派な特技だぜ。
コックとして、俺たちの船に
乗ってくれないか？\e"
M08030016,"\h(《ウララ》)は、はい……
姉さんも一緒なのでしたら……
でも、本当に私でいいんですか？\e"
M08030017,"\h(《ヴァイス》)ああ、もちろんさ。
ヤフトマーのうまいメシを
たくさん作ってくれよ。\e"
M08030018,"\h(《ウララ》)は、はい！
あの……私、がんばります。
よろしくお願いします。\e"
M08030019,"\h(　)ウララが
「コック」として
クルーになった。\c"
M08030020,"\h(《ウララ》)あの……お時間ができたら
いつでもお寄りになって
くださいね。\c"
M08030021,"\h(《ウララ》)あ……この前のかたですね。
いらっしゃいませ。\e"
M08030022,"\h(《アイカ》)こんちはっ！
ねーねー、あなたってもしかして
キララさんの妹さん？\e"
M08030023,"\h(《ウララ》)は、はい……
そうですけど……\e"
M08030024,"\h(《アイカ》)そっかあ！　実はキララさん、
大工としてあたしたちの船に
乗ることになったんだよ。\e"
M08030025,"\h(《アイカ》)よかったらあなたも
あたしたちの船に乗らない？\e"
M08030026,"\h(《ウララ》)えっ？　で、でも……
私は姉さんと違って
料理くらいしかできませんし……\e"
M08030027,"\h(《ヴァイス》)料理だって立派な特技だぜ。
コックとして、俺たちの船に
乗ってくれないか？\e"
M08030028,"\h(《ウララ》)は、はい……
姉さんも一緒なのでしたら……
でも、本当に私でいいんですか？\e"
M08030029,"\h(《ヴァイス》)ああ、もちろんさ。
ヤフトマーのうまいメシを
たくさん作ってくれよ。\e"
M08030030,"\h(《ウララ》)は、はい！
あの……私、がんばります。
よろしくお願いします。\e"
M08030031,"\h(　)ウララが
「コック」として
クルーになった。\c"
M08040000,"\h(《茶屋の旦那》)お茶もだんごも一級品じゃが
ウララちゃんのおかげで
うちはお客の評判も上々じゃよ。\e"
M08040001,"\h(《茶屋の旦那》)もっとも西邦人のあんたらには
この味はわかりますまいがのー。
カッカッカ。\c"
M08040002,"\h(《茶屋の旦那》)西邦人が大勢やってきたじゃと？
こりゃあ、うちのだんごを
有名にするいい機会じゃて。\e"
M08040003,"\h(《茶屋の旦那》)もっとも西邦人には
この味はわかりますまいがのー。
カッカッカ。\c"
M08040004,"\h(《茶屋の旦那》)西邦人にうちのだんごを
ふるまうひまさえないとは
商売の機会を失ったのー。\e"
M08040005,"\h(《茶屋の旦那》)もう少しあんたらが手かげんして
くれれば、やつらにもだんごを
食わせてやれたんじゃがのー。\c"
M08040006,"\h(《茶屋の旦那》)ウララちゃんがいなくなると
とたんにこの店の華やかさが
消えてしまったようじゃ。\e"
M08040007,"\h(《茶屋の旦那》)花よりダンゴ、などという言葉が
わが国には伝わるが、やはり
ダンゴよりも花じゃのう。\c"
M08040008,"\h(《茶屋の旦那》)ウララちゃんがいなくなると
とたんにこの店の華やかさが
消えてしまったようじゃ。\e"
M08040009,"\h(《茶屋の旦那》)花よりダンゴ、などという言葉が
わが国には伝わるが、やはり
ダンゴよりも花じゃのう。\c"
M08050000,"\h(《茶屋の客》)この店で働くウララちゃんは
とても料理が上手で家庭的だが
ちょっと内気で引っ込み思案……\e"
M08050001,"\h(《茶屋の客》)お姉さんのキララちゃんは
勝気だがウデのいい大工さん。
まあ二人は正反対の性格ですな。\e"
M08050002,"\h(《茶屋の客》)どっちを嫁さんにするって
聞かれたら……そうさなあ……
こりゃムズカシイ選択ですぞ。\c"
