Entry ID,Entry JP Name,Occasion Flags,[M],[B],[S],Ship Eff ID,[Ship Eff Name],Ship Eff Turns,Consume%,Pad 1,Pad 2,Pad 3,Buy,Pad 4,Pad 5,Sell%,JP Order 1,JP Order 2,Pad 6,Ship Eff Base,Element ID,[Element Name],Unk 1,Unk 2,Hit%,[JP Descr Pos],[JP Descr Size],JP Descr Str
480,爆弾,0b0001,"","",X,107,Damage,-1,100,0,0,0,100,0,0,50,0,23,0,80,6,Neutral,0,0,0,0x340e74,72,一般に使用されている、取り扱いの容易な爆弾。\n相手にダメージを与える。
481,大爆弾,0b0001,"","",X,107,Damage,-1,100,0,0,0,150,0,0,50,1,18,0,120,6,Neutral,0,0,0,0x340ebc,80,サイズを大きくし、火薬量を増やして\n威力を高めた爆弾。相手にダメージを与える。
482,特大爆弾,0b0001,"","",X,107,Damage,-1,100,0,0,0,200,0,0,50,2,19,0,150,6,Neutral,0,0,0,0x340f0c,80,特別な製法で、火薬量を通常の２倍にまで\n増やした爆弾。相手にダメージを与える。
483,巨大爆弾,0b0001,"","",X,107,Damage,-1,100,0,0,0,480,0,0,50,3,10,0,250,6,Neutral,0,0,0,0x340f5c,72,限界ギリギリまでサイズを大きくした爆弾。\n相手に大きなダメージを与える。
484,炎の爆弾,0b0001,"","",X,107,Damage,-1,100,0,0,0,450,0,0,50,4,28,0,240,1,Red,1,0,0,0x340fa4,72,火薬に赤の月Ж石の粉を混ぜた特殊な爆弾。\nバーナに近い効果が得られる。
485,氷の爆弾,0b0001,"","",X,107,Damage,-1,100,0,0,0,600,0,0,50,5,14,0,240,2,Purple,1,0,0,0x340fec,72,火薬に紫の月Ж石の粉を混ぜた特殊な爆弾。\nグラシャに近い効果が得られる。
486,封じの爆弾,0b0001,"","",X,116,Silence by 100%,-1,100,0,0,0,600,0,0,50,6,25,0,0,0,Green,0,165,80,0x341034,76,火薬に紫の月Ж石の粉を混ぜた特殊な爆弾。\nサイレシャに近い効果が得られる。
487,雷の爆弾,0b0001,"","",X,107,Damage,-1,100,0,0,0,450,0,0,50,7,4,0,240,4,Yellow,1,0,0,0x341080,72,火薬に黄の月Ж石の粉を混ぜた特殊な爆弾。\nボルタに近い効果が得られる。
488,バラスト爆弾,0b0001,"","",X,106,Weak by 100%,-1,100,0,0,0,600,0,0,50,8,24,0,0,0,Green,0,1,80,0x3410c8,72,火薬に黄の月Ж石の粉を混ぜた特殊な爆弾。\nダウナに近い効果が得られる。
489,波の爆弾,0b0001,"","",X,107,Damage,-1,100,0,0,0,600,0,0,50,9,20,0,240,3,Blue,1,0,0,0x341110,72,火薬に青の月Ж石の粉を混ぜた特殊な爆弾。\nウェイバに近い効果が得られる。
490,修復材,0b0101,X,"",X,100,Recover HP,-1,100,0,0,0,30,0,0,50,10,15,0,400,0,Green,0,0,0,0x341158,84,小破した船体のダメージを修復するための修理素材。\n船体のＨＰを4000ポイント修復する。
491,硬修復材,0b0101,X,"",X,100,Recover HP,-1,100,0,0,0,75,0,0,50,11,12,0,800,0,Green,0,0,0,0x3411ac,84,中破した船体のダメージを修復するための修理素材。\n船体のＨＰを8000ポイント修復する。
492,強修復材,0b0101,X,"",X,100,Recover HP,-1,100,0,0,0,0,0,0,50,12,9,0,0,0,Green,0,0,0,0x341200,76,緑月晶の粉を溶かし込み回復効力を上げた修復材。\n船体のＨＰを完全に修復する。
493,完全修復材,0b0101,X,"",X,101,Recover HP by 100%,-1,100,0,0,0,300,0,0,50,13,5,0,0,0,Green,0,0,0,0x34124c,68,高純度の月Ж石を使った最高の修復材。\n船体のＨＰを完全に回復する。
494,ギアグリス,0b0001,"","",X,102,Recover SP,-1,100,0,0,0,500,0,0,50,14,6,0,10,0,Green,0,0,0,0x341290,68,ギアに塗る事で抵抗を減らし力の伝達を良くする。\nガッツが回復する。
495,耐熱ギアグリス,0b0001,"","",X,103,Recover SP by 100%,-1,100,0,0,0,1000,0,0,50,15,17,0,0,0,Green,0,0,0,0x3412d4,60,ギアを高速使用した際の熱ダレを防ぐ。\nガッツが完全回復する。
496,キャプテンマーク,0b0100,X,"","",115,Grow All Attr,-1,100,0,0,0,0,0,0,50,16,8,0,0,0,Green,0,0,0,0x341310,84,砲撃戦に勝利した証しの撃墜マーク。\n使用する事で船の能力が上がり、船体耐久度も増す。
497,アパワックス,0b0001,"","",X,105,Incr Attack + Defense,2,100,0,0,0,100,0,0,50,17,0,0,0,0,Green,0,0,0,0x341364,76,船体と砲身に塗り込む事で攻撃力と防御力が上がる。\n効果は２ターン持続する。
498,アポスワックス,0b0001,"","",X,105,Incr Attack + Defense,4,100,0,0,0,1000,0,0,50,18,1,0,0,0,Green,0,0,0,0x3413b0,76,船体と砲身に塗り込む事で攻撃力と防御力が上がる。\n効果は４ターン持続する。
499,クイッカワックス,0b0001,"","",X,104,Incr Quick,1,100,0,0,0,150,0,0,50,19,11,0,0,0,Green,0,0,0,0x3413fc,72,機関部に塗り込む事でエンジンの出力を上げる。\n効果は１ターン持続する。
500,ハイブリワックス,0b0001,"","",X,108,Incr All Attr,4,100,0,0,0,1500,0,0,50,20,22,0,0,0,Green,0,0,0,0x341444,88,バルア帝国のデ・ロッコ機関が開発したワックス。\n船体のあらゆる能力が１ターン上昇する。
501,熱源センサー,0b0001,"","",X,112,Incr Critical%,0,100,0,0,0,2000,0,0,50,21,21,0,0,0,Green,0,0,0,0x34149c,84,センサーが船の機関部を的確にとらえ\n砲手の射撃を補助する。クリティカル率が上がる。
