[Event Name],Task ID
MC0200000,"\h(《ファイナ》)みなさん……
本当にお世話になりました。
ありがとうございました。\e"
MC0200001,"\h(《ダイン》)気を付けてな、ファイナさん。
ヴァイス、しっかり
ファイナさんを助けるんだぞ。\e"
MC0200002,"\h(《ヴァイス》)わかってるって！
じゃあ、ちょいと行ってくるぜ！\e"
MC0200003,"\h(《アイカ》)行ってきますね！
船長、おばさま！\e"
MC0200004,"\h(《ファイナ》)ヴァイスさん……
アイカさん……
本当に、よろしいんですか？\e"
MC0200005,"\h(《ヴァイス》)気にするなよ、ファイナ。
別に、ファイナのためだけに
行こうってんじゃないんだ。\e"
MC0200006,"\h(《ヴァイス》)人々や船乗りを苦しめるバルアが
月晶を手に入れることだけは
絶対に阻止しなきゃいけない。\e"
MC0200007,"\h(《ヴァイス》)青の空賊として
とことんバルアと
はりあってやるつもりさ。\e"
MC0200008,"\h(《ヴァイス》)それに……
なんてったって、俺自身が一番
大航海に出てみたいんだ！\e"
MC0200009,"\h(《ヴァイス》)月晶はもちろん、古代の遺跡や
まだ見ぬ国々……大空の果て……
すべて、この目で見てやるぜ！\e"
MC0200010,"\h(《アイカ》)ファイナが来るなって言っても
ついていっちゃうんだからね！\e"
MC0200011,"\h(《アイカ》)こーんなワクワクすることを
見逃してちゃ
空賊の名折れだよ！\e"
MC0200012,"\h(《ファイナ》)……はい。
ありがとうございます！\e"
MC0200013,"\h(《ヴァイス》)ファイナ、
月晶のありかについて
心当たりはあるのか？\e"
MC0200014,"\h(《ファイナ》)それぞれの月の下の大陸に
ひとつずつ月晶はあるはずです。\e"
MC0200015,"\h(《ファイナ》)ここから近いところですと……
バルア大陸の黄の月晶か
ナスル大陸の赤の月晶ですが……\e"
MC0200016,"\h(《ダイン》)今はバルアに戻るのは
危険過ぎる。
時機を見たほうがよかろう。\e"
MC0200017,"\h(《ダイン》)東へむかえばナスル大陸がある。
途中、岩礁があって
普通の船では進めないが……\e"
MC0200018,"\h(《ダイン》)このラムキャノンをつけた
リトルジャックなら
岩礁も突破できるだろう。\e"
MC0200019,"\h(《ヴァイス》)よし、決まりだな！
まずは東のナスル大陸へ
赤の月晶を探しに行こうぜ！\e"
MC0200020,"\h(《ドラクマ》)小僧！
そろそろ出港するぞ！\e"
MC0200021,"\h(《ヴァイス》)じゃあ……
行ってくるぜ、オヤジ。\e"
MC0200022,"\h(《ダイン》)ああ、しっかり見てこい。
この世界を
おまえ自身の目でな！\e"
Ms002d000,"\h(《ヴァイス》)俺たちの空賊船
アルバトロス号の絵だ。\e"
Ms002d001,"\h(《ヴァイス》)これ……何の絵なんだろ。
アイカは風船だって言うけど
俺はタコだと思うんだよな。\c"
Ms002d002,"\h(《ヴァイス》)オヤジの葉巻やら本やらが
ぎっしりつまってる。\c"
Ms002d003,"\h(《ヴァイス》)オヤジ率いる
ダイン一家の空賊旗だ。\c"
Ms002d041,"\h(《ヴァイス》)ダイン一家の空賊旗だ。
必ず俺が
みんなを救い出してみせる！\c"
Ms002d004,"\h(《ヴァイス》)お宝の中に良質のハマキがあると
ぜんぶ、オヤジが部屋に
持っていっちまうんだよな。\c"
Ms002d005,"\h(《ヴァイス》)薬の原料とかが
つめこんである木箱だ。\c"
Ms002d006,"\h(《ヴァイス》)武器弾薬……
月Ж石……\c"
Ms002d042,"\h(《ヴァイス》)この部屋の中のものは
すべて無事みたいだ。月Ж石も
武器もすべてそろっている。\c"
Ms002d007,"\h(《ヴァイス》)おっ、うまそう！　新鮮な果物は
なかなか手に入りづらいんだ。
今日の戦利品かな？\c"
Ms002d008,"\h(《ヴァイス》)ラム酒がつまったタルだ。
船乗りには、きついラム酒が
人気があるらしい。\c"
Ms002d043,"\h(《ヴァイス》)酒なんかはそのまま残ってる。
黒の空賊が襲ってきたら、これが
真っ先に奪われるらしい……\c"
Ms002d009,"\h(《ヴァイス》)ラム酒、ぶどう酒……
いろんな酒が
ずらずら並んでいるぞ。\c"
Ms002d044,"\h(《ヴァイス》)酒なんかはそのまま残ってる。
黒の空賊が襲ってきたら、これが
真っ先に奪われるらしい……\c"
Ms002d010,"\h(《ヴァイス》)バルアの戦艦からの戦利品だ。
おちゃめな落書きが
なかなか似合ってるじゃん。\c"
Ms002d045,"\h(《ヴァイス》)バルアからの戦利品を前に
祝杯をあげたばっかりだったのに
こんなことになるとはな……\c"
Ms002d011,"\h(《ヴァイス》)伝声管だ。
オヤジのいる船長室に
つながっているんだよな。\e"
Ms002d012,"\h(《ダイン》)ヴァイス！　まだそんなところで
油を売っているのか！
さっさと上がって来い！\c"
Ms002d013,"\h(《ヴァイス》)伝声管だ。
オヤジのいる船長室に
つながっているんだよな。\e"
Ms002d014,"\h(《ダイン》)なにか用か、ヴァイス。
伝声管を使用するのは
緊急の時だけだと言ったはずだ！\c"
