[Event Name],Task ID
Ms034c000,"\h(《ヴァイス》)やっぱ帆船っていいよなー。
もちろんデルフィナスも
かっこいいけどな。\c"
Ms034c001,"\h(《ヴァイス》)うーん、帆船はいいなあ……って
船が傾きかけてるときに
絵を見ていてもしかたない！\c"
Ms034c002,"\h(《ヴァイス》)商船の並ぶ大きな港町の光景って
かんじだな。
船が好きなヤツが書いたのかな。\c"
Ms034c003,"\h(《ヴァイス》)うーん、いい絵だ。
……って、のんびりしてる
場合じゃないな。\c"
Ms034c004,"\h(《ヴァイス》)今日のオススメは……
トリ肉のオーシャン風煮込みと
空の幸のリゾットか……\c"
Ms034c005,"\h(《ヴァイス》)今日のオススメは……
カスミゼンマイのたきこみご飯と
山ガツオのタタキか……\c"
Ms034c006,"\h(《ヴァイス》)今日の食事当番は……アイカか。
また缶詰を開けただけだな。
せめて温めてほしいんだがな〜。\c"
Ms034c007,"\h(《ヴァイス》)今日の夕飯は……って
のんきにメニューなんかを
見てる場合じゃあないな。\c"
Ms034c008,"\h(《ヴァイス》)また高級品ばっかり並んでるな。
オスマンってどっからこんなに
仕入れてくるんだろう？\c"
Ms034c009,"\h(《ヴァイス》)めちゃめちゃに
ひっくり返ってんなあ。
早く船を立て直さなきゃな！\c"
M00040000,"\h(《パウ》)パウパウ！
パウパウ！\c"
M01000002,"\h(《ポリー》)エスペランザってのは
流れ者やバルア兵くずれが
住みついてんだってね。\e"
M01000003,"\h(《ポリー》)うちの人も、もしかしたら
エスペランザに流れ着いてるかも
しれないねえ。\c"
M01000004,"\h(《ポリー》)うちの人はエスペランザに
いるかと思ったんだが
結局、見つからなかった……\e"
M01000005,"\h(《ポリー》)いったいどこにいるんだろう。
まさかサルガッソーに
挑戦したりなんかは……\c"
M01000006,"\h(《ポリー》)やっとサルガッソーを抜けたね。
サルガッソーであの人と会えて
こんなにうれしいことはないよ。\e"
M01000007,"\h(《ポリー》)ありがとう、ヴァイス！
あんたの船に乗って
本当に良かったよ！\c"
M01000008,"\h(《ポリー》)ああ、ついにサルガッソーを
抜けちまったね……\e"
M01000009,"\h(《ポリー》)なんだか、あの人に会えそうな
気がしてたんだけど……
気のせいだったかねえ……\c"
M01000010,"\h(《ポリー》)なんだか騒がしいねえ。
砲撃戦には勝ったんじゃ
なかったのかい？\c"
M01000011,"\h(《ポリー》)ようやく三日月島に戻るんだね。
うちの人にも会えたし
本当にいい航海だったよ。\c"
M01000012,"\h(《ポリー》)東の果てまで行ったってのに
結局うちの人はいなかったねえ。
いったい、どこにいるんだか……\c"
M01000013,"\h(《ポリー》)氷だらけのところに行くんだろ？
あったかーいもんを
たっぷり食べなきゃねえ。\c"
M01000014,"\h(《ポリー》)氷の大陸なんかにはさすがに
うちの人はいないと思うけど……
どこにいるんだかねえ……\c"
M01000015,"\h(《ポリー》)雲の下まで行こうってんだ。
いっぱい食べておかなきゃ
ダメだよ。\c"
M01000016,"\h(《ポリー》)バルア大陸の下に潜るってね。
まさかそんなとこには
うちの人はいないだろうねえ……\c"
M01000017,"\h(《ポリー》)ファイナちゃん、元気がないね。
明るくふるまっちゃいるけど
あたしにはお見通しさ。\e"
M01000018,"\h(《ポリー》)ただでさえ少食な子なのに
ここのところ食べる量が
ずいぶん減ってるんだよ。\c"
M01000019,"\h(《ポリー》)ずいぶんいろいろなところに
行ったけど……うちの人は
いったいどこにいるんだか……\c"
M01000020,"\h(《ポリー》)エンリックの元気がないねえ。
好物のソライワシグラタンも
残しちまうなんて……\e"
M01000021,"\h(《ポリー》)よっぽどつらいことが
あったみたいだねえ……\c"
M01000022,"\h(《ポリー》)ずいぶん色んなところに
行ったけど……うちの人は
いったいどこにいるんだか……\c"
M01000023,"\h(《ポリー》)もうすぐエンリックと
お別れなんだってねえ……\e"
M01000024,"\h(《ポリー》)それまではあの子の好物を
いっぱい作ってやろうかねえ。\c"
M01000025,"\h(《ポリー》)あたしらのオーシャンに
変なものが出てきたねえ。
まったく気味が悪いったら。\c"
M01000026,"\h(《ポリー》)帰ってきたら、好きなもんを
なんでも作ってやるよ。
がんばってきな、ヴァイス！\c"
M01000027,"\h(《ポリー》)えっ？　氷の大陸に
ドラクマさんがいたのかい？\e"
M01000028,"\h(《ポリー》)そうかい……あの人も
モービス以外に目を向けりゃ
幸せになれると思うんだけどね。\c"
M04090000,"\h(《カリファ》)月の姿を写しし島
新しき姿にてそなたを待つ。\e"
M04090001,"\h(《カリファ》)赤い月のお告げじゃ。
旅の助けとするがよい。\c"
M04090002,"\h(《カリファ》)氷に閉ざされし街にて
おおいなる驚きが
そなたを迎えるであろう。\e"
M04090003,"\h(《カリファ》)赤い月のお告げじゃ。
旅の助けとするがよい。\c"
M04090004,"\h(《カリファ》)今は翼を休める時。
さらなる世界の開きは近い。\e"
M04090005,"\h(《カリファ》)赤い月のお告げじゃ。
旅の助けとするがよい。\c"
M04090006,"\h(《カリファ》)地の底にて待つ者
浅きまどろみにて
目覚めの時を待つ。\e"
M04090007,"\h(《カリファ》)赤い月のお告げじゃ。
旅の助けとするがよい。\c"
M04090008,"\h(《カリファ》)翼を休める地
なつかしき人、そなたを待つ。\e"
M04090009,"\h(《カリファ》)赤い月のお告げじゃ。
旅の助けとするがよい。\c"
M04090010,"\h(《カリファ》)蛇のふところにて
強大なる敵あらわれ
別離をもたらす。\e"
M04090011,"\h(《カリファ》)赤い月のお告げじゃ。
旅の助けとするがよい。\c"
M04090012,"\h(《カリファ》)翼に力をたくわえよ。
光の恵みなき地にて
そなたを待つものあり。\e"
M04090013,"\h(《カリファ》)赤い月のお告げじゃ。
旅の助けとするがよい。\c"
M04090014,"\h(《カリファ》)翼の集う地への道
そなたをはばむ黒い影あらわる。\e"
M04090015,"\h(《カリファ》)赤い月のお告げじゃ。
旅の助けとするがよい。\c"
M04090016,"\h(《カリファ》)蛇の巣は深き底へと伸びる。
日の届かぬ地にて眠る力
悲劇の扉を開きに出ずる。\e"
M04090017,"\h(《カリファ》)赤い月のお告げじゃ。
旅の助けとするがよい。\c"
M04090018,"\h(《カリファ》)闇より参りし地は
翼の到来をこばみ
大いなる悲劇をもたらす。\e"
M04090019,"\h(《カリファ》)赤い月のお告げじゃ。
旅の助けとするがよい。\c"
M04090020,"\h(《カリファ》)赤き月のЭ女、カリファ
全身全霊をこめて
おぬしの勝利を祈ろう。\e"
M04090021,\h(《カリファ》)ムムムムムムムム……\e
M04090022,\h(《カリファ》)カアアアアアアアアッ！\c
M05030000,"\h(《メリダ》)このステージ、チョット怖いネ。
狭いカラ、船揺れルと
落っコチそうにナルよ。\c"
M05030001,"\h(《メリダ》)ドシタ？　慌ててルね。
敵の船、やっつけタでショ？
まだ、ナニかアッタか？\c"
M05030002,"\h(《メリダ》)エンリック、バルアに戻る？
バルア、イヤなとこ。
戻らなくてイイのに……\c"
M05030003,"\h(《メリダ》)ズット大気が震えテルの。
あの大陸、なにか怖イもの
連れテ上がってキタせいよ。\c"
M05030004,"\h(《メリダ》)バルアの方の空が
スゴイ悲鳴をあげテタよ。
なにがアッタの？\c"
M05030005,"\h(《メリダ》)戦いの前、メリダのダンス見る。
ミンナ、勝って、無事に帰る！
これ、絶対ダヨ！\c"
M06310003,"\h(《オスマン》)エスペランザってナスル南端の
あの貧乏くさい街ざますね？
アタシの趣味じゃないざーます！\c"
M06310004,"\h(《オスマン》)サルガッソーなんかに入って
船が壊れたらどーするざます！
大損害ざーます〜！\c"
M06310005,"\h(《オスマン》)ここが東の世界ざーますか！
誰も踏み入れたことのない
幻の国ざーますか！\e"
M06310006,"\h(《オスマン》)民芸品に珍味に……
うふふふふ、もうかりそうな
予感がするざーます！\c"
M06310007,"\h(《オスマン》)あわわわわ！
船に賊が乗りこんできたざます？
アタシのお宝を守るざーます！\c"
M06310008,"\h(《オスマン》)三日月島についたら
商売を始めるざーます！
ガンガンもうけるざーます！\c"
M06310009,"\h(《オスマン》)ナスルでは、氷は庶民には
手の届かぬ超高級品ざます！\e"
M06310010,"\h(《オスマン》)そんな氷が大陸一面にとは
たまらんざーます！
大陸ごと持ちかえるざーます！\c"
M06310011,"\h(《オスマン》)バルアと言えばアタシの店を
焼き払った憎い国ざーます！
行くのもムカツクざーます！\c"
M06310012,"\h(《オスマン》)月晶がぜんぶそろったざます？
おめでたいざーます！\e"
M06310013,"\h(《オスマン》)１つでも高級そうざーますが
フルセットだとさらに
高級感あふれるざーます！\c"
M06310014,"\h(《オスマン》)バルアの基地に行くざます？
鉄くさいばっかりで
つまらなそうざーます！\c"
M06310015,"\h(《オスマン》)エンリック皇子の元気が
ないざーますねえ。
モエギ姫とケンカしたざますか？\e"
M06310016,"\h(《オスマン》)皇子とモエギ姫が別れれば……
玉のコシのチャンス到来ざます！
燃えるざーます！\c"
M06310017,"\h(《オスマン》)皇子がバルアに帰るということは
ついにモエギ姫と破局ざますね？\e"
M06310018,"\h(《オスマン》)猛然とアタックざーます！
アタシの魅力で、玉のコシを
ゲットさーます！\c"
M06310019,"\h(《オスマン》)銀の神殿のミヤゲはないざます？
もうけのチャンスを逃すとは
なさけない船長ざーます！\c"
M06310020,"\h(《オスマン》)ひええええ！
雲海の底から大陸が
上がってきたざーます！\e"
M06310021,"\h(《オスマン》)この世の終わりざーます！
アタシの金と商品を
守らなきゃざーます！\c"
M06310022,"\h(《オスマン》)いつまでもあんな大陸がいては
商売あがったりざーます！
さっさとやっつけるざーます！\e"
M06310023,"\h(《オスマン》)見事に倒して帰ってきたら
とっておきのチューを
あげるざーますよ！\c"
M06330000,"\h(《カシム》)おらおら、しっかり食って休め！
バルアのクソ船を倒すのは
この筋肉なんだからな！\e"
M06330001,"\h(《カシムの部下たち》)おうっ！
合点だ、アニキ！\c"
M06330002,"\h(《カシム》)甲板に敵船が接舷しただと！
殴りこみか、チクショウ！
ふてえやつらだぜ！\c"
M06330003,"\h(《カシム》)なんでえ、あのテンコウとか
いうヤツらを取り逃がしただと？
しょうがねえヤツだな。\e"
M06330004,"\h(《カシム》)いきなり乗り移ってきやがって
なめたヤツらたぜ！
次は必ずボコボコにしてやる！\c"
M06330005,"\h(《カシム》)氷でできた大陸だと？
氷ってのは透明で冷たいヤツか？\e"
M06330006,"\h(《カシム》)細かく砕いた氷は、スルタンの
大好物だって聞いたことがあるが
そんなもんが大陸になるのか？\c"
M06330007,"\h(《カシム》)おらおら、しっかり体力つけろ！
あのおかしな大陸に
殴りこみをかけんだからよ！\e"
M06330008,"\h(《カシムの部下たち》)おうっ！
合点だ、アニキ！\c"
M06330009,"\h(《カシム》)おらおら、しっかり体力つけろ！
いよいよ、あのラミレスの野郎に
借りを返せる日が来たぜえ！\e"
M06330010,"\h(《カシムの部下たち》)おうっ！
バッチリでさあ、アニキ！\c"
M06340000,"\h(《カシムの部下》)怒鳴られっぱなしで
全然、休めねえでやんす。\c"
M06340001,"\h(《カシムの部下》)あの変な船のヤツらが
乗りこんできたんですかい？\c"
M06340002,"\h(《カシムの部下》)東の果てにも空賊ってのは
いやがるんですねえ。\c"
M06340003,"\h(《カシムの部下》)一面、氷の大陸ですかい。
想像もつかねえでやんすよ。\c"
M06340004,"\h(《カシムの部下》)オーシャンのど真ん中に
新しい大陸ができちまうとは
驚きでやんすよ。\c"
M06340005,"\h(《カシムの部下》)砲の整備は完ペキでさあ！
いつでもぶっ放してくだせい。
ヴァイスのアニキ！\c"
M06350000,"\h(《カシムの部下》)怒鳴られないと
落ちつかなく
なっちまったでやんすよ。\c"
M06350001,"\h(《カシムの部下》)えらいこっちゃでやんす！
甲板にいそがねえと！\c"
