[Event Name],Task ID
MA0210000,\h(《アイカ》)やっと着いたね、ヴァイス。\e
MA0210001,"\h(《ヴァイス》)ああ。
しかし、これだけの大きさだと
上まで運ぶのも一苦労だな。\e"
MA0210002,\h(《アイカ》)きゃあっ！\e
MA0210003,\h(《ヴァイス》)どうした、アイカ!?\e
MA0210004,"\h(《アイカ》)ヴァイス……
こ、これ……！\e"
MA0140000,"\h(《アイカ》)はあ……
よーやく止まったよ。
なんだったの、これ？\e"
MA0140001,"\h(《ヴァイス》)古代の石像かな？
それよりアイカ、はやく月Ж石を
確保しようぜ。\e"
MA0140002,\h(《アイカ》)オーケィ！\e
MA0140003,"\h(《アイカ》)わあ……
おっきい月Ж石！\e"
MA0140004,"\h(《ヴァイス》)苦労したかいがあったな。
これでしばらく
燃料には困らないぜ！\e"
MA0140005,"\h(《アイカ》)きれい……
こーやって、お宝探しをするのも
空賊の醍醐味だよね！\e"
MA0140006,\h(《アイカ》)フフッ、みんな喜ぶだろうな！\e
MA0140007,"\h(　)「月Ж石の原石」を
　手に入れた。\c"
MA0290000,"\h(《ヴァイス》)うはぁ……中は
流れこんだ水でいっぱいだ。\e"
MA0290001,"\h(《ヴァイス》)……おっ！
月Ж石が、あんなところに
沈んでいるぞ！\c"
MA0290002,"\h(《アイカ》)さっすが、落ちたての月Ж石ね。
すごい光！\e"
MA0290003,"\h(《アイカ》)ねー、ヴァイス。
どうやってあの月Ж石を
回収するつもりなの？\e"
MA0290004,"\h(《そうだな……》)「泳いで取りにいこう」
「たまってる水を抜こう」\e"
MA0290005,"\h(《ヴァイス》)泳いで取りにいこう。
このぐらいの深さなら
もぐっていけないことはないぜ。\e"
MA0290006,"\h(《アイカ》)やだよー！
あたしが泳げないの
ヴァイスも知ってるでしょ。\e"
MA0290007,"\h(《ヴァイス》)ハハハ、子供のころに
井戸に落ちていらい、アイカは
水が苦手だったよな。\e"
MA0290008,"\h(《アイカ》)それに、あんな重そうな月Ж石を
水の上まで泳いで持ってくるのは
ムリだと思うよ。\e"
MA0290009,"\h(《ヴァイス》)……そう言われれば
あの石をかかえて泳ぐのは
ちょっと難しそうだな。\e"
MA0290010,"\h(《ヴァイス》)たまってる水を抜こう。
そうすれば、月Ж石のとこまで
歩いていけるぜ。\e"
MA0290011,"\h(《アイカ》)そっか、そんな手があったね！
あたし、あんまり泳げないし
どうしようかと思ってたよ。\e"
MA0290012,"\h(《ヴァイス》)とは言うものの
どうやってこれだけの水を
抜いたもんかな……\e"
MA0290013,"\h(《アイカ》)ねーねー、ヴァイス。
あれ見てよ。\c"
MA0290014,"\h(《アイカ》)あそこに、扉があるよ。
あの扉を開ければ
水が抜けるんじゃない？\e"
MA0290015,"\h(《ヴァイス》)なるほど……
あの扉を排水溝がわりに
使うってわけか。おもしろいな。\e"
MA0290016,"\h(《アイカ》)きーまりっ！
じゃ、その手でいこ！\c"
M01030000,"\h(《ヴァイス》)ダメだ、ビクともしない。
島と大陸が合体したせいで
外には出られなくなったんだな。\c"
M01030001,"\h(《どうする？》)「出航する」
「島の探索をつづける」\c"
M01030002,"\h(《さてと……》)「リトルジャックに帰艦する」
「島の探索をつづける」\c"
M01030003,"\h(《さてと……》)「デルフィナスに帰艦する」
「島の探索をつづける」\c"
M01030004,"\h(《ヴァイス》)何だ、こいつの体……
見たこともない、不思議な金属で
できてるぞ。\c"
"",me198a.sct
"",me002a.sct
"",me103a.sct
"",me103c.sct
"",me103a.sct
"",me131a.sct
"",me103c.sct
"",me103c.sct
"",me103c.sct
"",me103c.sct
"",me103c.sct
"",me103c.sct
"",me131c.sct
"",M0250
"",m5030000
"","A21発生。
たたかってしねや〜\c"
"",a103ba21.mld
"",M0250
"",e6a021
"",a103ba21.mld
"","A14発生。
こうしてヴァイス達は
げっこー石を手に入れた。\c"
"",a103ba14.mld
"",M0250
"",e6a014
"",a103ba14.mld
"","A29発生。
あ、見て月煌石が水の中に！！\c"
