[Event Name],Task ID
MB001000,"\h(《アイカ》)視界不良ー！
ヴァイス、霧が出てきたよ。\e"
MB001001,"\h(《ヴァイス》)おっかしいな、この空域で
霧が発生するなんて……\e"
MB001002,"\h(《ヴァイス》)でも、バルアへ行くには
ここをまっすぐ進むしかない。
半速で前進しようぜ。\e"
MB001003,"\h(《アイカ》)ちょっと待って、ヴァイス。
なにか……ヘンだよ……\e"
MB001004,"\h(《ヴァイス》)な、なんだ？
浮遊島か!?\e"
MB001005,\h(《アイカ》)きゃーっ！\e
MB001006,\h(《アイカ》)み、見てヴァイス！\e
MB001007,"\h(《アイカ》)し、島じゃないよっ！
こいつ、生きてるっ！\e"
MB001008,"\h(《ヴァイス》)ま、まさか……
クジラか!?\e"
MB001009,"\h(《ヴァイス》)ひえーっ……
こんなデカいクジラは
初めて見たぜ。\e"
MB001010,"\h(《アイカ》)こんな小船じゃ
近づいただけで
吹き飛ばされちゃいそうね……\e"
MB001011,\h(《アイカ》)ヴァイス、どうする？\e
MB001012,"\h(《どうする!?》)「ぶっ倒すに決まってるだろ」
「逃げるに決まってるだろ」
「……どうしよう？」\e"
MB001013,"\h(《ヴァイス》)ぶっ倒すに決まってるだろ。
船を沈められるわけには
いかないじゃねえか！\e"
MB001014,"\h(《アイカ》)む、ムチャクチャ言わないでよ！
砲も積んでいないこんな小船で
どうやって倒すのよ。\e"
MB001015,"\h(《アイカ》)一刻もはやくバルアに
行かなくちゃならないのに
そんなことしてるヒマはないよ！\e"
MB001016,"\h(《ヴァイス》)逃げるに決まってるだろ。
こんな小船じゃ戦っても
勝ち目はないしな。\e"
MB001017,"\h(《ヴァイス》)俺たちの目的はバルアへ
行くことだ。こんなバケモノを
相手にしてるヒマはない。\e"
MB001018,"\h(《アイカ》)オーケィ。
それがまっとーな判断よね。\e"
MB001019,"\h(《ヴァイス》)……どうしよう？
アイカ、何かいい知恵ねえか？\e"
MB001020,"\h(《アイカ》)ンもう！
頼りないこと言わないでよ！\e"
MB001021,"\h(《アイカ》)うーん……
こんな小船じゃ勝負にならないし
ここは逃げたほうがよさそうね。\e"
MB001022,\h(《アイカ》)きゃあああっ！\e
MB001023,"\h(《アイカ》)ヴァ……ヴァイス……
飛ばされちゃう！\e"
MB001024,"\h(《ヴァイス》)何かにしっかりつかまれ！
船からふり落とされたら
おしまいだぞ！\e"
MB001025,"\h(《アイカ》)で、でも……
もう……船がもたないよ！\e"
MB001026,\h(《ヴァイス・アイカ》)うわああああああっ!!\e
MB0070000,"\h(《空賊》)バルボア船長！
左舷方向にナスルの商船が
見えやすぜ！\e"
MB0070001,"\h(《空賊》)何だか、ミョウな船が
はりついているのが
気になりやすが……\e"
MB0070002,"\h(《バルボア》)ガハハハ！
あんな旧型艦なんざ
気にするこたあねェ！\e"
MB0070003,"\h(《バルボア》)黒の空賊・バルボアさまの
恐ろしさを、たっぷりと
教えてやるぜェ！\e"
MB0070004,"\h(《バルボア》)いくぜェ、野郎ども！
戦闘準備だ！\e"
MB0070005,"\h(《バルボア》)一人も生かして帰すな！
すべてを奪え！　手に入れろ！\e"
MB0070006,"\h(《アイカ》)ヴァイス、前方に船影よ！
黒いドクロの旗……
黒の空賊みたい！\e"
MB0070007,"\h(《ヴァイス》)あれがバルボアってヤツだな。
おっさん、どうする？\e"
MB0070008,"\h(《ドラクマ》)むこうはおそらく大人数だ。
白兵戦は不利だろう。
砲撃戦で勝負だ。\e"
MB0070009,"\h(《ドラクマ》)やつの船が攻撃してくる時は
守りを固め、攻撃の機があれば
砲弾を思い切りぶちこめ。\e"
MB0070010,"\h(《ヴァイス》)了解！
やつの船のどてっ腹に
大穴を開けてやろうぜ！\e"
MF0030000,\h(《ヴァイス》)いよいよ、バルアの上空だな。\e
MF0030001,"\h(《ヴァイス》)ここには黄の月晶が
あるんだっけ？\e"
MF0030002,"\h(《ファイナ》)ええ。この大陸のどこかに
黄のギガスとともに
封印されているはずです。\e"
MF0030003,"\h(《アイカ》)バルアの本土だし
気をつけていかなきゃ。
ねえ、船長？\e"
MF0030004,\h(《ドラクマ》)…………\e
MF0030005,"\h(《アイカ》)……もしもし、船長？
どうしたの？\e"
MF0030006,"\h(《ドラクマ》)あ……い、いや。
すまん……何か言ったか？\e"
MF0030007,"\h(《アイカ》)う、ううん……
別に、何でもないけど。\e"
MJ0110000,"\h(《空賊》)バルボア船長！
左舷方向に、えれえ強そうな船が
見えやすぜ！\e"
MJ0110001,"\h(《空賊》)あれは……最近ウワサの
青の空賊・ヴァイスが乗る
デルフィナスですぜ！\e"
