Entry ID,Entry JP Name,PC ID,[PC Name],Sell%,Ord by 123,JP Ord by ABC,Effect ID,[Effect Name],Buy,Attack,Hit%,Trait ID,[Trait Name],Pad 1,Trait Value,[JP Descr Pos],[JP Descr Size],JP Descr Str
0,カトラス,0,Vyse,50,0,4,-1,None,70,20,90,-1,None,0,0,0x33869c,96,父であるダイン船長からもらった大小２本組の剣。\n短い方が特にお気に入りで、肌身離さず持っている。
1,空賊のカトラス,0,Vyse,50,1,24,-1,None,220,33,90,-1,None,0,0,0x3386fc,88,オーシャン周辺に暮らす空賊が持つ一般的な剣。\n軽くて刀身が短いため、とても扱いやすい。
2,スカイカトラス,0,Vyse,50,2,36,-1,None,450,45,90,-1,None,0,0,0x338754,96,屈強な空の男たちが持つ切れ味抜群のカトラス。\n長い船旅の際、船上で魚をさばく時などは重宝する。
3,提督のカトラス,0,Vyse,50,9,44,-1,None,4970,128,90,-1,None,0,0,0x3387b4,88,東征艦隊を率いたかつての提督が、エスペランザに\n駐留した際に現地で作らせた年代モノの剣。
4,処刑のカトラス,0,Vyse,50,3,33,0,Poison by 10%,830,58,90,-1,None,0,0,0x33880c,100,悪名高いバルアの処刑場で、しばしば用いられる剣。\n刃に塗った毒で相手にダメージを与えることがある。
5,雷鳴のカトラス,0,Vyse,50,13,68,-1,None,8610,160,90,36,Yellow,0,-2,0x338870,100,イェラーガの体内から出てきた古代文明のカトラス。\n稲妻のように波打った鋭い刃が、暗雲すら切り裂く。
6,斬鉄のカトラス,0,Vyse,50,7,30,-1,None,3870,112,90,-1,None,0,0,0x3388d4,92,ナスルの地に鉄器文化が入ってきた時代の刃物。\nとても硬い石の刃で、鉄を加工する際に使われた。
7,ナスルカトラス,0,Vyse,50,4,47,-1,None,1340,70,90,-1,None,0,0,0x338930,96,硬い石を鋭利に磨いた剣で、砂漠を行き交う商人が\n盗賊や猛獣から身を護るために身につけたカトラス。
8,ダカットの秘剣,0,Vyse,50,8,43,1,Sleep by 50%,4690,120,90,-1,None,0,0,0x338990,96,伝説の大空賊ダカットが死ぬまで愛用していた剣。\n斬りつけた相手を眠らせてしまう力を秘めている。
9,狩猟のカトラス,0,Vyse,50,5,31,-1,None,2280,87,90,-1,None,0,0,0x3389f0,96,軽く鋭い刃が猛獣の牙を連想させる狩猟用の剣。\nモンテスマ人はみな、この武器を手足のように扱う。
10,大地のカトラス,0,Vyse,50,6,41,-1,None,3120,99,90,-1,None,0,0,0x338a50,96,元々はモンテスマ人が岩盤を切断するのに用いたが、\nこれは刃の部分を加工し戦闘用に改造したもの。
11,夢追いのカトラス,0,Vyse,50,10,67,-1,None,6690,137,90,35,Blue,0,-2,0x338ab0,100,未開の地を往く探検者の必需品ともいえる諸刃の剣。\n叩きつけるように振って、未来を切り開くカトラス。
12,ソランチュの剣,0,Vyse,50,12,39,-1,None,8760,153,90,-1,None,0,0,0x338b14,92,船のへさきを模して作られた空賊専用の長剣。\n刀身がそり返っており、馴れるまで扱いが難しい。
13,龍貫鬼斬剣,0,Vyse,50,15,69,-1,None,16500,200,200,-1,None,0,0,0x338b70,100,名工・リュウカンが人生を賭けた逸品。大雲海の底に\n眠っていたウンデイ鉄が、究極の斬れ味を生み出す。
14,モノノフの剣,0,Vyse,50,11,66,-1,None,7500,141,90,-1,None,0,0,0x338bd4,92,ヤフトマーの兵士が脇に差している護身用の剣。\n刀身が厚くやや重いが、短めで非常に扱いやすい。
15,心斬剣,0,Vyse,50,14,35,16,Unconscious by 5%,12340,174,90,-1,None,0,0,0x338c30,96,名工・リュウカンの最高傑作。この世の物質では、\nこれを越えるものは作れない。即死の効果もある。
16,ブーメラン,1,Aika,50,17,56,-1,None,70,19,110,-1,None,0,0,0x338c90,92,アイカお気に入りのブーメラン。大きいわりに\n軽い材質でできており比較的目標に命中しやすい。
17,ガルウィング,1,Aika,50,26,5,-1,None,3670,107,110,-1,None,0,0,0x338cec,100,カモメの翼のかたちを模したデザインのブーメラン。\nどんなに遠くに投げても飼い鳥のように戻ってくる。
18,船乗りの投刃,1,Aika,50,21,59,-1,None,680,53,110,-1,None,0,0,0x338d50,96,遠域を旅する船乗りが護身のために携行する武器。\n大きな刃がどう猛な獣の胴体を真っ二つに切り裂く。
