Entry ID,[Filter],[EC ID],[EC JP Name],[EC US Name],State ID,[State Name],Unk 1,Unk 2,Motion ID,[Motion Name],Motion Flags,Param ID,[Param Name],Unk 3,Blend Time,Play Rate
0,MB000.STD,0,軍艦兵,Soldier,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.00
1,MB000.STD,0,軍艦兵,Soldier,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,5.00,1.00
2,MB000.STD,0,軍艦兵,Soldier,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
3,MB000.STD,0,軍艦兵,Soldier,4,Close Attack,1,8,3,Close Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
4,MB000.STD,0,軍艦兵,Soldier,8,Critical Attack,1,8,4,Critical Attack,0b10001000001000000000000000000000,-1,None,0,5.00,1.00
5,MB000.STD,0,軍艦兵,Soldier,9,Take Damage 1,1,11,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
6,MB000.STD,0,軍艦兵,Soldier,5,Ranged Attack,1,8,6,Ranged Attack,0b10001000000000000000000000000000,-1,None,0,5.00,0.80
7,MB000.STD,0,軍艦兵,Soldier,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MB000.STD,0,軍艦兵,Soldier,11,Take Damage 3,1,10,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
9,MB000.STD,0,軍艦兵,Soldier,12,Guard,1,8,9,Guard,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
10,MB000.STD,0,軍艦兵,Soldier,13,Dodge,1,8,10,Dodge,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
11,MB000.STD,0,軍艦兵,Soldier,19,Withdraw,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
12,MB000.STD,0,軍艦兵,Soldier,32,Knockdown,1,10,12,Revive,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
13,MB000.STD,0,軍艦兵,Soldier,29,Exec S-Move,1,8,13,Focus,0b10001000000000000000000000000000,70,手りゅう弾,0,5.00,1.00
14,MB000.STD,0,軍艦兵,Soldier,29,Exec S-Move,1,8,13,Focus,0b10001000000000000000000000000000,71,毒ガス爆弾,0,5.00,1.00
15,MB000.STD,0,軍艦兵,Soldier,29,Exec S-Move,1,8,15,Run,0b10001000000000000000000000000000,72,サプハネの葉,0,5.00,1.00
0,MB001.STD,1,航行士,Guard,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.00
1,MB001.STD,1,航行士,Guard,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,5.00,1.00
2,MB001.STD,1,航行士,Guard,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.80
3,MB001.STD,1,航行士,Guard,4,Close Attack,1,8,3,Close Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
4,MB001.STD,1,航行士,Guard,8,Critical Attack,1,8,4,Critical Attack,0b10001010000000000000000000000000,-1,None,0,5.00,1.00
5,MB001.STD,1,航行士,Guard,9,Take Damage 1,1,11,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
6,MB001.STD,1,航行士,Guard,5,Ranged Attack,1,8,6,Ranged Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
7,MB001.STD,1,航行士,Guard,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MB001.STD,1,航行士,Guard,11,Take Damage 3,1,10,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
9,MB001.STD,1,航行士,Guard,12,Guard,1,8,9,Guard,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
10,MB001.STD,1,航行士,Guard,13,Dodge,1,8,10,Dodge,0b10001010000000000000000000000000,-1,None,0,0.00,1.20
11,MB001.STD,1,航行士,Guard,16,Use Item 1,1,8,11,Defeat,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
12,MB001.STD,1,航行士,Guard,21,Cast Magic,1,8,12,Revive,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
13,MB001.STD,1,航行士,Guard,32,Knockdown,1,10,13,Focus,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
14,MB001.STD,1,航行士,Guard,24,Exec Magic/S-Move,1,8,12,Revive,0b10001000000000000000000000000000,13,クイッカ,0,5.00,1.00
15,MB001.STD,1,航行士,Guard,24,Exec Magic/S-Move,1,8,12,Revive,0b10001000000000000000000000000000,1,アポス,0,5.00,1.00
16,MB001.STD,1,航行士,Guard,24,Exec Magic/S-Move,1,8,12,Revive,0b10001000000000000000000000000000,32,ボルタ,0,5.00,1.00
17,MB001.STD,1,航行士,Guard,24,Exec Magic/S-Move,1,8,12,Revive,0b10001000000000000000000000000000,27,グラシィ,0,5.00,1.00
18,MB001.STD,1,航行士,Guard,29,Exec S-Move,1,8,11,Defeat,0b10001000000000000000000000000000,79,サプの葉,0,5.00,1.00
19,MB001.STD,1,航行士,Guard,29,Exec S-Move,1,8,11,Defeat,0b10001000000000000000000000000000,80,サプガンの葉,0,5.00,1.00
20,MB001.STD,1,航行士,Guard,29,Exec S-Move,1,8,11,Defeat,0b10001000000000000000000000000000,81,サプヤクの葉,0,5.00,1.00
0,MB002.STD,2,ミクラステル,Seeker,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.00
1,MB002.STD,2,ミクラステル,Seeker,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,5.00,1.00
2,MB002.STD,2,ミクラステル,Seeker,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.10
3,MB002.STD,2,ミクラステル,Seeker,4,Close Attack,1,8,3,Close Attack,0b10001010001000000000000000000000,-1,None,0,5.00,1.00
4,MB002.STD,2,ミクラステル,Seeker,8,Critical Attack,1,8,4,Critical Attack,0b10001010001000000000000000000000,-1,None,0,5.00,1.00
5,MB002.STD,2,ミクラステル,Seeker,9,Take Damage 1,1,11,5,Take Damage 1,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
6,MB002.STD,2,ミクラステル,Seeker,5,Ranged Attack,1,8,6,Ranged Attack,0b10001010000000000000000000000000,-1,None,0,5.00,1.00
7,MB002.STD,2,ミクラステル,Seeker,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MB002.STD,2,ミクラステル,Seeker,11,Take Damage 3,1,10,5,Take Damage 1,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
9,MB002.STD,2,ミクラステル,Seeker,13,Dodge,1,8,9,Guard,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
10,MB002.STD,2,ミクラステル,Seeker,19,Withdraw,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
11,MB002.STD,2,ミクラステル,Seeker,20,Idle 3,1,15,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
12,MB002.STD,2,ミクラステル,Seeker,32,Knockdown,1,10,12,Revive,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
13,MB002.STD,2,ミクラステル,Seeker,29,Exec S-Move,1,8,13,Focus,0b10001010000000000000000000000000,4,レーザー,0,5.00,1.00
0,MB003.STD,3,マロッカ,Marocca,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.00
1,MB003.STD,3,マロッカ,Marocca,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,8.50,1.00
2,MB003.STD,3,マロッカ,Marocca,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
