[Event Name],Task ID
MG0070000,\h(《Aika》)Aaahhh!!\e
MG0070001,"\h(《Gilder》)My men are right on time. 
Heh… but we're running a little late.\e"
MG0070002,"\h(《Vyse》)Whoa! Look at that firepower!
Hey, what about Clara?\e"
MG0070003,"\h(《Gilder》)I'm sure she can hold her own… 
I think.\e"
MG0070004,\h(《Aika》)That cannon we ran through… It just exploded!\e
MG0070005,"\h(《Vyse》)The explosion took out that whole area.
They won't be putting that fire out any time
soon.\e"
MG0070006,"\h(《Gilder》)Heh… I, umm, left them a little present… \e"
MG0070007,"\h(《Gilder》)Are you two ready?
Here's where the real fun begins.\e"
M01160000,"\h(《ヴァイス》)ほとんど板みたいな寝台だ。
ふとんも何もない。\c"
M01160001,"\h(《ヴァイス》)これまでも、数多くの人が
この牢獄の、この寝台の上で
息を引きとったんだろうな……\c"
M01160002,"\h(《ヴァイス》)ここから見えるのは
バルアのにごった空だけだ……\c"
M01160003,"\h(《ヴァイス》)寝台は二つあるが……
ファイナはどうしたんだ？\e"
M01160004,"\h(《アイカ》)それが……わかんないのよ。
ここに連れてこられたのは
あたしだけだったし……\e"
M01160005,"\h(《ヴァイス》)俺たちの牢獄と同じベッドだ。
女だからといって
特別サービスはないようだな。\c"
M01160006,"\h(《ヴァイス》)俺たちの牢獄の
ちょうど真上がここなんだな。\c"
M01160007,"\h(《ヴァイス》)……ダメだ、開かない。
カギがかかってるようだ。\c"
M01160008,"\h(　)「要塞砲区のカギ」を使って
　ドアを開けた。\c"
M01160009,"\h(《昇降機のスイッチだ……》)「牢獄区　　　　　２階」
「要塞砲区　２８番砲台」
「乗るのをやめる」\c"
M01160010,"\h(《昇降機のスイッチだ……》)「牢獄区　　　　　１階」
「要塞砲区　２８番砲台」
「乗るのをやめる」\c"
M01160011,"\h(《昇降機のスイッチだ……》)「牢獄区　　１階」
「牢獄区　　２階」
「乗るのをやめる」\c"
M01160012,"\h(《ヴァイス》)……ダメだ、開かない。
「要塞砲区のカギ」でもダメだ。
別のカギじゃないとダメか……\c"
M01160013,"\h(　)「軍港区のカギ」を使って
　ドアを開けた。\c"
M01160014,"\h(《ヴァイス》)くそ、この扉は
ガッチリ閉じられてる上に
カギ穴もないぞ。\e"
M01160015,"\h(《ギルダー》)おそらく、要塞の中枢部へ
通じているんだろうさ。
ここを開けるのはあきらめよう。\c"
M01160016,"\h(《ギルダー》)この扉は、要塞の中枢部へ
通じているんだろうな。
開くのはあきらめたほうがいい。\c"
M01160017,"\h(《ヴァイス》)どうやら、この石板に
何かのタイミングで乗ることで
扉が開くようだな。\c"
M01160018,"\h(《ギルダー》)おっ、ハデにやってるな。
あいつらのおかげで、かなり
要塞内をかくらんできたぜ。\c"
M01160019,"\h(《ヴァイス》)……ん？
スイッチを押しても
反応がないぞ。\e"
M01160020,"\h(《ギルダー》)こりゃ、他の階に
呼ばれてんだな。
隣のやつを使おうぜ。\c"
M01160021,\h(《アイカ》)ぎにゃーっ！\e
M01160022,\h(《ヴァイス》)……今の声は、アイカか!?\c
M01160023,\h(《ビゴロ》)ベイビィ……効いたぜ……\c
M01160024,"\h(　)バルア兵から
「軍港区のカギ」を
奪い取った。\c"
"",me116e.sct
"",me116d.sct
"",me116g.sct
"",\h(セーブしますか？)
"","はい
いいえ\c"
"",m5160000
"",k8160000
"",EV_G07発生しました。\c
"",a116cg07ef03.mld
"",a116cg07ef08.mld
"",a116cg07ef09.mld
"",a116cg07ef10.mld
"",a116cg07ef11.mld
"",a116cg07ef16.mld
"",a116cg07ef17.mld
"",a116cg07ef18.mld
"",a116cg07_1.mld
"",a116cg07_1.mld
"",e6g007
"","\h(ギルダー)「なあに、手はうってあるさ。
　そろそろ、かな。」\c"
"",a116cg07_1.mld
"",a116cg07ef03.mld
"",a116cg07ef08.mld
"",a116cg07ef09.mld
"",a116cg07ef10.mld
"",a116cg07ef11.mld
"",a116cg07ef16.mld
"",a116cg07ef17.mld
"",a116cg07ef18.mld
"",a116cg07_2.mld
