Entry ID,[Filter],[PC ID],[PC Name],State ID,[State Name],Unk 1,Unk 2,Motion ID,[Motion Name],Motion Flags,Param ID,[Param Name],Unk 3,Ranged Speed,Close Speed
0,MA000.STD,0,Vyse,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,4,1.00,15.00
1,MA000.STD,0,Vyse,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.30,1.00
2,MA000.STD,0,Vyse,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MA000.STD,0,Vyse,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MA000.STD,0,Vyse,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MA000.STD,0,Vyse,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MA001.STD,1,Aika,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,4,1.00,15.10
1,MA001.STD,1,Aika,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.40,1.00
2,MA001.STD,1,Aika,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MA001.STD,1,Aika,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MA001.STD,1,Aika,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MA001.STD,1,Aika,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MA002.STD,2,Fina,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,4,1.00,15.00
1,MA002.STD,2,Fina,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.50,1.00
2,MA002.STD,2,Fina,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MA002.STD,2,Fina,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MA002.STD,2,Fina,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MA002.STD,2,Fina,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MA003.STD,3,Drachma,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,5,1.00,15.00
1,MA003.STD,3,Drachma,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.30,1.00
2,MA003.STD,3,Drachma,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MA003.STD,3,Drachma,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MA003.STD,3,Drachma,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MA003.STD,3,Drachma,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MA004.STD,4,Enrique,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,4,1.00,15.00
1,MA004.STD,4,Enrique,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.50,1.00
2,MA004.STD,4,Enrique,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MA004.STD,4,Enrique,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MA004.STD,4,Enrique,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MA004.STD,4,Enrique,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MA005.STD,5,Gilder,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,5,1.00,15.00
1,MA005.STD,5,Gilder,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.45,1.00
2,MA005.STD,5,Gilder,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MA005.STD,5,Gilder,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MA005.STD,5,Gilder,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MA005.STD,5,Gilder,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MA010.STD,10,キュピル,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA010.STD,10,キュピル,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA010.STD,10,キュピル,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA011.STD,11,キュピランス,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA011.STD,11,キュピランス,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA011.STD,11,キュピランス,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA012.STD,12,キュピングスター,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA012.STD,12,キュピングスター,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA012.STD,12,キュピングスター,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA013.STD,13,キュピコーン,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA013.STD,13,キュピコーン,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA013.STD,13,キュピコーン,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA014.STD,14,キュピアー,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA014.STD,14,キュピアー,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA014.STD,14,キュピアー,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA015.STD,15,キュピクルブレド,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA015.STD,15,キュピクルブレド,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA015.STD,15,キュピクルブレド,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA016.STD,16,キュピルソード,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA016.STD,16,キュピルソード,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA016.STD,16,キュピルソード,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA017.STD,17,キュピラス,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA017.STD,17,キュピラス,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA017.STD,17,キュピラス,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA018.STD,18,キュピバッソ,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA018.STD,18,キュピバッソ,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA018.STD,18,キュピバッソ,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA019.STD,19,フォールンキュピ,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA019.STD,19,フォールンキュピ,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA019.STD,19,フォールンキュピ,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA020.STD,20,キュピットラップ,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA020.STD,20,キュピットラップ,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA020.STD,20,キュピットラップ,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA021.STD,21,ヘビーキュピル,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA021.STD,21,ヘビーキュピル,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA021.STD,21,ヘビーキュピル,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA022.STD,22,キュピルパン,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA022.STD,22,キュピルパン,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA022.STD,22,キュピルパン,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA023.STD,23,クラブキュピル,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA023.STD,23,クラブキュピル,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA023.STD,23,クラブキュピル,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA024.STD,24,キュピゲンノー,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA024.STD,24,キュピゲンノー,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA024.STD,24,キュピゲンノー,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA025.STD,25,キュピファイナル,0,Set Approach Speed,0,7,0,Idle 1,0b01000000000000000000000000000000,0,???,0,1.00,5.00
1,MA025.STD,25,キュピファイナル,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA025.STD,25,キュピファイナル,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
