[Event Name],Task ID
M06000003,"\h(《Sailor 》)I came intending to replenish my supplies in
Nasrad, but the place has burned to the ground!
What a shock!\e"
M06000004,"\h(《Sailor 》)There's almost nothing being sold in the shops,
and even what's available is so expensive. But I
still have to replenish my supplies somehow... \e"
M06000005,"\h(《Sailor 》)Let's see, I've bought the Moon Stones I need,
so now I have to find 5 barrels of drinking
water...   \e"
M06000006,"\h(《Sailor》)The shops are finally starting to fill up again.
Looks like I can start using Nasrad as a regular
resupply point again. \e"
M06010004,"\h(《Nasr Merchant 》)Let us see... A box of tomatoes with one, two...
No, this box is not any good either.\e"
M06010005,"\h(《Nasr Merchant 》)When only this many survive the fire, you cannot
miscount even if you want to.\c"
M06010006,"\h(《Nasr Merchant 》)Ixa'takan cypress… Let us see, we have two, 
four… \e"
M06010007,"\h(《Nasr Merchant 》)Do not talk to me now!
I am busy with the relief supplies.\c"
M06330011,"\h(《Khazim 》)Arghh!!… Crap! Dammit all! They called me the 
best gunner around! I was Khazim, the crack 
shot!\e"
M06330012,"\h(《Khazim 》)But I let down my guard, and before I could do 
anything to stop them, the enemy turned the 
whole city to dust. \e"
M06330013,"\h(《Khazim 》)It really chaps my hide! I think I will fly 
right over to Valua and give them a blast in the
chops!\e"
M06330014,"\h(《Vyse 》)Calm down, calm down. You do anything like that,
and you'll get blasted right back. It's way too
reckless.\e"
M06330015,"\h(《Aika 》)Ha, ha. So says the man who was so reckless as
to escape from Valua twice over.\e"
M06330016,"\h(《Khazim 》)Wh, what is that? Y, you are not… ?\e"
M06330017,"\h(《Khazim 》)Could you be that pirate Vyse who abducted the
Valuan prince and blasted your way out of the
Grand Fortress?\e"
M06330018,"\h(《Vyse 》)Well, I don't know about the abducted part, but 
otherwise, yes, I am indeed Vyse. \e"
M06330019,"\h(《Khazim 》)In that case, you've got to do this for me,
Vyse! Let me join your crew!  \e"
M06330020,"\h(《Khazim 》)I will never be satisfied until I have delivered
a blow from my cannon to Valua!\e"
M06330021,"\h(《Khazim 》)I must join forces with you and become the your 
ship's gunner. Good! It is decided!\e"
M06330022,"\h(《Vyse 》)Well, well, it doesn't sound like you'll take no
for an answer, so I suppose we might as well
have you come aboard.\e"
M06330023,\h(《》)Khazim has joined your crew as a ”Gunner.”\c
M06340002,"\h(《Khazim's Man 》)Our job was to defend Nasrad, but we were
completely helpless to do anything.\e"
M06340003,"\h(《Khazim's Man 》)It makes me damn angry, and I'd sure like to go 
beat Valua to a pulp!\c"
M06350002,\h(《Khazim's Man 》)Boss Khazim is in the turret on top of the wall!\e
M06350003,"\h(《Khazim's Man 》)Boss says he's going to attack Valua and get
revenge even if he has to do it all by himself.\e"
M06020100,"\h(《船装備屋店主》)やあ、逃走王のヴァイスはんか！
たまには落ちついて
大砲でも買うていったらどうや？\e"
M06020101,"\h(《船装備屋店主》)やあ兄弟、調子はどや？
大砲でもドカ〜ンと
買うていかへんか？\e"
M06020102,"\h(《船装備屋店主》)よう兄さん、調子はどや？
大砲でもドカ〜ンと
買うていかへんか？\e"
M06020103,"\h(《船装備屋店主》)あんた、近頃売りだし中とかいう
ヴァイスはんやな。
よかったら何か買うてってや。\e"
M06020104,"\h(《船装備屋店主》)お、ヴァイスはんやな。
よう来たな、最近あんさんの
ウワサをよう聞くで。\e"
M06020105,"\h(《船装備屋店主》)よっ、空賊の新星ヴァイスはん！
ささ、大砲をドカ〜ンと
買うていってくんなはれ！\e"
M06020106,"\h(《船装備屋店主》)よっ、威風堂々のヴァイスはん！
ささ、大砲をドカ〜ンと
買うていってくんなはれ！\e"
M06020107,"\h(《船装備屋店主》)いらっしゃい、ヴァイスはん！
ウワサは、船乗り島やマランバの
わいの兄弟から聞いてまっせ！\e"
M06020108,"\h(《船装備屋店主》)いらっしゃい、ヴァイスはん！
ウワサは、船乗り島やマランバの
わいの兄弟から聞いてまっせ！\e"
M06020109,"\h(《船装備屋店主》)やあやあ、ヴァイスはん！
大航海者のあんたや、ドカ〜ンと
何か買うていってくれるやろ！\e"
M06020110,"\h(《船装備屋店主》)やあやあ、ヴァイスはん！
大空をまたぐというあんたや、
何か買うていってくれるやろ！\e"
M06020111,"\h(《船装備屋店主》)不可能破りのヴァイスはん！
いやー、あんさんとこうして
商売できるなんて夢みたいや！\e"
M06020112,"\h(《船装備屋店主》)男の中の男、ヴァイスはん！
いやー、あんさんとこうして
商売できるなんて夢みたいや！\e"
M06020113,"\h(《船装備屋店主》)ようこそ、空賊王ヴァイスはん！
あんさんの評判は、この街にも
鳴り響いてますで！\e"
M06020008,"\h(《船装備屋店主》)やあ兄弟、航海の調子はどや？
大砲でもドカ〜ンと
買うていかへんか？\e"
M06020009,"\h(《どうする？》)「船装備を売買する」
「世間話をする」
「店を出る」\e"
M06020010,"\h(《船装備屋店主》)バルアのやつら
ホンマ、容赦ないで。\e"
M06020011,"\h(《船装備屋店主》)うちの商売モン、ぜーんぶ
巻き上げていきよった。\e"
M06020012,"\h(《船装備屋店主》)まいど、おおきに！
また使うてや！\c"
M06030100,"\h(《ギルドマスター》)おお、おまえは逃走王として
名高いヴァイスじゃねえか。
船乗りギルドへよく来たな！\e"
M06030101,"\h(《ギルドマスター》)ここは、船乗りギルドだ。
「発見物」の情報があれば
高く買い取るぜ。\e"
M06030102,"\h(《ギルドマスター》)よう、最近空賊として
売りだし中のヴァイスだな。
船乗りギルドへ何か用か？\e"
M06030103,"\h(《ギルドマスター》)お、最近ウワサのヴァイスだな。
船乗りギルドへ何か用か？\e"
M06030104,"\h(《ギルドマスター》)空賊の新星ヴァイスじゃねえか！
船乗りギルドへよく来たな。\e"
M06030105,"\h(《ギルドマスター》)威風堂々のヴァイスじゃねえか！
船乗りギルドへよく来たな。\e"
M06030106,"\h(《ギルドマスター》)神出鬼没のヴァイスか？
船乗りギルドへようこそ。
あんたの評判はよく聞いてるよ。\e"
M06030107,"\h(《ギルドマスター》)漢・ヴァイスか？
船乗りギルドへようこそ。
あんたの評判はよく聞いてるよ。\e"
M06030108,"\h(《ギルドマスター》)大航海者・ヴァイスか！
よく船乗りギルドに
来てくれたな、歓迎するぜ。\e"
M06030109,"\h(《ギルドマスター》)大空またぎのヴァイスか！
よく船乗りギルドに
来てくれたな、歓迎するぜ。\e"
