[Event Name],Task ID
MF0400000,"\h(《Vyse》)This door is huge!
I don't know how the two of us can open it.\e"
MF0400001,"\h(《Gilder》)There's probably some sort of trick to opening 
it.\e"
MF0400002,"\h(《Gilder》)What?!
What was that!?\e"
MF0400003,\h(《Fina》)Aaaahhhh!\e
MF0400004,\h(《Aika》)What was that!?\e
MF0400005,"\h(《Fina》)Whatever it was, it just opened the door.\e"
MF0400006,\h(《Aika》)I don't know if that's good or bad.\e
MF0400007,\h(《Vyse》)I didn't touch anything… Did you?\e
MF0400008,"\h(《Gilder》)Hmm…
The map said something like…
”When the two pieces come together…”\e"
MF0400009,"\h(《Gilder》)I wonder if anyone else is here?
Heh… nevermind… what are the chances of that?\e"
MF0400010,\h(《Fina》)Aika… what do you think we should do?\e
MF0400011,"\h(《Aika》)I'm not sure how, but the door opened, and 
there's treasure inside. We should go!\e"
M01150000,"\h(《アイカ》)なに、このデッカい扉……
押しても引いても
ビクともしないよ！\e"
M01150001,"\h(《ファイナ》)古い文字で、何か
書いてありますね……\e"
M01150002,"\h(《ファイナ》)「離れし二つの力を一つにし
　道を開くべし……」\e"
M01150003,"\h(《アイカ》)もー、ダカット船長のケチンボ！
島の中にぐらい
入れてくれたっていいじゃん！\c"
M01150004,"\h(《アイカ》)もー！
また開かない扉があるよ。\c"
M01150005,"\h(《ヴァイス》)また、扉か……
こいつも、押しても引いても
ビクともしないな。\c"
M01150006,"\h(《ヴァイス》)何かのしかけを動かす
レバーみたいだが……\c"
M01150007,"\h(《アイカ》)開かない扉が勝手に開いたり
意味わかんないレバーがあったり
ホンット、ヘンな島！\c"
M01150008,"\h(《アイカ》)今度の扉は、何？
なんか、足元に
ヘンな石板がはまってるけど……\c"
M01150009,"\h(《ヴァイス》)この扉も、きっと
なにかのしかけで
開くんだろうな……\c"
M01150010,"\h(《アイカ》)また、足元に石板がある扉だよ。
どーも、この石板に乗ることが
大事みたいね。\c"
M01150011,"\h(《ヴァイス》)どうやら、この石板に
何かのタイミングで乗ることで
扉が開くようだな。\c"
M01150012,"\h(《アイカ》)また、足元に石板がある扉だよ。
どーも、この石板に乗ることが
大事みたいね。\c"
M01150013,"\h(《ヴァイス》)どうやら、この石板に
何かのタイミングで乗ることで
扉が開くようだな。\c"
M01150014,"\h(《アイカ》)また、足元に石板がある扉だよ。
どーも、この石板に乗ることが
大事みたいね。\c"
M01150015,"\h(《ヴァイス》)どうやら、この石板に
何かのタイミングで乗ることで
扉が開くようだな。\c"
M01150016,"\h(《ヴァイス》)伝説の大空賊・ダカットも
なかなかシャレがわかる
やつだったみたいだな。\c"
M01150017,"\h(《どーしよっかな？》)「出航する」
「島の探索をつづける」\c"
M01150018,"\h(《どうする？》)「出航する」
「島の探索をつづける」\c"
M01150019,"\h(《どうする？》)「デルフィナスに帰艦する」
「島の探索をつづける」\c"
"",me115b.sct
"",me115b.sct
"",me115b.sct
"",me115b.sct
"",me013a.sct
"",me115b.sct
"",m5150000
"",k8140000
"",イベントＦ４０が発生しました。\c
"",a115af40.mld
"",a115af40.mld
"",e6f040
"",a115af40.mld
