[Event Name],Task ID
M01060000,"\h(《マルコ》)よ、よお。
その……さっきは、けっこう
すごかったじゃねえか。\e"
M01060001,"\h(《ヴァイス》)マルコ！
どうしたんだ、こんなところで。\e"
M01060002,"\h(《マルコ》)前にも言ったろ、おいらは
このカタコンベに住んでるんだ。
ここのことは何でも知ってるぜ。\e"
M01060003,"\h(《マルコ》)この壁は、隠し扉になってんだ。
にいちゃんの仲間たちは
この奥の隠し部屋にいるぜ。\c"
M01060004,"\h(《マルコ》)にいちゃんの仲間たちなら
この奥の隠し部屋にいるぜ。
はやく行ってやれよ。\c"
M01060005,"\h(《ロビン副長》)コロシアムからは逃げられたが
どうやって、このバルアから
脱出したものか……\c"
M01060006,"\h(《首蹴りのタイロン》)いやあ、久々に体を動かせたぜ！
なにしろ、捕まってる間は
ずっと縛られてたからよ。\c"
M01060007,"\h(《刀傷のビリー》)護送される時に、はじめて
「列車」ってもんに乗ったぜ。\e"
M01060008,"\h(《刀傷のビリー》)鉄の箱がいくつもつながって
イモ虫のように走るんだ。
ケッタイな乗り物だったな。\c"
M01060009,"\h(《タル腹のガン》)さすが、ヴァイスの兄貴っス！
バルアの連中をあそこまで
蹴散らすなんて、すごいっス！\c"
M01060010,"\h(《風読みのルーク》)まったく、おまえには
いつも驚かされるよ。まさか
こんな所にまで来るとはな。\e"
M01060011,"\h(《風読みのルーク》)だが、おかげで助かった。
礼を言うぜ。\c"
M01060012,"\h(《船底くぐりのパッチ》)まだ、追っ手の気配はねえな。
だが、ここが見つかるのも
時間の問題だ……\e"
M01060013,"\h(《船底くぐりのパッチ》)これから、どう行動するのか……
バルアを脱出できるかどうかは
そこにかかってるな。\c"
M01060014,"\h(《ダイン》)こら、ヴァイス！
今後の作戦を話しあうぞ。
勝手にウロチョロするな。\c"
M01060015,"\h(《ヴァイス》)……気のせいかな？
ここだけ、壁の色が
まわりと違う気がするけど……\c"
M01060016,"\h(《ヴァイス》)ここは確か、上級都市に通じる
隠し扉だったけど……
うーん、ビクともしねえな。\e"
M01060017,"\h(《ヴァイス》)やっぱ、マルコじゃねえと
開けるのはムリみたいだな。
しかたない、あきらめるか。\c"
M01060020,"\h(《ヴァイス》)このはしごの上は
どうやらコロシアムに
通じているようだな……\e"
M01060021,"\h(《どうする？》)「いざ、乗りこむぜ！」
「準備を整えてからにしよう」\c"
M01060018,"\h(《ヴァイス》)今、上は大さわぎだ。
このスキに、みんなを連れて
ここから逃げださねえと。\c"
M01060019,"\h(《ヴァイス》)この上はコロシアムか……
兵士に見つかるとやっかいだな。
上がるのはやめておこう。\c"
MC0070000,"\h(《ダイン》)だいぶ遅刻だったな、ヴァイス。
もう少しで処刑台のブランコに
ぶらさげられるところだった。\e"
MC0070001,"\h(《ダイン》)だが……
本当に、よく助けに来てくれた。
礼を言うぞ。\e"
MC0070002,"\h(《ヴァイス》)へへっ……まだダイン一家の頭に
死なれるわけには
いかないからな。\e"
MC0070003,"\h(《ヴァイス》)ところで……
ファイナの姿が見当たらないな？\e"
MC0070004,"\h(《ダイン》)うむ、それだが……
ファイナさんは、われわれとは
別の場所へ送られたのだ。\e"
MC0070005,"\h(《ダイン》)兵士の会話を耳にはさんだのだが
彼女は……どうやらバルア宮殿へ
連れて行かれたようだ。\e"
MC0070006,"\h(《ヴァイス》)なんだって!?
どうして、ファイナが宮殿へ？\e"
MC0070007,"\h(《ダイン》)どうやら、宮殿にいる
バルアの女帝・テオドーラに
会わせるためらしい。\e"
MC0070008,"\h(《ダイン》)これは俺のカンだが……
彼女は、重大な秘密を知っていて
バルアに追われているようだな。\e"
MC0070009,\h(《ヴァイス》)ファイナ……\e
MC0070010,"\h(《ダイン》)……ヴァイス。お前の作戦を
聞かせてもらおうか。\e"
MC0070011,"\h(《どうする？》)「ファイナを救出に行くぜ！」
「しばらく隠れていよう」\e"
MC0070012,"\h(《ヴァイス》)もちろん、ファイナを
救出に行くぜ！
今なら警備も混乱してるはずだ。\e"
MC0070013,"\h(《ダイン》)うむ……
危険だが、確かにチャンスは
今しかない。\e"
MC0070014,"\h(《ヴァイス》)しばらく隠れていよう。
今はヘタに動くとまずそうだ。\e"
MC0070015,"\h(《ダイン》)甘いな、ヴァイス。
ここはバルアの帝都だぞ。
隠れていてもじきに発見される。\e"
MC0070016,"\h(《ダイン》)警備が混乱している今こそ
ファイナさんを救出して
一気に脱出するチャンスだ。\e"
MC0070027,"\h(《ダイン》)これを持って行け、ヴァイス。
まだおまえに持たすには早いが
特別にくれてやる。\e"
MC0070028,"\h(《ヴァイス》)おっ、黄の月Ж石じゃねえか！
サンキュ、オヤジ！\e"
MC0070029,"\h(《ダイン》)それを使えば、武器に
雷の属性を持たせられるはずだ。
大事に使えよ。\e"
MC0070017,"\h(《ドラクマ》)では、わしは空賊のみなとともに
リトルジャックに戻り
脱出の準備を進めておこう。\e"
MC0070026,"\h(　)ドラクマがパーティから
離脱した。\e"
MC0070023,"\h(《ドラクマ》)じきに、要塞の門が開く
正午になる。それまでに
娘を救出して戻ってこい。\e"
MC0070018,"\h(《ヴァイス》)ああ、わかった。
門が開いている間に、一気に
バルアを脱出するわけだな。\e"
MC0070019,"\h(《ドラクマ》)まず、上級都市へ行ってみろ。
宮殿へと向かう列車に
忍びこめるかもしれん。\e"
MC0070020,"\h(《ヴァイス》)なるほど、上級都市か。
マルコ、上級都市へ行くには
どうすればいいんだ？\e"
MC0070021,"\h(《マルコ》)あ、ああ……
その奥の通路を抜けたら
上級都市に出られるけど……\e"
MC0070024,"\h(《マルコ》)にいちゃん、上級都市には
警備の兵士がいっぱいいるぞ！
あぶないから、やめとけよ！\e"
MC0070025,"\h(《ヴァイス》)危険は覚悟の上さ。
嵐の中、バルアを脱出するための
航路が今、見えてきたんだ。\e"
MC0070022,"\h(《ヴァイス》)行くぞ、アイカ！
まずはファイナを救出だ！\e"
MC0070030,"\h(　)「黄の月Ж石」を
　ダインから受け取った。\e"
"",me106a.sct
"",me107a.sct
"",me107a.sct
"",me106a.sct
"",m5060000
"",M0249
"","EV_C07発生しました。
男気、パーティアウトがあるので
見てください\c"
"",M0374
"",e6c007
"",a106cc07.mld
"",a106cc07.mld
