[Event Name],Task ID
MA0100000,"\h(《首蹴りのタイロン》)いやーっ、大漁大漁！
バルアの艦は手強いぶん
ぶんどりがいがあるぜ！\e"
MA0100001,"\h(《底なしのアンジェラ》)さっそく酒場で
祝杯をあげましょうよ。
今夜は朝まで盛り上がるわよ！\e"
MA0100002,\h(《一同》)おうっ!!\e
MA0100003,"\h(《アイカ》)ファイナ、びっくりした？
これがあたしたちの
空賊稼業ってわけよ。\e"
MA0100004,"\h(《ファイナ》)は、はい。
大変そうなお仕事ですね。\e"
MA0100005,"\h(《アイカ》)アハハハ、大変なお仕事かぁ。
そー言われれば
そーかもしれないね。\e"
MA0100006,"\h(《ヴァイス》)ここは、空賊島の地下港さ。
外から見ると、この島は
ただの平和な村に見えるけど……\e"
MA0100007,"\h(《ヴァイス》)実は島の内部には
空賊の秘密の本拠地が
かくれてる、ってわけさ。\e"
MA0100008,"\h(《アイカ》)ここには、お店や酒場なんかも
あるんだよ。
あとで案内してあげるね。\e"
MA0100009,\h(　)ヴァイス！\e
MA0100010,"\h(《ダイン》)そのお嬢さんをつれて
船長室まで来るんだ。\e"
MA0100011,"\h(《アイカ》)ヴァイス……
なんだろーね？\e"
MA0100012,"\h(《ヴァイス》)……とりあえず、船長室に
行ってみるか。\e"
MA0110000,"\h(《ヴァイス》)ヴァイス、はいります。
ファイナをつれてきました。\e"
MA0110001,"\h(《ダイン》)フム……若干、遅刻ぎみだが
まあいいだろう。\e"
MA0110002,"\h(《ダイン》)お嬢さん、私は空賊の船長を
やっているダインという者だ。
少し話を聞かせてくれるかな？\e"
MA0110003,\h(《ファイナ》)は、はい。\e
MA0110004,"\h(《ダイン》)では、まず……
名前を聞かせてもらおうか。\e"
MA0110005,\h(《ファイナ》)……ファイナです。\e
MA0110006,"\h(《ダイン》)……いいだろう。
では、次の質問だ。\e"
MA0110007,"\h(《ダイン》)俺も長いこと空を飛んでるが
きみのような格好の人間に
出会ったのは初めてだ。\e"
MA0110008,"\h(《ダイン》)きみは……どこの国の人間だ？
いったい、何が目的で
この空域にやってきたのだ？\e"
MA0110009,"\h(《オヤジ……》)「ファイナをかばう」
「黙って聞いている」\e"
MA0110010,"\h(《ヴァイス》)気にしすぎだよ、オヤジ。
ファイナは普通の
女の子じゃないか。\e"
MA0110011,"\h(《ダイン》)……ヴァイス。
私はお前の父親だが、同時に
この島の空賊団の船長だ。\e"
MA0110012,"\h(《ダイン》)仮にも船長であるからには
クルーとその家族の安全を
守る義務がある。\e"
MA0110013,"\h(《ダイン》)もし、この娘がわれわれにとって
危険な人間であれば……残念だが
死んでもらわなければならない。\e"
MA0110014,\h(《ヴァイス》)…………\e
MA0110015,"\h(《アイカ》)船長、気にしすぎだって。
ファイナはただの女の子だよ。\e"
MA0110016,\h(《ダイン》)静かにしろ、アイカ。\e
MA0110017,"\h(《ダイン》)私は、仮にも船長だ。
クルーとその家族の安全を
守る義務がある。\e"
