[Event Name],Task ID
M01010000,"\h(《空賊》)来たか、ヴァイス。
どうやら、この通路から
艦内に侵入できそうだ。\e"
M01010001,"\h(《空賊》)ここから先の斬りこみは
おまえにまかせたぜ。
ハデにかきまわしてこい！\c"
M01010002,"\h(《空賊》)ここから先の斬りこみは
おまえにまかせたぜ。
ハデにかきまわしてこい！\c"
M01010003,"\h(《アルフォンソ》)フフフ……
わが艦へようこそ、空賊の諸君。\e"
MA0230000,"\h(《アルフォンソ》)くっ……わが配下の兵が
歯が立たぬとは……
この艦は、ここまでか。\e"
MA0230001,"\h(《アルフォンソ》)私は、忙しい身。
君たちの相手をする時間はない。
失礼させてもらうよ。\e"
MA0240000,"\h(《アルフォンソ》)ハハハハ、残念でしたね。
この扉は、こちら側から
ロックさせてもらいましたよ。\e"
MA0240001,"\h(《アルフォンソ》)それでは、ごきげんよう。
ハハハハハ……\c"
MA0240002,"\h(《ヴァイス》)くそっ、ダメだ。
こっちの扉は厳重に閉じられてて
とても開きそうにないぜ。\c"
MA0240003,"\h(《ヴァイス》)野郎……
扉をロックしやがったな。\c"
MA0040000,"\h(《アルフォンソ》)フフフ……
わが艦へようこそ、空賊の諸君。\e"
MA0040001,"\h(《アルフォンソ》)私の名はアルフォンソ。
バルア有数の名門貴族にして
無敵艦隊・アルマダの提督です。\e"
MA0040002,"\h(《アルフォンソ》)本来、君たちのような輩など
目通りすら許されぬのですよ。
光栄に思いたまえ。\e"
MA0040003,"\h(《ヴァイス》)ちょっと待った。
その女の子は誰だ？\e"
MA0040004,"\h(《ヴァイス》)てめえ……俺たちの空域で
人さらいのマネごとを
するつもりじゃないだろうな!?\e"
MA0040005,"\h(《アルフォンソ》)ハハハ、なかなか察しがよい。
だが、これ以上君たちと
語る言葉はありません。\e"
MA0040006,"\h(《アルフォンソ》)ゲストに対して誠に失礼だが
君たちにはここで
死んでもらいましょう。\e"
MA0040007,\h(《アルフォンソ》)かかれっ!!\e
"",k8420000
"",k8420000
"",k8020000
"",me101c.sct
"",k8410000
"",k8410000
"",M0252
"",m5010000
"",k8010000
"",k8410000
"",a101ba04.mld
"",M0326
"",e6a004
