[Event Name],Task ID
MD0070000,\h(《ヴァイス》)これが……月晶か……\e
MD0070001,"\h(《アイカ》)すごくキレイ……
でも、何だかキレイすぎて……
体がすくんじゃうカンジ……\e"
MD0070002,"\h(《ファイナ》)月Ж石の純度を限りなく高めた
究極の結晶体……
それが、この月晶です。\e"
MD0070003,"\h(《ファイナ》)たったこれだけの石が
普通の月Ж石の何千倍、何万倍の
力を持っているのです。\e"
MD0070004,"\h(《ヴァイス》)それで、ギガスとかいう
古代の巨大兵器を動かすのに
こいつが使われてたんだな……\e"
MD0070005,\h(《ファイナ》)この光を見てください……\e
MD0070006,"\h(《ファイナ》)古代文明が滅びて
何千年、何万年の時が過ぎても
その輝きを失っていません……\e"
MD0070007,"\h(《ファイナ》)この月晶とギガスの力さえあれば
世界を再び破壊の炎で
つつむこともたやすいでしょう。\e"
MD0070008,"\h(《ファイナ》)人間は、その手であつかうには
あまりにも恐ろしいものを
作り出してしまったのです。\e"
MD0070009,"\h(《アイカ》)バルアの連中なんかに
この月晶は
絶対に渡せないね！\e"
MD0070010,"\h(《ヴァイス》)ファイナ、まかせとけよ。
この世界を、ギガスなんかに
ぶっ壊させやしない。\e"
MD0070011,"\h(《ヴァイス》)まだこの世界には
見てないものがたくさんあるのに
ぶっ壊されてたまるかって！\e"
MD0070012,"\h(《ファイナ》)はい！
ありがとうございます。\e"
MD0070013,"\h(　)「猛き赤の月晶」を
　手に入れた。\e"
M01090000,"\h(《ベレナ》)ここナスルは、赤い月の恵みを
受けた地。赤い月Ж力を持つ
生物が多く住んでいるワ。\e"
M01090001,"\h(《ベレナ》)武器の色を紫とかに変えて
ごらんなさい。大きなダメージを
与えることができるはずよ。\c"
M01090002,"\h(《ヴァイス》)……開かねえな。
何かしかけがあるのかな？\c"
M01090003,"\h(《ヴァイス》)この扉、開かないな……
重くてビクともしないぜ。\c"
M01090004,"\h(《ヴァイス》)……ん？
石のスイッチみたいなものが
台座の上についてるな。\c"
M01090005,"\h(《ヴァイス》)ふーん……どうやら
水を流すスイッチのようだな。\c"
M01090006,"\h(《ヴァイス》)もう溶岩が固まったから
水を流す必要はないな。\c"
M01090007,"\h(《ヴァイス》)扉みたいだが……
うーん、開かないな。\c"
M01090008,"\h(《ヴァイス》)赤の月晶が置いてあった台座だ。
よくみると、さすがに
こったつくりの台座だな。\c"
M01090009,"\h(《ヴァイス》)……何だ、この台は？
表面に、ヘンなくぼみが
あるけど……\c"
M01090010,"\h(《どうする？》)「出航する」
「神殿の探索をつづける」\c"
M01090011,"\h(《どうする？》)「リトルジャックに帰艦する」
「神殿の探索をつづける」\c"
M01090012,"\h(《どうする？》)「デルフィナスに帰艦する」
「神殿の探索をつづける」\c"
"",me109d.sct
"",me109g.sct
"",M0378
"",m5090000
"",EV_D07発生しました。\c
"",a109ed07.mld
"",a109ed07.mld
"",M0309
"",e6d007
"",a109ed07.mld
