[Event Name],Task ID
MK0180000,\h(《ヴァイス》)こ、ここは!?\e
MK0180001,"\h(《ガルシアン》)ほほう……
ここまで来たか。\e"
MK0180002,"\h(《ヴァイス》)ガルシアン！
それに、ラミレス！\e"
MK0180003,"\h(《ヴァイス》)な……
何だ、あれは!?\e"
MK0180004,"\h(《ファイナ》)ヴァイスさん……あれが
銀のギガス・ジェロスです！\e"
MK0180005,"\h(《ヴァイス》)ええっ!?
あの玉がギガスなのか!?\e"
MK0180006,"\h(《アイカ》)ヴァイス！
あれを見て!!\e"
MK0180007,\h(《ヴァイス》)月晶が！\e
MK0180008,"\h(《ファイナ》)いけない！　このままでは
月晶の力で、ジェロスの封印が
破れてしまいます！\e"
MK0180009,"\h(《ガルシアン》)フフフフ……
このジェロスが復活すれば
重力を自在に操ることができる。\e"
MK0180010,"\h(《ガルシアン》)この世界に「滅びの雨」を
わが意のままに
降らせることができるのだ。\e"
MK0180011,"\h(《ガルシアン》)その時こそ、わが覇業が成る時！
この世界と六つの月が
わが足元にひれふすであろう！\e"
MK0180012,"\h(《ラミレス》)貴様らに邪魔はさせぬ。
アトランティアの衛兵と
たわむれているがよい。\e"
MK0190000,"\h(《ガルシアン》)フフフ……さすがだな。
だが、もう遅い。\e"
MK0190001,\h(《ヴァイス》)しまった、ジェロスが!!\e
MK0190002,"\h(《ガルシアン》)ジェロスよ！
失われし大陸・アトランティアを
浮上させよ！\e"
MK0190003,"\h(《ガルシアン》)今日より、このアトランティアが
わが城となるのだ！\e"
MK0190004,"\h(《ガルシアン》)さらばだ、空賊ども！
そのまま雲海の藻くずとなって
消え去るがよい！\e"
MK0190005,"\h(《ファイナ》)ヴァイスさん、逃げましょう！
ジェロスの力で、この大陸が
浮上しようとしています。\e"
MK0190006,"\h(《ファイナ》)急いで脱出しないと
大陸浮上の際の震動で、雲海に
振り落とされてしまいます！\e"
MK0190007,"\h(《アイカ》)やばいよ！
ヴァイス、急いで！\e"
MK0190008,"\h(《ヴァイス》)くそっ……
ここまで追いつめながら！\e"
MK0190009,"\h(《ヴァイス》)みんな、脱出だ！
ダングラール島まで
一気に駆けるぞ！\e"
"",me131f.sct
"",K18発生しました。\c
"",a131gk18.mld
"",a131gk18.mld
"",a131gk18ef_5.mld
"",a131gk18ef_5.mld
"",M0257
"",e6k018
"",a131gk18.mld
"",a131gk18ef_5.mld
"",K19発生しました。\c
"",e6k019
"",a131gk19.mld
"",a131gk19.mld
"",a131gk19_efe.mld
"",a131gk19_efe.mld
"",a131gk19.mld
"",a131gk19_efe.mld
