Entry ID,Entry JP Name,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Consume%,Sell%,JP Order 1,JP Order 2,Buy,Pad 1,Pad 2,Effect Base,Element ID,[Element Name],Type ID,[Type Name],State ID,[State Name],State Miss%,[JP Descr Pos],[JP Descr Size],JP Descr Str
240,サプの葉,0b0110,X,X,"",31,Recover HP,1,Single PC,100,50,0,30,20,0,0,500,-1,None,-1,None,0,Poison,0,0x3387d4,96,"世界中に自生するサプ科植物の葉っぱ。不思議な
香りで、仲間ひとりのＨＰを500ポイント回復する。"
241,サプガンの葉,0b0110,X,X,"",31,Recover HP,1,Single PC,100,50,1,29,60,0,0,1000,-1,None,-1,None,0,Poison,0,0x338834,100,"北の大地に群生するサプ科植物の葉っぱ。濃縮された
香りで、仲間ひとりのＨＰを1000ポイント回復する。"
242,サプハネの葉,0b0110,X,X,"",31,Recover HP,2,All PCs,100,50,2,31,600,0,0,1000,-1,None,-1,None,0,Poison,0,0x338898,96,"熱帯でのみ採れるサプ科植物の葉っぱ。香りが一気に
広がり、仲間全員のＨＰを1000ポイント回復する。"
243,サプヤクの葉,0b0110,X,X,"",32,Recover HP of 100%,1,Single PC,100,50,3,32,200,0,0,10000,-1,None,-1,None,0,Poison,0,0x3388f8,96,"東の島々でわずかに自生するサプ科植物の葉っぱ。
神秘的な香りで、仲間ひとりのＨＰを完全回復する。"
244,Ж樹の玉,0b0111,X,X,X,48,Recover MP,1,Single PC,100,50,4,24,40,0,0,1,-1,None,-1,None,0,Poison,0,0x338958,84,"Ж樹のしずくから作った、一口サイズのアメ玉。
仲間ひとりのＫＰを１ポイント回復する。"
245,Ж樹の大玉,0b0111,X,X,X,48,Recover MP,1,Single PC,100,50,5,23,400,0,0,10,-1,None,-1,None,0,Poison,0,0x3389ac,88,"Ж樹のしずくを凝縮して作った、大きめのアメ玉。
仲間ひとりのＫＰを10ポイント回復する。"
246,ガツガツのキノコ,0b0011,"",X,X,35,Recover SP,2,All PCs,100,50,6,15,2000,0,0,99,-1,None,-1,None,0,Poison,0,0x338a04,100,"いつ、どこに、なぜ生えるかわからない幻のキノコ。
ガッツを最大にするという、すさまじい効果を持つ。"
247,伝説のパズル,0b0000,"","","",-1,None,0,None,0,100,49,54,3000,0,0,0,0,Green,0,Physical,0,Poison,0,0x338a68,88,"盗掘者シモンが、宝島で狙っていた宝物。
コレクションしてもいいが、売ればそれなりに高い。"
248,伝説の階級章,0b0000,"","","",-1,None,0,None,0,100,50,51,4000,0,0,0,0,Green,0,Physical,0,Poison,0,0x338ac0,100,"盗掘者シモンが、ガルガンチュアで狙っていた宝物。
コレクションしてもいいが、売ればそれなりに高い。"
249,キュアリン草,0b0010,"",X,"",30,Rem Neg States B,1,Single PC,100,50,7,18,30,0,0,0,0,Green,0,Physical,7,Revival,0,0x338b24,96,"治癒の効果を持つように丹念に育てられた薬草。
仲間ひとりの「失神」を除く悪しき状態を治療する。"
250,ライ雑草,0b0010,"",X,"",27,Revive With HP of 50%,1,Single PC,100,50,8,72,150,0,0,0,0,Green,0,Physical,7,Revival,50,0x338b84,92,"復活の効果を持つ雑草。仲間ひとりを「失神」の
状態から50％の確率で、ＨＰも50％で復活させる。"
251,ライゾリン草,0b0010,"",X,"",28,Revive With HP of 100%,1,Single PC,100,50,9,73,450,0,0,0,0,Green,0,Physical,7,Revival,0,0x338be0,96,"復活の効果を持つように丹念に育てられた薬草。
仲間ひとりを「失神」の状態から完全に復活させる。"
252,アパコンデ,0b0010,"",X,"",21,Incr Attack & Defense,1,Single PC,100,50,10,3,100,0,0,0,0,Green,0,Physical,7,Revival,0,0x338c40,88,"バルア帝国のデ・ロッコ機関が開発した錠剤。
仲間ひとりを科学的に「強壮」の状態にする。"
253,クイコンデ,0b0010,"",X,"",20,Incr Quick,2,All PCs,100,50,11,21,100,0,0,0,0,Green,0,Physical,7,Revival,0,0x338c98,84,"バルア帝国のデ・ロッコ機関が開発した錠剤。
仲間全員を科学的に「機敏」の状態にする。"
254,リゲコンデ,0b0010,"",X,"",33,Regenerate,1,Single PC,100,50,12,74,50,0,0,250,0,Green,0,Physical,0,Poison,0,0x338cec,88,"バルア帝国のデ・ロッコ機関が開発した錠剤。
仲間ひとりを科学的に「滋養」の状態にする。"
255,伝説のバイオリン,0b0000,"","","",-1,None,0,None,0,100,51,53,5000,0,0,0,0,Green,0,Physical,0,Poison,0,0x338d44,96,"盗掘者シモンが、サルガッソーで狙っていた宝物。
コレクションしてもいいが、売ればそれなりに高い。"
256,伝説の雀牌,0b0000,"","","",-1,None,0,None,0,100,52,52,6000,0,0,0,0,Green,0,Physical,0,Poison,0,0x338da4,92,"盗掘者シモンが、フガクで狙っていた宝物。
コレクションしてもいいが、売ればそれなりに高い。"
257,伝説のユタンポ,0b0000,"","","",-1,None,0,None,0,100,53,56,7000,0,0,0,0,Green,0,Physical,0,Poison,0,0x338e00,92,"盗掘者シモンが、グラシアで狙っていた宝物。
コレクションしてもいいが、売ればそれなりに高い。"
258,月の実,0b0000,"","","",52,Learn S-Move,1,Single PC,100,0,13,49,50000,0,0,-1,-1,None,-1,None,0,Poison,0,0x338e5c,96,"月Ж石の落ちた地で、１粒だけ実をつけるという
月Ж草の果実。これを食べることで技が習得できる。"
259,チャム,0b0100,X,"","",53,Evolve Cupil,0,None,100,0,14,44,10000,0,0,-1,-1,None,-1,None,0,Poison,0,0x338ebc,96,"キュピルの大好物。近づくとキュピルが鳴きながら
大暴れする。与えるとさまざまな姿に成長していく。"
260,パワワの種,0b0100,X,"","",54,Grow Power,1,Single PC,100,1,17,65,5000,0,0,3,-1,None,-1,None,0,Poison,0,0x338f1c,92,"赤満月の晩に、わずかばかりの実をつけるという
パワワ樹の種。飲むと腕力が３ポイント上がる。"
261,ウィルの種,0b0100,X,"","",55,Grow Will,1,Single PC,100,1,18,7,5000,0,0,3,-1,None,-1,None,0,Poison,0,0x338f78,92,"紫満月の晩に、わずかばかりの実をつけるという
ウィル樹の種。飲むと気力が３ポイント上がる。"
262,ストレの種,0b0100,X,"","",56,Grow Vigor,1,Single PC,100,1,19,36,5000,0,0,3,-1,None,-1,None,0,Poison,0,0x338fd4,92,"黄満月の晩に、わずかばかりの実をつけるという
ストレ樹の種。飲むと生命力が３ポイント上がる。"
263,アジルの種,0b0100,X,"","",57,Grow Agile,1,Single PC,100,1,20,2,15000,0,0,1,-1,None,-1,None,0,Poison,0,0x339030,96,"六色満月の晩に、わずかばかりの実をつけるという
アジル樹の種。飲むと器用さが１ポイント上がる。"
264,スピィの種,0b0100,X,"","",58,Grow Quick,1,Single PC,100,1,21,37,5000,0,0,3,-1,None,-1,None,0,Poison,0,0x339090,96,"青満月の晩に、わずかばかりの実をつけるという
スピィ樹の種。飲むとスピードが３ポイント上がる。"
265,ヒトポの種,0b0100,X,"","",59,Grow MAXHP,1,Single PC,100,1,22,66,5000,0,0,30,-1,None,-1,None,0,Poison,0,0x3390f0,96,"緑満月の晩に、わずかばかりの実をつけるという
ヒトポ樹の種。飲むと最大ＨＰが30ポイント上がる。"
266,コジポの種,0b0100,X,"","",60,Grow MAXMP,1,Single PC,100,1,23,26,5000,0,0,1,-1,None,-1,None,0,Poison,0,0x339150,96,"銀満月の晩に、わずかばかりの実をつけるという
コジポ樹の種。飲むと最大ＫＰが１ポイント上がる。"
267,炎の小箱,0b0010,"",X,"",0,Damage,4,All ECs,8,1,24,68,400,0,0,150,1,Red,1,Magical,0,Poison,0,0x3391b0,92,"砂漠の老Ж術師がバーナの効果を封じ込めた小箱。
長く使っていると、たまに壊れることがある。"
268,爆炎の小箱,0b0010,"",X,"",0,Damage,4,All ECs,16,1,25,63,1200,0,0,360,1,Red,1,Magical,0,Poison,0,0x33920c,96,"砂漠の老Ж術師がバーネスの効果を封じ込めた小箱。
５〜６回ほど使ったところで壊れることが多い。"
269,氷の小箱,0b0010,"",X,"",0,Damage,3,Single EC,12,1,26,25,800,0,0,330,2,Purple,1,Magical,0,Poison,0,0x33926c,92,"南の老Ж術師がグラシィの効果を封じ込めた小箱。
７〜８回ほど使ったところで壊れることが多い。"
270,凍結の小箱,0b0010,"",X,"",0,Damage,3,Single EC,24,1,27,58,1600,0,0,600,2,Purple,1,Magical,0,Poison,0,0x3392c8,92,"南の老Ж術師がグラゾーバの効果を封じ込めた小箱。
３〜４回も使うと大抵の場合、壊れてしまう。"
271,風の小箱,0b0010,"",X,"",0,Damage,33,EC Square S5,12,1,28,14,800,0,0,285,3,Blue,1,Magical,0,Poison,0,0x339324,96,"東の老Ж術師がウェイビィの効果を封じ込めた小箱。
７〜８回ほど使ったところで壊れることが多い。"
