Entry ID,[Str Pos],[Str Size],[Str Enc],Str Value
0,0x30,17,Shift_JIS,Lib Handle Start
1,0x577c,44,Shift_JIS,"
ntInf Ver 2.00 Build:Mar 31 1999 14:13:50
"
2,0x5d88,5,Shift_JIS,SEGA
3,0x358c60,46,Shift_JIS,"
syStart Ver 1.17 Build:Dec 01 1999 12:17:57
"
4,0x358c90,3,Shift_JIS,rb
5,0x358ca8,28,Shift_JIS,CHUNK POF IS HEAP AREA OVER
6,0x358cc4,24,Shift_JIS,Sound Driver Read Error
7,0x358cdc,21,Shift_JIS,Sound Lib Init Error
8,0x358cf4,29,Shift_JIS,Sound Mem Block Create Error
9,0x358d14,28,Shift_JIS,Sound Mem Block Param Error
10,0x358d30,21,Shift_JIS,Sound Drv Init Error
11,0x358d48,30,Shift_JIS,Sound Mem Block Destroy Error
12,0x358d68,21,Shift_JIS,MIDI PORT OPEN ERROR
13,0x358d80,21,Shift_JIS,MIDI PORT STOP ERROR
14,0x358d98,22,Shift_JIS,MIDI PORT RESET ERROR
15,0x358db0,28,Shift_JIS,Sound sdSysSetSlotMax Error
16,0x358dcc,26,Shift_JIS,Sound MLT Down Load Error
17,0x358de8,5,Shift_JIS,SMSB
18,0x358df0,5,Shift_JIS,SMPB
19,0x358df8,23,Shift_JIS,MLT File Is Illegal %s
20,0x358e10,32,Shift_JIS,Sound Bank Data Down Load Error
21,0x358e30,19,Shift_JIS,Sound Fx Set Error
22,0x358e44,20,Shift_JIS,Sound Nim Drv Error
23,0x358e58,9,Shift_JIS,Drv Busy
24,0x358e64,24,Shift_JIS,MIDI RELEASE MODE ERROR
25,0x358e7c,23,Shift_JIS,Sound SHOT Close Error
26,0x358e94,22,Shift_JIS,Sound PCM Close Error
27,0x358eac,13,Shift_JIS,Bank 0 Error
28,0x358ebc,23,Shift_JIS,Sound Get Status Error
29,0x358ed4,27,Shift_JIS,Sound Midi Reset Prm Error
30,0x358ef0,27,Shift_JIS,Sound Shot Reset Prm Error
31,0x358f0c,26,Shift_JIS,Sound PCM Reset Prm Error
32,0x358f28,17,Shift_JIS,Sound Play Error
33,0x358f3c,11,Shift_JIS,Bank Error
34,0x358f48,26,Shift_JIS,Sound PCM Down Load Error
35,0x358f64,23,Shift_JIS,Sound Pcm Status Error
36,0x358f7c,21,Shift_JIS,Sound Pcm Play Error
37,0x358f94,23,Shift_JIS,Sound MIDI Pause Error
38,0x358fac,22,Shift_JIS,Sound MIDI Fade Error
39,0x358fc4,22,Shift_JIS,Sound SHOT Fade Error
40,0x358fdc,26,Shift_JIS,Sound PCM Fade Error Left
41,0x358ff8,27,Shift_JIS,Sound PCM Fade Error Right
42,0x359014,8,Shift_JIS,\sound\
43,0x35901c,25,Shift_JIS,MLT FAST HANDLE IS EMPTY
44,0x359038,22,Shift_JIS,MLT FAST HANDLE ERROR
45,0x359050,3,Shift_JIS,%s
46,0x359054,5,Shift_JIS,GAME
47,0x35905d,7,Shift_JIS,CAMERA
48,0x359066,8,Shift_JIS,LIGHT 0
49,0x35906f,8,Shift_JIS,LIGHT 1
50,0x359078,8,Shift_JIS,LIGHT 2
51,0x359081,9,Shift_JIS,MURABITO
52,0x35908c,15,Shift_JIS,DEBUG MODE   -
53,0x35909c,15,Shift_JIS,Calc Vertex  -
54,0x3590ac,15,Shift_JIS,Calc Polygon -
55,0x3590bc,15,Shift_JIS,Draw Polygon -
56,0x3590cc,15,Shift_JIS,FPS          -
57,0x3590dc,15,Shift_JIS,TEXTURE      -
58,0x3590ec,15,Shift_JIS,VIEW POS     -
59,0x3590fc,15,Shift_JIS,PURSUIT POS  -
60,0x35910c,15,Shift_JIS,VIEW ANG     -
61,0x35911c,15,Shift_JIS,PURSUIT ANG  -
62,0x35912c,15,Shift_JIS,DISTANCE     -
63,0x35913c,15,Shift_JIS,PERS         -
64,0x35914c,15,Shift_JIS,LIGHT NUM    -
65,0x35915c,15,Shift_JIS,LIGHT POS    -
66,0x35916c,15,Shift_JIS,LIGHT VECTOR -
67,0x35917c,15,Shift_JIS,AMBIENT      -
68,0x35918c,15,Shift_JIS,DEFFUSE      -
69,0x35919c,15,Shift_JIS,SPECULAR     -
70,0x3591ac,19,Shift_JIS,UP    - PLAYER Z +
71,0x3591c0,19,Shift_JIS,DOWN  - PLAYER Z -
72,0x3591d4,19,Shift_JIS,LEFT  - PLAYER X +
73,0x3591e8,19,Shift_JIS,RIGHT - PLAYER X -
74,0x3591fc,27,Shift_JIS,L BTN - VIEW 45 LEFT  TURN
75,0x359218,27,Shift_JIS,R BTN - VIEW 45 RIGHT TURN
76,0x359234,25,Shift_JIS,X BTN - VIEW MODE CHANGE
77,0x359250,30,Shift_JIS,Y BTN - DEBUG INDICATE SWITCH
78,0x359270,26,Shift_JIS,Z BTN - DEBUG MODE CHANGE
79,0x35928c,23,Shift_JIS,START - DUNGEON CHANGE
80,0x3592a4,23,Shift_JIS,UP    - PLAYER ADVANCE
81,0x3592bc,25,Shift_JIS,LEFT  - PLAYER TURN LEFT
82,0x3592d8,26,Shift_JIS,RIGHT - PLAYER TURN RIGHT
83,0x3592f4,25,Shift_JIS,L BTN - VIEW MODE CHANGE
84,0x359310,17,Shift_JIS,UP    - X ROLL -
85,0x359324,17,Shift_JIS,DOWN  - X ROLL +
86,0x359338,17,Shift_JIS,LEFT  - Y ROLL -
87,0x35934c,17,Shift_JIS,RIGHT - Y ROLL +
88,0x359360,17,Shift_JIS,L BTN - PERS FAR
