[Event Name],Task ID
MA0100000,"\h(《Timmus the Gunner》)Weapons, armor, gold…
Now THIS is a great catch!
One of our best yet!\e"
MA0100001,"\h(《Mabel the Raider》)Tonight, we should celebrate!\e"
MA0100002,\h(《Everyone》)Yeah!!!\e
MA0100003,"\h(《Aika》)Well Fina, this is what we do!  What do you
think?\e"
MA0100004,"\h(《Fina》)Well…
It certainly looks challenging.\e"
MA0100005,"\h(《Aika》)Hahaha… challenging, huh…
Well, now that you mention it, it isn't easy.
But it is fun!\e"
MA0100006,"\h(《Vyse》)This is the underground port inside of Pirate 
Isle. From the outside, this island looks like
a quiet, peaceful village.\e"
MA0100007,"\h(《Vyse》)But the inside of the island is where our 
headquarters is located.\e"
MA0100008,"\h(《Aika》)There are armories, shops, and even a tavern
inside here.
Come on, we'll give you a tour.\e"
MA0100009,\h(《Dyne》)Vyse!\e
MA0100010,"\h(《Dyne》)Come to my office immediately… and bring that 
girl with you.\e"
MA0100011,\h(《Aika》)Vyse… I wonder what that was all about.\e
MA0100012,"\h(《Vyse》)… I'm not sure, but we'd better hurry. 
You know how my dad gets when we're late.\e"
MA0110000,"\h(《Vyse》)Vyse and Aika reporting for duty.
And we've brought Fina like you requested.\e"
MA0110001,"\h(《Dyne》)Hmph… you're a little late.
I'll let it slide this time… Come on over.\e"
MA0110002,"\h(《Dyne》)Young lady, I am Dyne, the Captain of the Blue
Rogues. There are a few questions that I want to
ask you. Will you answer them for me?\e"
MA0110003,\h(《Fina》)Of… of course.\e
MA0110004,"\h(《Dyne》)Well then, on to the first question.
What is your name?\e"
MA0110005,\h(《Fina》)…… It's Fina.\e
MA0110006,"\h(《Dyne》)… Alright.
Next question.\e"
MA0110007,"\h(《Dyne》)I've been sailing for a very long time, but
I've never come across anyone wearing clothes
like yours.\e"
MA0110008,"\h(《Dyne》)What country are you from and why were you
traveling alone out there?\e"
MA0110009,"\h(《What will you do?》)”Defend Fina”
”Sit quietly and listen”\e"
MA0110010,"\h(《Vyse》)Dad, you're worrying too much.
Fina is just a normal girl.\e"
MA0110011,"\h(《Dyne》)… Vyse.
Even though I am your father, I am also the 
leader of the Blue Rogues.\e"
MA0110012,"\h(《Dyne》)Therefore, it is my duty to not only protect
the safety of my family, but the safety of my
crew as well.\e"
MA0110013,"\h(《Dyne》)If this girl is a danger of any sort to you or 
any of my men, I cannot let her live.\e"
MA0110014,\h(《Vyse》)……\e
MA0110015,"\h(《Aika》)Cap'n Dyne, you worry too much.
Fina is just a normal girl.\e"
MA0110016,"\h(《Dyne》)Silence, Aika.\e"
MA0110017,"\h(《Dyne》)I am the captain here.
It is my duty to protect the safety of
my family and my crew.\e"
MA0110018,"\h(《Dyne》)If this girl is a danger of any sort to you or 
any of my men, I cannot let her live.\e"
MA0110019,\h(《Aika》)But… but…\e
MA0110020,"\h(《Dyne》)Fina…
It is your turn to speak.\e"
MA0110021,\h(《Fina》)……\e
MA0110022,\h(《Aika》)Fina…\e
MA0110023,\h(《Fina》)… I… I cannot say.\e
MA0110024,"\h(《Dyne》)Why is that?
Is it because we are Air Pirates?
Don't you trust us?\e"
MA0110025,"\h(《Fina》)No, that has nothing to do with it.
I thank you with all my heart for saving my 
life.\e"
MA0110026,"\h(《Fina》)But I cannot tell any living soul about the 
purpose of my quest. Even if it means 
sacrificing my own life.\e"
MA0110027,"\h(《Fina》)I have no intention of endangering any of your 
lives. If you believe anything that I say, 
please believe this.\e"
MA0110028,\h(《Dyne》)……\e
MA0110029,"\h(《Dyne》)… Alright then.
Heh… looks like I lost this one.\e"
MA0110030,"\h(《Dyne》)I understand your dilemma. And I can see in
your eyes that you are true to your word.\e"
MA0110031,"\h(《Dyne》)Although we're Air Pirates, we also have a 
strong sense of honor.\e"
MA0110032,"\h(《Dyne》)You do not need to divulge the details of your 
quest. Understand that you now have my trust… 
Be careful that you do not lose it.\e"
MA0110033,"\h(《Fina》)Captain Dyne…
Thank you kindly.
I will not disappoint you.\e"
MA0110034,"\h(《Dyne》)Vyse, Aika…
Bring the girl… Fina topside and give her a
tour of the village.\e"
MA0110035,\h(《Aika》)Now that's more like it!\e
MA0110036,"\h(《Vyse》)Way to go Dad!
You're the best!\e"
MA0110037,"\h(《Dyne》)… It's not ”Dad”. It's Captain!
I swear… how many times do I have to remind
you?\e"
MA0110038,"\h(《Dyne》)You're excused.
Don't be late for dinner.\e"
