[Event Name],Task ID
M01000000,"\h(《ポリー》)なかなかいい酒場じゃないか。
船乗り島の店を思い出すねえ。\e"
M01000001,"\h(《ポリー》)そうだ、ここであたしの料理を
ふるまうってのもいいね。
マダム・ポリー出張店だよ！\e"
M01000002,"\h(《ポリー》)でも、ここのキッチンじゃね……
改装でもして設備を整えないと
無理な話だよねえ。\c"
M01000003,"\h(《ポリー》)ここであたしの店を
やってみたいけど
改装でもしないと無理だねえ。\c"
M01000004,"\h(《ポリー》)せっかく立派なキッチンもあるし
あんたたちが外でも食べられる
料理を作ろうと思うんだ。\e"
M01000005,"\h(《ポリー》)ただ準備にお金がかかるんだよ。
１０００リッチもあれば
十分なんだけれどもねえ。\e"
M01000006,"\h(《どうする？》)「１０００リッチ渡す」
「やめておく」\e"
M01000007,"\h(　)ポリーに
１０００リッチを手渡した。\e"
M01000008,"\h(《ポリー》)ありがとう、ヴァイス！
さすがは太っ腹だねえ。
すぐに準備にとりかかるよ！\c"
M01000009,"\h(《ポリー》)ありがたいけど
お金が足りないみたいだねえ。
気持ちだけ受け取っておくよ。\c"
M01000010,"\h(《ポリー》)１０００リッチもありゃあ
みんなにおいしいものを
食べさせてあげられんだけどね。\c"
M01000011,"\h(《ポリー》)ちょっと待ってておくれよ。
すぐに準備にとりかかるからさ！\c"
M01000100,"\h(《ポリー》)やあ、よく来たね。
キッチンも充実したし
存分に料理をさせてもらうよ。\e"
M01000101,"\h(《ポリー》)旅先でも食べられるように
ランチをバスケットに
つめてあげようかね？\e"
M01000102,"\h(《ポリー》)ただ、食材になる
「チョウチンカサゴ」という魚が
１０匹ほど足りなくてねえ……\e"
M01000103,"\h(《どうする？》)「ランチを作ってくれよ」
「また来るよ」\e"
M01000104,"\h(《ヴァイス》)ランチを作ってくれよ。
チョウチンカサゴ１０匹なら
俺、持ってるぜ。\e"
M01000105,"\h(《ポリー》)おや、準備がいいねえ。
よしきた、さっそく
料理にかかるよ！\e"
M01000106,"\h(《ポリー》)……お待ちどうさま。
さあ、マダム・ポリー特製の
バスケットランチだよ。\e"
M01000107,"\h(《ポリー》)ＨＰとＫＰがフルに回復する
特別料理だよ。ただ、戦闘中には
食べられないから注意しなよ。\e"
M01000108,"\h(　)「ポリーのランチ」を１つ
　受け取った。\c"
M01000109,"\h(《ポリー》)うーん……残念だけど
１０匹持ってないようだねえ。
また今度にしておくれ。\c"
M01000110,"\h(《ポリー》)チョウチンカサゴを
１０匹持ってきてくれれば
いつでも料理してあげるからね。\c"
M01000111,"\h(《ポリー》)おや、もうランチを
持ちきれないほど持ってるよ。
ちゃんと食べとくれよ。\c"
M01000023,"\h(《ポリー》)おや、いらっしゃい。
あたしになんか用かい？\e"
M01000024,"\h(《どうする？》)「料理番を頼むよ」
「なんでもない」\e"
M01000025,"\h(《ポリー》)なんだい、オーシャン料理が
食べたくなったのかい？
よし、まかしときな！\c"
M01000026,"\h(《ポリー》)ヤフトマー料理ってのも
なかなかうまいもんだねえ。\e"
M01000027,"\h(《ポリー》)魚からスープを取ってるんだね。
上品ないい味が出てるよ。
ウララちゃん、やるもんだねえ。\c"
M01000028,"\h(《ポリー》)じゃあ、あたしの店を出す
準備をしておくよ。
まかしときな！\c"
M01000029,"\h(《ポリー》)おや、いらっしゃい。
あたしになんか用かい？\e"
M01000030,"\h(《どうする？》)「料理番を頼むよ」
「なんでもない」\e"
M01000031,"\h(《ポリー》)なんだい、オーシャン料理が
食べたくなったのかい？
よし、まかしときな！\c"
M01000032,"\h(《ポリー》)ふふ、またこうしてこの人と
いっしょに過ごせるなんてね。\e"
M01000033,"\h(《ポリー》)あんたの船に乗ってよかったよ
ヴァイス船長。
ありがとうね。\c"
M01000034,"\h(《ポリー》)じゃあ、あたしの店を出す
準備をしておくよ。
任しときな！\c"
M01000043,"\h(《ポリー》)ウララちゃんの料理が
食べれるなんてうれしいねえ。
あたしも楽しみにしとくよ。\c"
M01140032,"\h(《ピンタ》)じゃあ、捕まえてきたら
島に放しておくピン！
楽しみにしとくピン！\c"
M01140033,"\h(《ピンタ》)ピンピンピン！
おもしろい動物のいる島を
たくさん見つけたピン！\e"
M01140034,"\h(《ピンタ》)島の場所？　それはひみつピン！
まあ、動物だけなら
捕まえてきてあげてもいいピン。\e"
M01140035,"\h(《ピンタ》)エサ代に５００リッチかかるけど
どうするピン？\e"
M01140036,"\h(《どうする？》)「よし、捕まえてきてくれ！」
「うーん、いらねえや」\e"
M01140037,"\h(《ヴァイス》)ペットか……
うん、いいかもしれないな。
よし、たのむぜ！\e"
M01140038,"\h(《ピンタ》)わかったピン！
どんなヤツがいいピン？\e"
M01140039,"\h(《どれにする？》)「東の果ての島のかわいいヤツ」
「南の島のハデハデなヤツ」
「西の島のおっそろしーヤツ」\e"
