Entry ID,Entry US Name,PS Flags,[L1],[L2],[D1],[D2],[D3],Type ID,[Type Name],Element ID,[Element Name],Attack,Hit%,Limit,SP,Trait ID,[Trait Name],Pad 1,Trait Value,Pad 2,Pad 3,Buy,Pad 4,Pad 5,Sell%,US Order 1,US Order 2,Pad 6,[US Descr Pos],[US Descr Size],US Descr Str
400,Main Cannon,0b00110000,X,X,"","","",0,Main Cannon,6,Neutral,35,80,0,4,-1,None,0,0,0,0,450,0,0,50,0,0,0,0x367388,88,"The Little Jack's main cannon. It's rather old
but Drachma has kept it in great shape."
401,Standard Cannon,0b00110000,X,X,"","","",0,Main Cannon,6,Neutral,40,83,0,4,-1,None,0,0,0,0,1000,0,0,50,1,1,0,0x3673e0,84,"The main cannon used on Valuan Warships
sometimes available on the Black Market."
402,Heavy Cannon,0b00110000,X,X,"","","",0,Main Cannon,6,Neutral,45,85,0,5,-1,None,0,0,0,0,1900,0,0,50,2,2,0,0x367434,52,"An upgraded version of the Standard Valuan
Cannon"
403,G-Type Cannon,0b00110000,X,X,"","","",0,Main Cannon,6,Neutral,50,85,0,5,-1,None,0,0,0,0,3000,0,0,70,3,3,0,0x367468,60,"Cannons used on Armada ships
Ixa'taka. Slightly outdated"
404,B-Type Cannon,0b00110000,X,X,"","","",0,Main Cannon,6,Neutral,75,90,0,6,-1,None,0,0,0,0,4000,0,0,50,4,4,0,0x3674a4,64,"An upgraded version of the G-Type Cannon
the same basic design"
405,Prototype Cannon,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,100,85,0,6,-1,None,0,0,0,0,5000,0,0,50,5,5,0,0x3674e4,76,"A rotating cannon that can track enemy targets
but doesn't do much damage."
406,Advanced Cannon,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,150,90,0,7,-1,None,0,0,0,0,5500,0,0,50,6,6,0,0x367530,92,"A new rotating main cannon developed for Valuan
Destroyers. Available on the Black Market."
407,Yamato Spirit,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,250,90,0,8,-1,None,0,0,0,0,6700,0,0,70,7,7,0,0x36758c,76,"A large and powerful cannon based on traditional
Yafutoman craftmanship."
408,Ancient Cannon,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,300,95,0,9,-1,None,0,0,0,0,8500,0,0,50,8,8,0,0x3675d8,64,"A durable cannon made from ancient metals from
the Old World."
409,X Cannon,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,400,97,0,10,-1,None,0,0,0,0,11000,0,0,0,9,9,0,0x367618,84,"A very large cannon that enables large ships to 
blast small ships out of the sky."
