Entry ID,Entry US Name,PS Flags,[L1],[L2],[D1],[D2],[D3],Trait 1 ID,[Trait 1 Name],Pad 1,Trait 1 Value,Trait 2 ID,[Trait 2 Name],Pad 2,Trait 2 Value,Trait 3 ID,[Trait 3 Name],Pad 3,Trait 3 Value,Trait 4 ID,[Trait 4 Name],Pad 4,Trait 4 Value,Pad 5,Pad 6,Buy,Pad 7,Pad 8,Sell%,Ord by 123,US Ord by ABC,Pad 9,[US Descr Pos],[US Descr Size],US Descr Str
440,Rogue Figure,0x3e,X,X,X,X,X,3,MagDef,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,800,0,0,50,0,0,0,0x33990c,100,"A menacing skull with crossed swords, the symbol\nof the Air Pirates. Increases Magic Resistance."
441,Pryn Figure,0x3e,X,X,X,X,X,3,MagDef,0,30,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,2400,0,0,50,1,1,0,0x339970,96,"Crafted after a mystical red bird, and decorated\nwith red feathers. Increases Magic Resistance."
442,Pyrynn Figure,0x3e,X,X,X,X,X,3,MagDef,0,45,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,4400,0,0,50,2,2,0,0x3399d0,84,A sculpture based on the mythical guardian of\nPyrynn. Increases Magic Resistance.
443,Arcwhale Figure,0x3e,X,X,X,X,X,3,MagDef,0,60,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,4640,0,0,50,3,3,0,0x339a24,84,"A sculpture of an arcwhale, the guardian of the\nskies. Increases Magic Resistance."
444,Quetya Figure,0x3e,X,X,X,X,X,3,MagDef,0,80,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,4880,0,0,50,4,4,0,0x339a78,92,"A sculpture of a Quetya, an Ixa'takan Deity.\nIts divine power increases Magic Resistance."
445,Giant Figure,0x3e,X,X,X,X,X,3,MagDef,0,100,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,5120,0,0,50,5,5,0,0x339ad4,64,A sculpture in the form of a giant.\nIncreases Magic Resistance.
446,Bluheim Figure,0x3e,X,X,X,X,X,3,MagDef,0,130,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,5360,0,0,50,6,6,0,0x339b14,76,"A sculpture of Bluheim, the Yafutoman Gigas.\nIncreases Magic Resistance."
447,Goddess Figure,0x3e,X,X,X,X,X,3,MagDef,0,160,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,6800,0,0,50,7,7,0,0x339b60,88,"A sculpture of the goddess of love, courage,\nand victory. Increases Magic Resistance."
448,Vyse Figure,0x3e,X,X,X,X,X,3,MagDef,0,190,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,8800,0,0,50,8,8,0,0x339bb8,60,A shameless sculpture of Vyse. \nIncreases Magic Resistance.
449,Spherical Figure,0x3e,X,X,X,X,X,3,MagDef,0,300,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,13500,0,0,50,9,9,0,0x339bf4,48,A glowing sphere.\nIncreases Magic Resistance.
450,Engine Cover,0x3e,X,X,X,X,X,4,Quick,0,10,6,Dodge%,0,3,-1,None,0,0,-1,None,0,0,0,0,800,0,0,50,10,10,0,0x339c24,80,"Protects the ship's engine from getting dirty,\nand increases the ship's speed."
451,Turbo Kit,0x3e,X,X,X,X,X,4,Quick,0,20,6,Dodge%,0,5,-1,None,0,0,-1,None,0,0,0,0,1520,0,0,50,11,11,0,0x339c74,92,"Ship Modification, that increases the Moon Stone\npower output, increasing the ship's speed."
452,Bore-up Kit,0x3e,X,X,X,X,X,4,Quick,0,30,6,Dodge%,0,8,-1,None,0,0,-1,None,0,0,0,0,2400,0,0,50,12,12,0,0x339cd0,88,"A kit that increases engine size for greater\npower and exhaust, increasing ship speed."
453,Twin Propellers,0x3e,X,X,X,X,X,4,Quick,0,40,6,Dodge%,0,10,-1,None,0,0,-1,None,0,0,0,0,3200,0,0,50,13,13,0,0x339d28,60,An additional propeller that increases the\nship's speed.
454,Air Intake,0x3e,X,X,X,X,X,4,Quick,0,80,6,Dodge%,0,12,-1,None,0,0,-1,None,0,0,0,0,6800,0,0,50,14,14,0,0x339d64,92,"Sends clean air into the engine, stabilizing\nfuel consumption and increasing ship speed."
455,Twin Turbo,0x3e,X,X,X,X,X,4,Quick,0,90,6,Dodge%,0,15,-1,None,0,0,-1,None,0,0,0,0,8800,0,0,50,15,15,0,0x339dc0,80,A compound turbo kit that modifies the engine\nand gives the ship more speed.
456,Timing Valve,0x3e,X,X,X,X,X,4,Quick,0,100,6,Dodge%,0,17,-1,None,0,0,-1,None,0,0,0,0,10800,0,0,50,16,16,0,0x339e10,80,"Standardizes valve timing to stabilize engine\nexhaust, increasing ship speed."
