Entry ID,Entry US Name,Element ID,[Element Name],Order,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Speed,Effect SP,Pad 1,Pad 2,Effect Base,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad 3,Pad 4,Pad 5,Ship Occ ID,[Ship Occ Name],Pad 6,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Ship Eff Base,Unk,Pad 7,Pad 8,Pad 9,[US Descr Pos],[US Descr Size],US Descr Str,[Ship US Descr Pos],[Ship US Descr Size],Ship US Descr Str
0,Increm,1,Red,120,0x3,"",X,X,21,Incr Attack & Defense,1,Single PC,6,Magic,0,4,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,105,Incr Attack + Defense,4,2,0,-1,0,0,0,0x3313b4,92,Increases both Attack Power and Defense of\ntarget by 25%.                             SP 4,0x33b104,84,Increases your ship's Attack power\nand Defense power by 25% for 2 turns.       4 SP
1,Incremus,1,Red,121,0x3,"",X,X,21,Incr Attack & Defense,2,All PCs,6,Magic,0,16,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,105,Incr Attack + Defense,16,4,0,-1,0,0,0,0x331410,96,Increases both Attack Power and Defense of the\nentire party by 25%.                       SP 16,0x33b158,84,Increases your ship's Attack power\nand Defense power by 25% for 4 turns.      16 SP
2,Sylenis,2,Purple,20,0x3,"",X,X,12,Silence,3,Single EC,6,Magic,0,2,0,0,0,0,Physical,5,Silence,40,0,0,0,0,Magic Cannon,0,116,Silence by 100%,2,2,0,-1,0,0,0,0x331470,92,Prevents target from casting any spells by\nSilencing them.                            SP 2,0x33b1ac,92,Prevents enemy ships from casting spells.\nSpecial equipment is needed to cast.        2 SP
3,Panika,2,Purple,130,0x2,"",X,"",11,Confusion,3,Single EC,6,Magic,0,3,0,0,0,0,Physical,4,Confusion,40,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x3314cc,92,Confuses one target into attacking nearest\ntarget.                                    SP 3,0x33b208,20,Cannot be used.\n
4,Driln,4,Yellow,140,0x3,"",X,X,26,Decr All Attr,3,Single EC,6,Magic,0,3,0,0,0,0,Physical,8,Weak,40,0,0,0,0,Magic Cannon,0,106,Weak by 100%,3,2,0,-1,0,0,0,0x331528,96,Weakens one enemy target. Lowers all attributes\nby 25%.                                    SP 3,0x33b21c,96,Lowers enemy ship's attributes for 2 turns.\nSpecial equipment is needed to cast.        3 SP
5,Drilnos,4,Yellow,141,0x3,"",X,X,26,Decr All Attr,4,All ECs,6,Magic,0,6,0,0,0,0,Physical,8,Weak,60,0,0,0,0,Magic Cannon,0,106,Weak by 100%,6,4,0,-1,0,0,0,0x331588,92,Weakens all enemies on screen. Lowers all\nattributes by 25%.                         SP 6,0x33b27c,96,Lowers enemy ship's attributes for 4 turns.\nSpecial equipment is needed to cast.        6 SP
6,Sacri,0,Green,40,0x7,X,X,X,31,Recover HP,1,Single PC,6,Magic,0,2,0,0,500,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP,2,-1,400,-1,0,0,0,0x3315e4,96,Restores 500 HP to any one ally. Can also be\nused outside of battle.                    SP 2,0x33b2dc,96,"Repairs 4,000 HP worth of damage. Can be cast\noutside of battle as well.                  2 SP"
7,Sacres,0,Green,41,0x7,X,X,X,31,Recover HP,1,Single PC,6,Magic,0,4,0,0,1000,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP,4,-1,800,-1,0,0,0,0x331644,96,"Restores 1,000 HP to any one ally. Can also be\nused outside of battle.                    SP 4",0x33b33c,96,"Repairs 8,000 HP worth of damage. Can be cast\noutside of battle as well.                  4 SP"
8,Sacrum,0,Green,42,0x6,X,X,"",31,Recover HP,2,All PCs,6,Magic,0,8,0,0,1000,0,Physical,0,Poison,0,0,0,0,-1,Never,0,-1,None,-1,-1,1000,-1,0,0,0,0x3316a4,96,"Restores 1,000 HP to entire party. Can also be\nused outside of battle.                    SP 8",0x0,0,""
9,Sacrulen,0,Green,43,0x7,X,X,X,32,Recover HP of 100%,1,Single PC,6,Magic,0,6,0,0,10000,0,Physical,0,Poison,0,0,0,0,1,Always,0,101,Recover HP by 100%,6,-1,0,-1,0,0,0,0x331704,100,Completely restores HP of any one ally. Can also\nbe used outside of battle.                 SP 6,0x33b39c,96,Repairs all damage on your ship. Can be cast\noutside of battle as well.                  6 SP
