Entry ID,Entry US Name,Occasion Flags,[M],[B],[S],Ship Eff ID,[Ship Eff Name],Ship Eff Turns,Consume%,Pad 1,Pad 2,Pad 3,Buy,Pad 4,Pad 5,Sell%,US Order 1,US Order 2,Pad 6,Ship Eff Base,Element ID,[Element Name],Unk 1,Unk 2,Hit%,[US Descr Pos],[US Descr Size],US Descr Str
480,Bomb,0b0001,"","",X,107,Damage,-1,100,0,0,0,100,0,0,50,0,3,0,80,6,Neutral,0,0,0,0x33a730,48,"A common bomb, designed to damage the enemy.\n"
481,Big Bomb,0b0001,"","",X,107,Damage,-1,100,0,0,0,150,0,0,50,1,2,0,120,6,Neutral,0,0,0,0x33a760,84,"A larger bomb, packed with more gunpowder for a\nbigger blast. Damages the enemy."
482,Concussion Bomb,0b0001,"","",X,107,Damage,-1,100,0,0,0,200,0,0,50,2,6,0,150,6,Neutral,0,0,0,0x33a7b4,80,A bomb that packs double the firepower of a\nstandard bomb. Damages the enemy.
483,Shredder Bomb,0b0001,"","",X,107,Damage,-1,100,0,0,0,480,0,0,50,3,24,0,250,6,Neutral,0,0,0,0x33a804,88,A bomb designed for pure explosive power and\nsize. Does massive damage to the enemy.
484,Pyro Bomb,0b0001,"","",X,107,Damage,-1,100,0,0,0,450,0,0,50,4,21,0,240,1,Red,1,0,0,0x33a85c,88,A special bomb with Red Moon Dust mixed\ninto the gunpowder. Has an extremely hot blast.
485,Frost Bomb,0b0001,"","",X,107,Damage,-1,100,0,0,0,600,0,0,50,5,10,0,240,2,Purple,1,0,0,0x33a8b4,92,A special bomb with Purple Moon Dust mixed\ninto the gunpowder. Has an extremely cold blast.
486,Silencer Bomb,0b0001,"","",X,116,Silence by 100%,-1,100,0,0,0,600,0,0,50,6,25,0,0,0,Green,0,165,80,0x33a910,92,A special bomb with Purple Moon Dust mixed\ninto the gunpowder. Has a Sylenis-like effect.
487,Thunder Bomb,0b0001,"","",X,107,Damage,-1,100,0,0,0,450,0,0,50,7,28,0,240,4,Yellow,1,0,0,0x33a96c,92,A special bomb with Yellow Moon Dust mixed\ninto the gunpowder. Has an Electri-like effect.
488,Electro Bomb,0b0001,"","",X,106,Weak by 100%,-1,100,0,0,0,600,0,0,50,8,9,0,0,0,Green,0,1,80,0x33a9c8,88,A special bomb with Yellow Moon Dust mixed\ninto the gunpowder. Has a Driln-like effect.
489,Wave Bomb,0b0001,"","",X,107,Damage,-1,100,0,0,0,600,0,0,50,9,29,0,240,3,Blue,1,0,0,0x33aa20,92,A special bomb with Blue Moonstone dust mixed\ninto the gunpowder. Has a Wevli-like effect.
