[Event Name],Task ID
MJ0250000,"\h(《Vyse》)Well then… shall we head back to Crescent Isle 
and get Fina's ship ready?\e"
MJ0250001,\h(《Aika》)……\e
MJ0250002,"\h(《Aika》)Enrique left us…
And once we get back to Crescent Isle… 
Fina will leave us, too…\e"
MJ0250003,\h(《Aika》)It… it kind of makes me not want to go home…\e
MJ0250004,"\h(《Aika》)Haha…
What am I talking about? I'm sorry, Fina.\e"
MJ0250005,\h(《Fina》)Aika… I will… miss you…\e
MJ0250006,"\h(《Vyse》)This is the first time in my life that I haven't
been excited about sailing somewhere…\e"
M80200000,"\h(《Nasr Air Guard》)We are the Nasr Air Guard! It is our duty to
defend the South Dannel Strait.\e"
M80200001,"\h(《Nasr Air Guard》)The Southern Dannel Strait is a restricted
area. No unauthorized vessels may pass
through here without express permission.\c"
M80200002,"\h(《Nasr Air Guard》)You cannot enter, no matter how many times you
try. Unauthorized vessels will not be allowed
past this point.\c"
M81200000,"\h(《Nasr Air Guard》)We are the Nasr Air Guard. Our primary
responsibility is to defend Nasrad from
invaders.\e"
M81200001,"\h(《Nasr Air Guard》)In order for the Valuan Armada to invade us,
they will have to go through the strait.\c"
M80210000,"\h(《Nasr Air Guard》)We are the Nasr Air Guard! It is our duty to
defend the South Dannel Strait.\e"
M80210001,"\h(《Nasr Air Guard》)The Southern Dannel Strait is a restricted
area. No unauthorized vessels may pass
through here without express permission.\c"
M80210002,"\h(《Nasr Air Guard》)You cannot enter, no matter how many times you
try. Unauthorized vessels will not be allowed
past this point.\c"
M81210000,"\h(《Nasr Air Guard》)Hah! The Valuans are overconfident. They think
their Armada is unstoppable. Let them try to get
past us.\e"
M81210001,"\h(《Nasr Air Guard》)It doesn't matter how many ships they have. If
they try to rush through the strait, we'll just
pick them off.\c"
M90010000,"\h(《Merchant Ship》)This region of the sky is like a giant maze.
There are sky rifts and islands all over the
place.\e"
M90010001,"\h(《Merchant Ship》)We need to be careful around here. There are
lots of spots where Air Pirates can hide and
ambush us.\c"
M90010002,"\h(《Merchant Ship》)Shrine Island? Forget it. No one in their right
mind would go near the place.\e"
M90010003,"\h(《Merchant Ship》)I've heard that there are monsters on that
island, and if you fly close enough, you can
hear them at night when the winds are still.\c"
M90010004,"\h(《Merchant Ship》)It was incredible! I heard this really loud
rumble, and my ship started shaking. I looked
over the side…\e"
M90010005,"\h(《Merchant Ship》)… I saw a whole fleet of Valuan warships. I
wonder where they were going. With a fleet that
large, they must have been attacking someone.\c"
M90010006,"\h(《Merchant Ship》)If you're looking for Sailors' Island, it's
northeast of here. Just look for the
lighthouse… it'll guide you to the port.\e"
M90010007,"\h(《Merchant Ship》)You'll see it right after you go through the
rock tunnel.\c"
M90010008,"\h(《Merchant Ship》)From what I hear, Valua has added another
admiral to it's ranks. That makes six main
fleets in the Armada now.\e"
M90010009,"\h(《Merchant Ship》)With that many ships, they must be up to
something. I wouldn't want to get on their bad
side.\c"
M90010010,"\h(《Merchant Ship》)Where'd you get that ship?! I've never seen a
ship like that before!\e"
M90010011,"\h(《Merchant Ship》)Wait a second… That's a Valuan Ship! You stole
it!!! You're either very brave… or very
stupid!\c"
M90010012,"\h(《Merchant Ship》)Is that right? There's really a land called
Yafutoma in the far east?\e"
M90010013,"\h(《Merchant Ship》)What?! You say you can reach Yafutoma by going
west, too? Wait… I don't get it…\c"
M90010014,"\h(《Merchant Ship》)I can't believe it… Valua has been completely
destroyed. You can still smell the smoke at 100
leagues, if you're downwind.\c"
