[Event Name],Task ID
MK0180000,\h(《Vyse》)This is amazing!\e
MK0180001,"\h(《Galcian》)Heh heh…
So, you made it this far…\e"
MK0180002,"\h(《Vyse》)Galcian!
Ramirez!!\e"
MK0180003,\h(《Vyse》)What is that?!\e
MK0180004,"\h(《Fina》)Vyse… that sphere is the Silver Gigas, Zelos!!\e"
MK0180005,"\h(《Vyse》)What?!
That's the Gigas?\e"
MK0180006,"\h(《Aika》)Vyse!
Look!!\e"
MK0180007,\h(《Vyse》)The Moon Crystals!!\e
MK0180008,\h(《Fina》)They're using the Crystals to break the seal!\e
MK0180009,"\h(《Galcian》)Heh heh heh…
Once Zelos is freed, I shall control the 
greatest weapon of all time! \e"
MK0180010,"\h(《Galcian》)I will be able to call down the Rains of 
Destruction at will!\e"
MK0180011,"\h(《Galcian》)And then, my reign shall begin!
The six Moons shall obey my commands!\e"
MK0180012,"\h(《Ramirez》)You may live long enough to see it… 
Then again, you may not!\e"
MK0190000,"\h(《Galcian》)Heh… very good. You would have only
disappointed me if you died. But you are too
late.\e"
MK0190001,\h(《Vyse》)He broke the seal!!!\e
MK0190002,"\h(《Galcian》)Zelos! I am your master!
Raise the Lost Continent of Soltis!\e"
MK0190003,"\h(《Galcian》)From this day forth, Soltis shall be my castle!\e"
MK0190004,"\h(《Galcian》)Farewell, Air Pirates!
This place shall become your grave!\e"
MK0190005,"\h(《Fina》)Vyse, we've got to hurry. Zelos is 
raising Soltis!\e"
MK0190006,\h(《Fina》)We have to get back to Dangral Island!\e
MK0190007,"\h(《Aika》)We can't stay here!
Vyse, hurry!\e"
MK0190008,"\h(《Vyse》)Damn…
We were so close…!\e"
MK0190009,"\h(《Vyse》)Alright, everyone! Go! Back to Dangral Island!\e"
"",me131f.sct
"",K18発生しました。\c
"",a131gk18.mld
"",a131gk18.mld
"",a131gk18ef_5.mld
"",a131gk18ef_5.mld
"",M0257
"",e6k018
"",a131gk18.mld
"",a131gk18ef_5.mld
"",K19発生しました。\c
"",e6k019
"",a131gk19.mld
"",a131gk19.mld
"",a131gk19_efe.mld
"",a131gk19_efe.mld
"",a131gk19.mld
"",a131gk19_efe.mld
