[Event Name],Task ID
MA0020000,"\h(《Alfonso》)Hah hah hah…
We've finally found her…\e"
MA0020001,"\h(《Vice Captain》)Admiral Alfonso, her ship's in range of our 
cannons.\e"
MA0020002,"\h(《Alfonso》)Excellent. Prepare to fire Concussion Shells on
my command but avoid hitting her ship directly.
We need her alive so we can “question” her.\e"
MA0020003,\h(《Alfonso》)Fire!\e
MA0020004,"\h(《Vice Captain》)Your Excellency, the girl has been knocked 
unconscious, but she's unharmed. She's been 
taken aboard our ship.\e"
MA0020005,"\h(《Alfonso》)Hah hah hah. The Empress will be very pleased
with me. I'm sure to be rewarded…
rather handsomely, I might add.\e"
MA0020006,"\h(《Alfonso》)What? Where did that come from?
It sounded like an explosion.
Status report, now!\e"
MA0020007,"\h(《Observation Soldier》)Th… the lower hull has been hit!  
Someone is attacking us!\e"
MA0020008,"\h(《Alfonso》)Attacking us?!
Who would dare attack a vessel of
the Imperial Armada?\e"
MA0020009,"\h(《Observation Soldier》)There's a small ship hiding in the clouds off 
port side!\e"
MA0020010,\h(《Observation Soldier》)Th… that flag… Air Pirates!!!\e
MA0020011,"\h(《Valuan Soldier》)Air Pirate scum!
Don't you know that we're Valuan Imperial 
Soldiers?\e"
MA0020012,"\h(《Vyse》)Of course I know.
That's why we attacked your ship. 
You guys have the best stuff.\e"
MA0020013,"\h(《Vyse》)I'm Vyse of the Blue Rogues.
And in a few minutes, I'll be relieving you of 
all your valuables!\e"
MA0020014,"\h(《Valuan Soldier》)Heh heh… Attacking us all by yourself? You're
either incredibly brave or incredibly stupid.
We'll be tossing you overboard.\e"
MA0020015,\h(《Aika》)Wait for me!!\e
MA0020016,"\h(《Aika》)Vyse, you left without me! I'm not going to let 
you have all the fun.\e"
MA0020017,"\h(《Aika》)Oh, hi. I'm Aika. 
I'm a Blue Rogue like Vyse… 
And we're robbing you.\e"
MA0020018,"\h(《Valuan Soldier》)You dare mock the Valuan Empire with your 
insolence? Kill them! And toss their corpses 
over the side!!\e"
"",me200a.sct
"",EV_A02発生しました。\c
"",a201aa02c.mld
"",a201aa02c.mld
"",a201aa02a.mld
"",a201aa02a.mld
"",a201aa02_efe.mld
"",M0372
"",e6a002
"",a201aa02c.mld
"",a201aa02c.mld
"",a201aa02c.mld
"",M0305
"",a201aa02a.mld
"",a201aa02e.mld
"",a201aa02e.mld
"",a201aa02b.mld
"",a201aa02b.mld
"",a201aa02f.mld
"",a201aa02f.mld
"",a201aa02c.mld
"",a201aa02d.mld
"",a201aa02d.mld
"",a201aa02b.mld
