Entry ID,[Filter],Entry JP Name,[Entry EU Name],Width,Depth,Element ID,[Element Name],Pad 1,Pad 2,Movement Flags,Counter%,EXP,Gold,Pad 3,Pad 4,MAXHP,Unk 1,Green,Red,Purple,Blue,Yellow,Silver,Poison,Unconscious,Stone,Sleep,Confusion,Silence,Fatigue,Revival,Weak,State 10,State 11,State 12,State 13,State 14,State 15,Danger,Effect ID,[Effect Name],State ID,[State Name],State Miss%,Pad 5,Level,Will,Vigor,Agile,Quick,Attack,Defense,MagDef,Hit%,Dodge%,Pad 6,Pad 7,Item 1 Prob,Item 1 Amount,Item 1 ID,[Item 1 Name],Item 2 Prob,Item 2 Amount,Item 2 ID,[Item 2 Name],Item 3 Prob,Item 3 Amount,Item 3 ID,[Item 3 Name],Item 4 Prob,Item 4 Amount,Item 4 ID,[Item 4 Name]
0,*,軍艦兵,Ferratus,1,1,4,Yellow,-1,-1,0b111111000111,10,1,5,-1,-1,58,18.0,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,1,16,13,10,18,43,42,40,95,15,-1,-1,1,1,273,Electri Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
1,*,航行士,Praeses,1,1,4,Yellow,-1,-1,0b111111000101,15,1,3,-1,-1,29,18.0,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,1,16,12,15,19,36,38,38,105,15,-1,-1,6,1,240,Sacri Crystal,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
2,*,ミクラステル,Latro,1,1,5,Silver,-1,-1,0b111111001111,15,28,123,-1,-1,138,18.0,10,10,10,10,11,9,0,9,10,10,10,0,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,5,30,25,5,30,96,91,60,90,10,-1,-1,3,1,265,Vidal Seed,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
3,*,マロッカ,Marocca,1,1,3,Blue,-1,-1,0b111111111111,5,8,31,-1,-1,97,18.0,20,5,20,10,5,10,20,20,20,20,20,0,0,20,20,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,4,25,5,20,20,55,83,32,80,5,-1,-1,6,1,170,Marocca's Shell,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
4,*,アーアペプ,Grouder,3,3,2,Purple,-1,-1,0b111111001111,25,19,48,-1,-1,286,18.0,11,14,7,9,10,10,11,10,10,9,9,10,0,10,10,10,10,10,10,10,10,1000,-1,None,0,Poison,0,-1,4,33,28,10,27,86,74,68,80,5,-1,-1,4,1,21,Throwing Blade,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
7,*,煌術処刑士,Venificus,1,1,4,Yellow,-1,-1,0b111111110101,5,35,54,-1,-1,406,18.0,9,10,10,11,9,11,5,5,5,5,5,10,0,5,5,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,10,90,40,5,55,100,89,156,70,25,-1,-1,50,1,241,Sacres Crystal,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
8,*,レトモニケ,Flestik,1,1,3,Blue,-1,-1,0b111111000111,15,9,18,-1,-1,42,18.0,11,9,11,10,9,10,22,20,20,0,22,0,0,10,18,10,10,10,10,10,10,500,69,Sleep + Damage,3,Sleep,40,-1,5,28,19,10,32,68,64,50,85,5,-1,-1,3,1,249,Curia Crystal,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
9,*,レイチア,Basallish,1,1,1,Red,-1,-1,0b111111000111,20,23,24,-1,-1,71,18.0,9,7,14,11,10,10,9,10,10,11,11,0,0,10,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,8,38,28,15,56,84,86,86,100,20,-1,-1,1,1,267,Pyri Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
10,*,カイライ,Dementis,1,1,0,Green,-1,-1,0b111111000101,15,52,41,-1,-1,287,18.0,10,11,9,9,11,10,0,20,20,18,18,0,0,10,22,10,10,10,10,10,10,800,4,Poison + Damage,0,Poison,60,-1,8,40,27,15,36,116,105,60,75,5,-1,-1,1,1,50,Mace Hand,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
11,*,フォカラルガ,Walrenk,3,3,2,Purple,-1,-1,0b111111000111,15,285,193,-1,-1,417,18.0,11,14,7,9,10,10,11,10,10,9,9,10,0,10,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,23,122,64,15,68,221,194,194,80,5,-1,-1,2,1,279,Panika Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
