Entry ID,EU Message ID,[Entry DE Name Pos],[Entry DE Name Size],Entry DE Name,[Entry ES Name Pos],[Entry ES Name Size],Entry ES Name,[Entry FR Name Pos],[Entry FR Name Size],Entry FR Name,[Entry GB Name Pos],[Entry GB Name Size],Entry GB Name,MAXHP,Will,Defense,MagDef,Quick,Agile,Dodge%,Green,Red,Purple,Blue,Yellow,Silver,[Arm 1 DE Name Pos],[Arm 1 DE Name Size],Arm 1 DE Name Str,[Arm 1 ES Name Pos],[Arm 1 ES Name Size],Arm 1 ES Name Str,[Arm 1 FR Name Pos],[Arm 1 FR Name Size],Arm 1 FR Name Str,[Arm 1 GB Name Pos],[Arm 1 GB Name Size],Arm 1 GB Name Str,Arm 1 Type ID,[Arm 1 Type name],Arm 1 Attack,Arm 1 Range,Arm 1 Hit%,Arm 1 Element ID,[Arm 1 Element Name],[Arm 2 DE Name Pos],[Arm 2 DE Name Size],Arm 2 DE Name Str,[Arm 2 ES Name Pos],[Arm 2 ES Name Size],Arm 2 ES Name Str,[Arm 2 FR Name Pos],[Arm 2 FR Name Size],Arm 2 FR Name Str,[Arm 2 GB Name Pos],[Arm 2 GB Name Size],Arm 2 GB Name Str,Arm 2 Type ID,[Arm 2 Type name],Arm 2 Attack,Arm 2 Range,Arm 2 Hit%,Arm 2 Element ID,[Arm 2 Element Name],[Arm 3 DE Name Pos],[Arm 3 DE Name Size],Arm 3 DE Name Str,[Arm 3 ES Name Pos],[Arm 3 ES Name Size],Arm 3 ES Name Str,[Arm 3 FR Name Pos],[Arm 3 FR Name Size],Arm 3 FR Name Str,[Arm 3 GB Name Pos],[Arm 3 GB Name Size],Arm 3 GB Name Str,Arm 3 Type ID,[Arm 3 Type name],Arm 3 Attack,Arm 3 Range,Arm 3 Hit%,Arm 3 Element ID,[Arm 3 Element Name],[Arm 4 DE Name Pos],[Arm 4 DE Name Size],Arm 4 DE Name Str,[Arm 4 ES Name Pos],[Arm 4 ES Name Size],Arm 4 ES Name Str,[Arm 4 FR Name Pos],[Arm 4 FR Name Size],Arm 4 FR Name Str,[Arm 4 GB Name Pos],[Arm 4 GB Name Size],Arm 4 GB Name Str,Arm 4 Type ID,[Arm 4 Type name],Arm 4 Attack,Arm 4 Range,Arm 4 Hit%,Arm 4 Element ID,[Arm 4 Element Name],Pad 1,Pad 2,Pad 3,Pad 4,Pad 5,Pad 6,EXP,Gold,Item Drop 1 ID,[Item Drop 1 Name],Item 1 ID,[Item 1 Name],Item Drop 2 ID,[Item Drop 2 Name],Item 2 ID,[Item 2 Name],Item Drop 3 ID,[Item Drop 3 Name],Item 3 ID,[Item 3 Name]
0,0x8c373cd4,0x1ae6a,15,Valuan Warship,0x1b373,15,Valuan Warship,0x1b7ed,15,Valuan Warship,0x1ae3a,15,Valuan Warship,12000,20,40,20,70,5,15,10,10,10,10,7,10,0x1b658,13,Small Cannon,0x1bb64,14,Canon Pequeno,0x1c017,12,Petit Canon,0x1b628,13,Small Cannon,0,Main Cannon,120,0,85,6,Neutral,0x1b665,16,Light Subcannon,0x1bb72,16,Subcanon Ligero,0x1c023,15,Subcanon Léger,0x1b635,16,Light Subcannon,1,Sec Cannon,95,1,80,6,Neutral,0x1b675,2,-,0x1bb82,2,-,0x1c032,2,-,0x1b645,2,-,-1,None,-1,-1,-1,-1,None,0x1b677,2,-,0x1bb84,2,-,0x1c034,2,-,0x1b647,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,400,300,0,100%,480,Bomb,3,20%,401,Standard Cannon,-1,None,-1,None
1,0x8c373ce4,0x1ae79,17,Valuan Spellship,0x1b382,17,Valuan Spellship,0x1b7fc,17,Valuan Spellship,0x1ae49,17,Valuan Spellship,12000,70,40,45,70,7,10,10,9,10,10,8,10,0x1b679,13,Small Cannon,0x1bb86,14,Canon Pequeno,0x1c036,12,Petit Canon,0x1b649,13,Small Cannon,0,Main Cannon,120,0,80,6,Neutral,0x1b686,16,Light Subcannon,0x1bb94,16,Subcanon Ligero,0x1c042,15,Subcanon Léger,0x1b656,16,Light Subcannon,1,Sec Cannon,95,1,85,6,Neutral,0x1b696,2,-,0x1bba4,2,-,0x1c051,2,-,0x1b666,2,-,-1,None,-1,-1,-1,-1,None,0x1b698,2,-,0x1bba6,2,-,0x1c053,2,-,0x1b668,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,400,300,0,100%,480,Bomb,3,20%,489,Wave Bomb,-1,None,-1,None
2,0x8c373cf8,0x1ae8a,15,Valuan Cruiser,0x1b393,15,Valuan Cruiser,0x1b80d,15,Valuan Cruiser,0x1ae5a,15,Valuan Cruiser,10000,30,35,15,30,5,10,10,10,10,10,7,10,0x1b69a,16,Standard Cannon,0x1bba8,15,Canon Estandar,0x1c055,15,Canon Standard,0x1b66a,16,Standard Cannon,0,Main Cannon,110,0,80,6,Neutral,0x1b6aa,10,Subcannon,0x1bbb7,9,Subcanon,0x1c064,9,Subcanon,0x1b67a,10,Subcannon,1,Sec Cannon,90,2,90,6,Neutral,0x1b6b4,2,-,0x1bbc0,2,-,0x1c06d,2,-,0x1b684,2,-,-1,None,-1,-1,-1,-1,None,0x1b6b6,2,-,0x1bbc2,2,-,0x1c06f,2,-,0x1b686,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,690,500,0,100%,490,Repair Kit,-1,None,-1,None,-1,None,-1,None
3,0x8c373d08,0x1ae99,15,Valuan Phantom,0x1b3a2,15,Valuan Phantom,0x1b81c,15,Valuan Phantom,0x1ae69,15,Valuan Phantom,10000,120,33,130,50,8,15,10,5,10,10,5,10,0x1b6b8,16,Standard Cannon,0x1bbc4,16,Standard Cannon,0x1c071,15,Canon Standard,0x1b688,16,Standard Cannon,0,Main Cannon,110,0,80,6,Neutral,0x1b6c8,10,Subcannon,0x1bbd4,10,Subcannon,0x1c080,9,Subcanon,0x1b698,10,Subcannon,1,Sec Cannon,90,2,90,6,Neutral,0x1b6d2,2,-,0x1bbde,2,-,0x1c089,2,-,0x1b6a2,2,-,-1,None,-1,-1,-1,-1,None,0x1b6d4,2,-,0x1bbe0,2,-,0x1c08b,2,-,0x1b6a4,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,640,400,4,50%,481,Big Bomb,3,20%,485,Frost Bomb,-1,None,-1,None
4,0x8c373d18,0x1aea8,15,Valuan Gunboat,0x1b3b1,15,Valuan Gunboat,0x1b82b,15,Valuan Gunboat,0x1ae78,15,Valuan Gunboat,15000,100,100,170,70,14,10,10,5,9,10,5,10,0x1b6d6,13,Large Cannon,0x1bbe2,13,Large Cannon,0x1c08d,12,Canon lourd,0x1b6a6,13,Large Cannon,0,Main Cannon,150,0,70,6,Neutral,0x1b6e3,16,Heavy Subcannon,0x1bbef,16,Heavy Subcannon,0x1c099,15,Subcanon Lourd,0x1b6b3,16,Heavy Subcannon,1,Sec Cannon,120,2,85,6,Neutral,0x1b6f3,8,Torpedo,0x1bbff,8,Torpedo,0x1c0a8,9,Torpille,0x1b6c3,8,Torpedo,2,Torpedo,180,2,40,6,Neutral,0x1b6fb,2,-,0x1bc07,2,-,0x1c0b1,2,-,0x1b6cb,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,1220,600,3,20%,483,Shredder Bomb,3,20%,491,Deluxe Kit,-1,None,-1,None
5,0x8c373d28,0x1aeb7,17,Valuan Mage Ship,0x1b3c0,17,Valuan Mage Ship,0x1b83a,17,Valuan Mage Ship,0x1ae87,17,Valuan Mage Ship,15000,150,100,250,70,14,20,10,5,5,10,3,10,0x1b6fd,13,Large Cannon,0x1bc09,13,Large Cannon,0x1c0b3,12,Canon lourd,0x1b6cd,13,Large Cannon,0,Main Cannon,140,0,70,6,Neutral,0x1b70a,16,Heavy Subcannon,0x1bc16,16,Heavy Subcannon,0x1c0bf,15,Subcanon lourd,0x1b6da,16,Heavy Subcannon,1,Sec Cannon,120,2,85,6,Neutral,0x1b71a,8,Torpedo,0x1bc26,8,Torpedo,0x1c0ce,9,Torpille,0x1b6ea,8,Torpedo,2,Torpedo,160,2,40,6,Neutral,0x1b722,2,-,0x1bc2e,2,-,0x1c0d7,2,-,0x1b6f2,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,1110,600,0,100%,485,Frost Bomb,0,100%,487,Thunder Bomb,-1,None,-1,None
6,0x8c373d3c,0x1aec8,17,Valuan Destroyer,0x1b3d1,17,Valuan Destroyer,0x1b84b,17,Valuan Destroyer,0x1ae98,17,Valuan Destroyer,38000,120,200,250,115,30,10,8,8,8,8,4,10,0x1b724,17,Prototype Cannon,0x1bc30,17,Prototype Cannon,0x1c0d9,16,Canon Prototype,0x1b6f4,17,Prototype Cannon,0,Main Cannon,250,0,80,6,Neutral,0x1b735,17,Great Subcannon ,0x1bc41,17,Great Subcannon ,0x1c0e9,15,Grand Subcanon,0x1b705,17,Great Subcannon ,1,Sec Cannon,300,3,90,6,Neutral,0x1b746,14,Great Torpedo,0x1bc52,14,Great Torpedo,0x1c0f8,16,Grande Torpille,0x1b716,14,Great Torpedo,2,Torpedo,400,3,50,6,Neutral,0x1b754,2,-,0x1bc60,2,-,0x1c108,2,-,0x1b724,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,2380,1000,0,100%,417,"12\\""Cannon",6,Kalifa,470,Intercom,7,Osman,476,Expensive Wheel
7,0x8c373d50,0x1aed9,15,Valuan Spectre,0x1b3e2,15,Valuan Spectre,0x1b85c,15,Valuan Spectre,0x1aea9,15,Valuan Spectre,38000,200,150,370,115,30,15,6,5,4,6,3,10,0x1b756,11,Neo Cannon,0x1bc62,11,Neo Cannon,0x1c10a,10,Canon Neo,0x1b726,11,Neo Cannon,0,Main Cannon,250,0,80,6,Neutral,0x1b761,14,Neo Subcannon,0x1bc6d,14,Neo Subcannon,0x1c114,13,Subcanon Neo,0x1b731,14,Neo Subcannon,1,Sec Cannon,150,3,90,6,Neutral,0x1b76f,16,Greater Torpedo,0x1bc7b,16,Greater Torpedo,0x1c121,16,Torpille lourde,0x1b73f,16,Greater Torpedo,2,Torpedo,350,3,50,6,Neutral,0x1b77f,2,-,0x1bc8b,2,-,0x1c131,2,-,0x1b74f,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,2380,1000,6,Kalifa,472,Floor Heater,0,100%,457,Triple Turbo,-1,None,-1,None
8,0x8c373d60,0x1aee8,16,Galcian's Elite,0x1b3f1,16,Galcian's Elite,0x1b86b,16,Galcian's Elite,0x1aeb8,16,Galcian's Elite,50000,250,200,370,220,35,10,10,5,2,5,5,10,0x1b781,15,Serpent Cannon,0x1bc8d,15,Serpent Cannon,0x1c133,14,Canon Serpent,0x1b751,15,Serpent Cannon,0,Main Cannon,330,0,80,6,Neutral,0x1b790,13,Rapid Cannon,0x1bc9c,13,Rapid Cannon,0x1c141,13,Canon Rapide,0x1b760,13,Rapid Cannon,1,Sec Cannon,250,3,95,6,Neutral,0x1b79d,14,Speed Torpedo,0x1bca9,14,Speed Torpedo,0x1c14e,16,Torpille rapide,0x1b76d,14,Speed Torpedo,2,Torpedo,400,3,30,6,Neutral,0x1b7ab,2,-,0x1bcb7,2,-,0x1c15e,2,-,0x1b77b,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,5780,2400,0,100%,493,Complete Kit,6,Kalifa,438,Crystil Cannon,0,100%,459,Double Shaft
9,0x8c373d70,0x1aef8,17,Gregorio Cruiser,0x1b401,17,Gregorio Cruiser,0x1b87b,17,Gregorio Cruiser,0x1aec8,17,Gregorio Cruiser,25000,100,250,270,65,5,5,10,9,9,10,8,10,0x1b7ad,12,Main Cannon,0x1bcb9,12,Main Cannon,0x1c160,16,Canon Principal,0x1b77d,12,Main Cannon,0,Main Cannon,250,0,90,6,Neutral,0x1b7b9,15,Fragmentation ,0x1bcc5,15,Fragmentation ,0x1c170,15,Fragmentation ,0x1b789,15,Fragmentation ,1,Sec Cannon,200,2,80,6,Neutral,0x1b7c8,2,-,0x1bcd4,2,-,0x1c17f,2,-,0x1b798,2,-,2,Torpedo,250,2,60,6,Neutral,0x1b7ca,2,-,0x1bcd6,2,-,0x1c181,2,-,0x1b79a,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,3390,1700,0,100%,499,Speed Wax,-1,None,-1,None,-1,None,-1,None
