[Event Name],Task ID
Ms034c000,"\h(«Vyse»)The Delphinus may be nice and all, but I really
miss a good sailboat…\c"
Ms034c001,"\h(«Vyse»)I miss sailing in a sailboat…
But hey! What am I doing?! This is no time to
sit here and look at paintings!\c"
Ms034c002,"\h(«Vyse»)It looks like a picture of a bunch of merchant
ships lined up in a harbor. This was probably
painted by someone who really likes ships…\c"
Ms034c003,"\h(«Vyse»)This really is a nice picture…
But, I don't have time to sit here and admire
paintings! I've got to get going!\c"
Ms034c004,"\h(«Vyse»)Today's specials… Let me see…
Mid Ocean style sauteed fish…
And “The Spice of the Sky.”\c"
Ms034c005,"\h(«Vyse»)Today's specials… Let me see…
Yafutoman style simmered Kabal steak…
And Marocca marinade…\c"
Ms034c006,"\h(«Vyse»)Today's meals were prepared by… Aika?
Great… that just means dry cereal and pickled
vegetables…\c"
Ms034c007,"\h(«Vyse»)Today's dinner is…
Wait a second… I don't have time to be thinking
about food right now!\c"
Ms034c008,"\h(«Vyse»)Wow… There are all kinds of expensive goods
scattered across the table. Where does Osman
find all this stuff?\c"
Ms034c009,"\h(«Vyse»)Everything's a mess! I better hurry up and
fix the ship!\c"
M00040000,\h(«Pow»)Pow pow! Pow pow!\c
M01000002,"\h(«Polly»)I've been hearing that Esparanza is populated by
Ex-Valuan soldiers and sailors who lost their
ships in the Dark Rift.\e"
M01000003,\h(«Polly»)Maybe my husband is there.\c
M01000004,"\h(«Polly»)I was hoping that my husband would be in 
Esparanza, but nobody there has heard of him.\e"
M01000005,"\h(«Polly»)I really hope he wasn't killed when he tried to 
make it through the Dark Rift.\c"
M01000006,"\h(«Polly»)I can't believe that we found Robinson. 
It's a miracle that he's still alive!\e"
M01000007,\h(«Polly»)Vyse… Thank you… I'm so happy I went with you.\c
M01000008,"\h(«Polly»)So, we made it through the Dark Rift…\e"
M01000009,"\h(«Polly»)I was really hoping that my husband was still 
alive… but after seeing all those shipwrecks… 
I just don't know.\c"
M01000010,\h(«Polly»)What's going on out there?\c
M01000011,"\h(«Polly»)So, we're going back to Crescent Island? I'm 
sure my husband will feel a lot better once I 
start cooking for him again.\c"
M01000012,"\h(«Polly»)We made it through the Dark Rift, but there were
no signs of my husband. There were so many
shipwrecks in there…\c"
M01000013,"\h(«Polly»)We're going to the Land of Ice, right? I'll 
start making some really hot soup for the 
crew.\c"
M01000014,"\h(«Polly»)I have this feeling that my husband is still 
alive… somewhere… I know that he wouldn't be 
in the Land of Ice.\c"
M01000015,"\h(«Polly»)We're going into Deep Sky, right? I hope the 
ship holds up under the pressure.\c"
M01000016,"\h(«Polly»)So, we're going underneath Valua? 
I never thought I'd ever go there.\c"
M01000017,"\h(«Polly»)Fina is trying to act like nothing is bothering
her, but I can tell it's just an act. Deep down
inside, she's really upset.\e"
M01000018,"\h(«Polly»)She didn't eat much to begin with, but now she 
barely even touches her food.\c"
M01000019,"\h(«Polly»)We've been all over the world, and I still 
haven't found my husband. I can't give up hope. 
I know he's out there… somewhere.\c"
M01000020,"\h(«Polly»)Enrique is really upset. I know he used to get
airsick all the time, but even when he got sick,
he still ate more than he does now.\e"
M01000021,"\h(«Polly»)I think he was hit very hard, emotionally.\c"
M01000022,"\h(«Polly»)We've been all over the world, and I still don't
know where my husband is. I have this feeling
that he's still alive… but where?\e"
M01000023,"\h(«Polly»)I've heard that Enrique will be leaving us 
soon…\e"
M01000024,"\h(«Polly»)I'll cook all of his favorite dishes until 
then.\c"
M01000025,"\h(«Polly»)An ancient continent rose from Deep Sky… in Mid
Ocean… I saw it happen, but I still don't
believe it.\c"
M01000026,"\h(«Polly»)I'll cook anything you want, when you come back.
Good luck, Vyse!\c"
M01000027,\h(«Polly»)What? Drachma was in the Land of Ice?\e
M01000028,"\h(«Polly»)Maybe if he dedicated his life to something 
other than destroying Rhaknam, he might find 
happiness.\c"
M04090000,"\h(«Kalifa»)A familiar island will look pleasantly 
unfamiliar.\e"
M04090001,\h(«Kalifa»)The Red Moon has spoken. Heed its words.\c
M04090002,"\h(«Kalifa»)A town that is deep inside the ice… there, arch
enemies will meet, and one will die.\e"
M04090003,\h(«Kalifa»)The Red Moon has spoken. Heed its words.\c
M04090004,"\h(«Kalifa»)Rest while you can, Vyse. There is much turmoil 
ahead.\e"
M04090005,\h(«Kalifa»)The Red Moon has spoken. Heed its words.\c
M04090006,"\h(«Kalifa»)A sleeping giant in a deep cavern… 
Does not always sleep deeply.\e"
M04090007,\h(«Kalifa»)The Red Moon has spoken. Heed its words.\c
M04090008,"\h(«Kalifa»)You will be reunited with an old friend, when 
this journey comes to an end.\e"
M04090009,\h(«Kalifa»)The Red Moon has spoken. Heed its words.\c
M04090010,"\h(«Kalifa»)A powerful enemy will confront you, and your 
crew will be faced with a difficult decision.\e"
M04090011,\h(«Kalifa»)The Red Moon has spoken. Heed its words.\c
M04090012,"\h(«Kalifa»)In the land, without light, evil eyes await your
arrival. Be careful, Vyse.\e"
M04090013,\h(«Kalifa»)The Red Moon has spoken. Heed its words.\c
M04090014,"\h(«Kalifa»)At the crossroad, connecting two lands, a shadow
is cast on your path.\e"
M04090015,\h(«Kalifa»)The Red Moon has spoken. Heed its words.\c
M04090016,"\h(«Kalifa»)The evil… will reach down into the darkness,
and bring light. The light will bring death.
Beware, Vyse.\e"
M04090017,\h(«Kalifa»)The Red Moon has spoken. Heed its words.\c
M04090018,"\h(«Kalifa»)The land that emerged from the darkness… will 
unleash a deadly light, but silver will be its 
downfall.\e"
M04090019,\h(«Kalifa»)The Red Moon has spoken. Heed its words.\c
M04090020,"\h(«Kalifa»)Kalifa, the third daughter of the Red Moon, will
pray with all her strength for your victory.\e"
M04090021,\h(«Kalifa»)mmmmmm……\e
M04090022,\h(«Kalifa»)Haaa!\c
M05030000,"\h(«Merida»)This stage is a little bit scary, because 
it's so small. Whenever the ship rocks, 
I feel like I'm going to fall off.\c"
M05030001,"\h(«Merida»)What's the matter? Is something wrong? You won
the battle, right? Or is there something else?\c"
M05030002,"\h(«Merida»)Enrique is going back to Valua? Valua is not a
pleasant place. If I was him, I would never go
back…\c"
M05030003,"\h(«Merida»)Ever since that continent resurfaced, there's 
been something in the air… something bad… 
something really bad.\c"
M05030004,"\h(«Merida»)I felt the pain of hundreds, and heard the cries
of one.\e"
M05030005,"\h(«Merida»)I will dance for you! My dance will bring you 
luck in your fight with the evil ones.\c"
M06310003,"\h(«Osman»)Isn't Esparanza that town that's full of poor
people on the southern tip of Nasr? I think I'll
stay on the ship.\c"
M06310004,"\h(«Osman»)If this was my ship, I'd never take it into the
Dark Rift. All the damage done by those winds
could really decrease the resale value.\c"
M06310005,"\h(«Osman»)So, this is the East. Hmm… Everything looks so
exotic. You can't get anything like this in the
West.\e"
M06310006,"\h(«Osman»)So that means that if I buy anything here, 
I'll be able to sell it back home for three 
times as much gold.\c"
M06310007,"\h(«Osman»)We're being raided by pirates?! Don't let them 
take my gold!!! And stop wasting time talking 
with me, go fight them!\c"
M06310008,"\h(«Osman»)As soon as we get back to Crescent Isle, I'm
going to start my own business. I'll be rich!!!\c"
M06310009,"\h(«Osman»)In Nasr, ice is a luxury only the Nasultan can 
afford.\e"
M06310010,"\h(«Osman»)If there truly is an entire continent covered in
ice, think about how much we can make if we can
haul chunks of it to Nasr!\c"
M06310011,"\h(«Osman»)The Valuans destroyed my shop in Nasr. Just
hearing the name Valua makes me mad. Let's leave
here as soon as possible.\c"
M06310012,"\h(«Osman»)So, now we have all the Moon Crystals? 
It's time to celebrate!\e"
