Entry ID,EU SOT Pos,[Entry GB Name],PC Flags,[V],[A],[F],[D],[E],[G],Sell%,EU Order 1,EU Order 2,Buy,Trait 1 ID,[Trait 1 Name],Pad 1,Trait 1 Value,Trait 2 ID,[Trait 2 Name],Pad 2,Trait 2 Value,Trait 3 ID,[Trait 3 Name],Pad 3,Trait 3 Value,Trait 4 ID,[Trait 4 Name],Pad 4,Trait 4 Value,Pad 5,Pad 6,[GB Descr Str]
160,0x8c346f68,Gemstone Ring,0b00111010,X,X,X,"",X,"",50,1,23,150,18,MagDef,0,21,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"A finely crafted ring engraved with runes,
that protect the wearer against magic."
161,0x8c346f78,Prophet's Sand,0b00111010,X,X,X,"",X,"",50,3,39,890,18,MagDef,0,63,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"A ring created from enchanted sand found around
Moon Stones. Protects the wearer against Magic."
162,0x8c346f88,Meditation Ring,0b00111010,X,X,X,"",X,"",50,0,33,100,1,Will,0,8,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"A ring crafted from weaving the sprigs of magic
trees. Increases the wearer's Will."
163,0x8c346f98,Moondust Ring,0b00111010,X,X,X,"",X,"",50,4,35,1530,1,Will,0,48,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"A ring decorated with tiny shards of Moon
Stones. Increases Will."
164,0x8c346fa8,Lover's Ring,0b00111010,X,X,X,"",X,"",50,2,30,300,18,MagDef,0,12,1,Will,0,12,-1,None,0,0,-1,None,0,0,0,0,"A finely crafted ring that depicts two lovers
embracing. Increases Magic Defense and Will."
165,0x8c346fb8,Jade Swirl Ring,0b00111010,X,X,X,"",X,"",50,5,29,2960,18,MagDef,0,45,1,Will,0,45,-1,None,0,0,-1,None,0,0,0,0,"A ring decorated with two drops of liquid jade.
Increases Magic Defense and Will."
166,0x8c346fc8,Cupil Ring,0b00001000,"","",X,"","","",100,6,14,10000,49,Unconscious,0,-5,37,Silver,0,-5,18,MagDef,0,100,1,Will,0,100,0,0,"A ring that looks like Cupil. Boosts Spirit and
Resistance to Silver Attacks, and Eterni Magic."
167,0x8c346fd4,Warrior's Heart,0b00111010,X,X,X,"",X,"",100,7,59,10,77,Recover SP,0,2,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"A ring with a glowing gem, that allows the user
to recover Spirit during battle."
168,0x8c346fe4,Throkryn's Scale,0b00110101,X,X,"",X,"",X,50,8,55,300,16,Attack,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"A weapon modification made from a Throkryn.
Raises Attack Power."
169,0x8c346ff8,Thryllak's Scale,0b00110101,X,X,"",X,"",X,50,9,56,2300,16,Attack,0,36,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"A scale of a Thryllak, an animal even deadlier
than the Throkryn. Raises Attack Power."
