Entry ID,EU SOT Pos,[Entry GB Name],Element ID,[Element Name],Pad 1,Order,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Speed,Effect SP,Pad 2,Pad 3,Effect Base,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad 4,Pad 5,Pad 6,Ship Occ ID,[Ship Occ Name],Pad 7,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Ship Eff Base,Unk,Pad 8,Pad 9,Pad 10,[GB Descr Str],[Ship GB Descr Str]
0,0x8c346538,Increm,1,Red,0,120,0b0011,"",X,X,21,Incr Attack & Defense,1,Single PC,6,Magic,0,4,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,105,Incr Attack + Defense,4,2,0,-1,0,0,0,"Increases both Attack Power and Defense of
target by 25%.                             SP 4","Increases your ship's Attack power
and Defense power by 25% for 2 turns.       4 SP"
1,0x8c346540,Incremus,1,Red,0,121,0b0011,"",X,X,21,Incr Attack & Defense,2,All PCs,6,Magic,0,16,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,105,Incr Attack + Defense,16,4,0,-1,0,0,0,"Increases both Attack Power and Defense of the
entire party by 25%.                       SP 16","Increases your ship's Attack power
and Defense power by 25% for 4 turns.      16 SP"
2,0x8c34654c,Sylenis,2,Purple,0,20,0b0011,"",X,X,12,Silence,3,Single EC,6,Magic,0,2,0,0,0,0,Physical,5,Silence,40,0,0,0,0,Magic Cannon,0,116,Silence by 100%,2,2,0,-1,0,0,0,"Prevents target from casting any spells by
Silencing them.                            SP 2","Prevents enemy ships from casting spells.
Special equipment is needed to cast.        2 SP"
3,0x8c346554,Panika,2,Purple,0,130,0b0010,"",X,"",11,Confusion,3,Single EC,6,Magic,0,3,0,0,0,0,Physical,4,Confusion,40,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,"Confuses one target into attacking nearest
target.                                    SP 3","Cannot be used.
------"
4,0x8c34655c,Driln,4,Yellow,0,140,0b0011,"",X,X,26,Decr All Attr,3,Single EC,6,Magic,0,3,0,0,0,0,Physical,8,Weak,40,0,0,0,0,Magic Cannon,0,106,Weak by 100%,3,2,0,-1,0,0,0,"Weakens one enemy target. Lowers all attributes
by 25%.                                    SP 3","Lowers enemy ship's attributes for 2 turns.
Special equipment is needed to cast.        3 SP"
5,0x8c346564,Drilnos,4,Yellow,0,141,0b0011,"",X,X,26,Decr All Attr,4,All ECs,6,Magic,0,6,0,0,0,0,Physical,8,Weak,60,0,0,0,0,Magic Cannon,0,106,Weak by 100%,6,4,0,-1,0,0,0,"Weakens all enemies on screen. Lowers all
attributes by 25%.                         SP 6","Lowers enemy ship's attributes for 4 turns.
Special equipment is needed to cast.        6 SP"
6,0x8c34656c,Sacri,0,Green,0,40,0b0111,X,X,X,31,Recover HP,1,Single PC,6,Magic,0,2,0,0,500,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP,2,-1,400,-1,0,0,0,"Restores 500 HP to any one ally. Can also be
used outside of battle.                    SP 2","Repairs 4,000 HP worth of damage. Can be cast
outside of battle as well.                  2 SP"
7,0x8c346574,Sacres,0,Green,0,41,0b0111,X,X,X,31,Recover HP,1,Single PC,6,Magic,0,4,0,0,1000,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP,4,-1,800,-1,0,0,0,"Restores 1,000 HP to any one ally. Can also be
used outside of battle.                    SP 4","Repairs 8,000 HP worth of damage. Can be cast
outside of battle as well.                  4 SP"
8,0x8c34657c,Sacrum,0,Green,0,42,0b0110,X,X,"",31,Recover HP,2,All PCs,6,Magic,0,8,0,0,1000,0,Physical,0,Poison,0,0,0,0,-1,Never,0,-1,None,-1,-1,1000,-1,0,0,0,"Restores 1,000 HP to entire party. Can also be
used outside of battle.                    SP 8","Cannot be used.
------"
9,0x8c346584,Sacrulen,0,Green,0,43,0b0111,X,X,X,32,Recover HP of 100%,1,Single PC,6,Magic,0,6,0,0,10000,0,Physical,0,Poison,0,0,0,0,1,Always,0,101,Recover HP by 100%,6,-1,0,-1,0,0,0,"Completely restores HP of any one ally. Can also
be used outside of battle.                 SP 6","Repairs all damage on your ship. Can be cast
outside of battle as well.                  6 SP"
10,0x8c346590,Noxi,0,Green,0,50,0b0010,"",X,"",4,Poison + Damage,3,Single EC,6,Magic,0,3,0,0,60,1,Magical,0,Poison,40,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,"Damages and Poisons any one enemy. Best if used
at the beginning of long battles.          SP 3","Cannot be used.
------"
11,0x8c346598,Noxus,0,Green,0,51,0b0010,"",X,"",4,Poison + Damage,4,All ECs,6,Magic,0,6,0,0,100,1,Magical,0,Poison,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,"Damages and Poisons all enemies. Best if used
at the beginning of long battles.          SP 6","Cannot be used.
------"
12,0x8c3465a0,Slipara,3,Blue,0,110,0b0010,"",X,"",9,Sleep,4,All ECs,6,Magic,0,6,0,0,0,0,Physical,3,Sleep,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,"Has a chance to put all enemies on screen to
Sleep.                                     SP 6","Cannot be used.
------"
13,0x8c3465a8,Quika,3,Blue,0,70,0b0011,"",X,X,20,Incr Quick,2,All PCs,6,Magic,0,6,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,104,Incr Quick,6,1,0,-1,0,0,0,"Doubles the speed of all allies. Also, it makes
it easier to run from battles.             SP 6","Doubles ship speed.
Effect lasts for 2 rounds.                  6 SP"
