Entry ID,EU SOT Pos,[Entry GB Name],Pos ID,[Pos Name],Pad 1,Trait ID,[Trait Name],Pad 2,Trait Value,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Pad 3,Pad 4,Pad 5,Ship Eff Base,Unk,Pad 6,Pad 7,Pad 8,Pad 9,[GB Descr Str]
0,0x8c348420,Lawrence,0,Helmsman,0,4,Quick,0,30,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,"A mercenary-for-hire, he sails the skies for a
steep price. He will increase your ship's Quick."
1,0x8c34842c,Don,0,Helmsman,0,6,Dodge%,0,15,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,"Having Don in your active crew will increase
your ship's Dodge%."
2,0x8c348430,Brabham,1,Engineer,0,2,Defense,0,20,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,"Having Brabham in your active crew will increase
your ship's Defense."
3,0x8c348438,Hans,1,Engineer,0,3,MagDef,0,20,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,"Having Hans in your active crew will increase
your ship's Magic Defense."
4,0x8c348440,Belle,2,Gunner,0,64,Sec Cannon Atk,0,50,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,"Having Belle in your active crew will increase
the damage done by your Secondary Cannons."
5,0x8c348448,Khazim,2,Gunner,0,48,Main Cannon Atk,0,35,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,"Having Khazim in your active crew will increase
the damage done by your Main Cannons."
6,0x8c348450,Tikatika,3,Lookout,0,81,Torpedo Hit%,0,80,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,"Having Tikatika in your active crew increases
your torpedoes' Hit%."
7,0x8c34845c,Domingo,3,Lookout,0,-1,None,0,0,112,Incr Critical%,6,0,0,0,0,0,0,0,0,0,0,"Having Domingo in your active crew increases
your chances of delivering critical hits."
8,0x8c348464,Osman,4,Merchant,0,-1,None,0,0,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,"Having Osman in your active crew will increase
your chance of finding expensive items."
9,0x8c34846c,Kalifa,4,Merchant,0,-1,None,0,0,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,"Having Kalifa in your active crew will increase
your chance of finding special items."
10,0x8c348474,Izmael,5,Builder,0,96,Special Attack,0,100,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,"Having Izmael in your active crew will increase
the destructive power of your Moon Stone Cannon."
11,0x8c34847c,Kirala,5,Builder,0,-1,None,0,0,101,Recover HP by 100%,7,0,0,0,0,0,1,0,0,0,0,"Using the Crew Command, she will replenish your
ship's HP to full."
12,0x8c348484,Polly,6,Cook,0,-1,None,0,0,117,Recover MP,6,-1,0,0,0,10,130,0,0,0,0,"Using the Crew Command, she will replenish one
character's MP."
13,0x8c34848c,Urala,6,Cook,0,-1,None,0,0,103,Recover SP by 100%,15,-1,0,0,0,0,9,0,0,0,0,"Using the Crew Command, she will max out
your Spirit Points."
14,0x8c348494,Ryu-kan,7,Artisan,0,-1,None,0,0,105,Incr Attack + Defense,15,4,0,0,0,0,0,0,0,0,0,"Using the Crew Command, he will raise your 
ship's Attack and Defense for a short time."
15,0x8c34849c,Ilchymis,7,Artisan,0,-1,None,0,0,108,Incr All Attr,8,8,0,0,0,50,0,0,0,0,0,"Using the Crew Command, he will raise your
ship's attributes for a short period of time."
16,0x8c3484a8,Marco,8,Sailor,0,-1,None,0,0,114,Recover SP by 200%,8,-1,0,0,0,0,0,0,0,0,0,"Using the Crew Command, he will double all of
your Spirit Points for one turn."
17,0x8c3484b0,Robinson,8,Sailor,0,-1,None,0,0,113,Consume SP by 50%,8,0,0,0,0,0,0,0,0,0,0,"Using the Crew Command, he will reduce the
Spirit Points cost for actions for a turn."
18,0x8c3484bc,Pow,9,Jester,0,-1,None,0,0,111,Incr First Strike%,4,0,0,0,0,0,0,0,0,0,0,"Using the Crew Command, he will raise your
chances of attacking first for a full turn."
19,0x8c3484c0,Merida,9,Jester,0,7,Value,0,10000,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,"Having Merida in your active crew will increase
your ship's value."
20,0x8c3484c8,Moegi,10,Delegate,0,-1,None,0,0,110,Block Magic,10,0,0,0,0,0,0,0,0,0,0,"Using the Crew Command, she will protect your
ship from enemy magic for a full turn."
21,0x8c3484d0,Pinta,10,Delegate,0,-1,None,0,0,109,Block Attack,10,0,0,0,0,0,0,0,0,0,0,"Using the Crew Command, he will protect your
ship from enemy cannon fire for a full turn."
