Entry ID,[Str Pos],[Str Size],[Str Enc],Str Value
0,0x30,17,Shift_JIS,Lib Handle Start
1,0x57cc,12,Shift_JIS,GINXFER.BIN
2,0x57d8,23,Shift_JIS,\MANIFEST\MANIFEST.BIN
3,0x57f0,14,Shift_JIS,\MANIFEST.BIN
4,0x5800,14,Shift_JIS,\1ST_READ.BIN
5,0x5cc8,14,Shift_JIS,\manifest.bin
6,0x5d08,13,Shift_JIS,\ginxfer.bin
7,0x5d88,14,Shift_JIS,\manifest.bin
8,0x5f88,10,Shift_JIS,\manifest
9,0x7de8,5,Shift_JIS,SEGA
10,0x33236c,46,Shift_JIS,"
syStart Ver 1.17 Build:Dec 01 1999 12:17:57
"
11,0x33239c,3,Shift_JIS,rb
12,0x3323b4,28,Shift_JIS,CHUNK POF IS HEAP AREA OVER
13,0x3323d0,24,Shift_JIS,Sound Driver Read Error
14,0x3323e8,21,Shift_JIS,Sound Lib Init Error
15,0x332400,29,Shift_JIS,Sound Mem Block Create Error
16,0x332420,28,Shift_JIS,Sound Mem Block Param Error
17,0x33243c,21,Shift_JIS,Sound Drv Init Error
18,0x332454,30,Shift_JIS,Sound Mem Block Destroy Error
19,0x332474,21,Shift_JIS,MIDI PORT OPEN ERROR
20,0x33248c,21,Shift_JIS,MIDI PORT STOP ERROR
21,0x3324a4,22,Shift_JIS,MIDI PORT RESET ERROR
22,0x3324bc,28,Shift_JIS,Sound sdSysSetSlotMax Error
23,0x3324d8,26,Shift_JIS,Sound MLT Down Load Error
24,0x3324f4,5,Shift_JIS,SMSB
25,0x3324fc,5,Shift_JIS,SMPB
26,0x332504,23,Shift_JIS,MLT File Is Illegal %s
27,0x33251c,32,Shift_JIS,Sound Bank Data Down Load Error
28,0x33253c,19,Shift_JIS,Sound Fx Set Error
29,0x332550,24,Shift_JIS,MIDI RELEASE MODE ERROR
30,0x332568,23,Shift_JIS,Sound SHOT Close Error
31,0x332580,22,Shift_JIS,Sound PCM Close Error
32,0x332598,13,Shift_JIS,Bank 0 Error
33,0x3325a8,23,Shift_JIS,Sound Get Status Error
34,0x3325c0,22,Shift_JIS,PCM Handle Null Error
35,0x3325d8,27,Shift_JIS,Sound Midi Reset Prm Error
36,0x3325f4,27,Shift_JIS,Sound Shot Reset Prm Error
37,0x332610,26,Shift_JIS,Sound PCM Reset Prm Error
38,0x33262c,17,Shift_JIS,Sound Play Error
39,0x332640,11,Shift_JIS,Bank Error
40,0x33264c,26,Shift_JIS,Sound PCM Down Load Error
41,0x332668,19,Shift_JIS,PCM HANDLE Error 0
42,0x33267c,23,Shift_JIS,Sound Pcm Status Error
43,0x332694,21,Shift_JIS,Sound Pcm Play Error
44,0x3326ac,23,Shift_JIS,Sound MIDI Pause Error
45,0x3326c4,22,Shift_JIS,Sound MIDI Fade Error
46,0x3326dc,22,Shift_JIS,Sound SHOT Fade Error
47,0x3326f4,26,Shift_JIS,Sound PCM Fade Error Left
48,0x332710,27,Shift_JIS,Sound PCM Fade Error Right
49,0x33272c,8,Shift_JIS,\sound\
50,0x332734,25,Shift_JIS,MLT FAST HANDLE IS EMPTY
51,0x332750,22,Shift_JIS,MLT FAST HANDLE ERROR
