[Event Name],Task ID
MA0090000,"\h(«Vyse»)Hey Fina.
How are you feeling?\e"
MA0090001,"\h(«Fina»)I'm feeling much better.
Thank you for your concern.\e"
MA0090002,"\h(«Vyse»)Heh… no problem. I'm just happy
to see that you're well.
Looks like we'll be reaching the island soon.\e"
MA0090003,\h(«Fina»)… Island?\e
MA0090004,"\h(«Vyse»)You can see it right over there.
That's our base… Pirate Isle.\e"
MA0090005,\h(«Fina»)Pirate Isle…\e
MSA0090000,"\h(«Vyse»)Eh, Fina.
¿Qué tal te encuentras?\e"
MSA0090001,"\h(«Fina»)Me encuentro mucho mejor.
Gracias por tu interés.\e"
MSA0090002,"\h(«Vyse»)Eh…… no es nada. Me alegro de que estés bien.
Parece que pronto llegaremos a la isla.\e"
MSA0090003,\h(«Fina»)¿Isla……?\e
MSA0090004,"\h(«Vyse»)Ya se puede ver.
Ésa es nuestra base…… La Isla del Pirata.\e"
MSA0090005,\h(«Fina»)La Isla del Pirata……\e
MFA0090000,"\h(«Vyse»)Bonjour Fina.
Comment vous sentez-vous ?\e"
MFA0090001,"\h(«Fina»)Je me sens beaucoup mieux.
Merci de vous inquiéter pour moi.\e"
MFA0090002,"\h(«Vyse»)Hé…… Pas de problème. Je suis content de voir
que vous allez bien. Apparemment, nous allons
bientôt atteindre l'île.\e"
MFA0090003,\h(«Fina»)…… L'île ?\e
MFA0090004,"\h(«Vyse»)Vous pouvez la voir juste là-bas.
C'est notre base…… l'Île des Pirates.\e"
MFA0090005,\h(«Fina»)L'Île des Pirates……\e
MGA0090000,"\h(«Vyse»)Hallo, Fina.
Wie fühlst du dich?\e"
MGA0090001,"\h(«Fina»)Ich fühl' mich viel besser.
Danke der Nachfrage.\e"
MGA0090002,"\h(«Vyse»)He……  kein Problem. Ich freu' mich einfach,
dass es dir gut geht. Sieht so aus, als würden
wir bald bei der Insel sein.\e"
MGA0090003,\h(«Fina»)…… Insel?\e
MGA0090004,"\h(«Vyse»)Da drüben siehst du sie.
Das ist unser Hauptquartier……  Pirate Isle.\e"
MGA0090005,\h(«Fina»)Pirate Isle…… \e
MA0130000,"\h(«Aika»)Vyse!
Vy~se!\e"
MA0130001,"\h(«Aika»)Good morning!
We're going to Shrine Island today, right?\e"
MA0130002,\h(«Vyse»)Yeah… I'll be right down. Give me a second.\e
MA0130003,"\h(«Aika»)Good morning, Fina!
Did you sleep well?\e"
MA0130004,\h(«Fina»)Yes. Thank you.\e
MA0130005,"\h(«Vyse»)Fina, we'll be heading over to Shrine Island in 
a few minutes to get that Moon Stone. You can 
stay here and relax at my place if you want.\e"
MA0130007,\h(«Fina»)That's fine. Thank you.\e
MA0130008,"\h(«Aika»)Alright Vyse, let's get going.
The boat is on the upper dock, 
and it's ready to go!\e"
MSA0130000,"\h(«Aika»)¡Vyse!
¡Vyse!\e"
MSA0130001,"\h(«Aika»)¡Buenos días!
Hoy vamos a la Isla del Templo, ¿no?\e"
MSA0130002,\h(«Vyse»)Sí…… Ahora bajo. Espera un minuto.\e
MSA0130003,"\h(«Aika»)¡Buenos días, Fina!
¿Has dormido bien?\e"
MSA0130004,\h(«Fina»)Sí. Gracias.\e
MSA0130005,"\h(«Vyse»)Fina, en unos minutos iremos a la Isla del
Templo para coger la Piedra Lunar. Si quieres
puedes quedarte en mi casa y descansar.\e"
MSA0130007,\h(«Fina»)Muy bien. Muchas gracias.\e
MSA0130008,"\h(«Aika»)Está bien, Vyse. Pongámonos en marcha.
¡El bote está en la cubierta superior, listo
para partir!\e"
MFA0130000,"\h(«Aika»)Vyse !
Vy~se !\e"
MFA0130001,"\h(«Aika»)Bonjour ! Nous allons sur l'Île du Temple
aujourd'hui, n'est-ce pas ?\e"
MFA0130002,\h(«Vyse»)Oui…… Je descends dans une seconde.\e
MFA0130003,"\h(«Aika»)Bonjour, Fina !
Vous avez bien dormi ?\e"
MFA0130004,\h(«Fina»)Oui. Merci.\e
MFA0130005,"\h(«Vyse»)Fina, nous partons bientôt pour l'Île du Temple
pour récupérer cette Pierre de Lune. Vous pouvez
rester chez moi pour vous détendre si vous
voulez.\e"
MFA0130007,\h(«Fina»)Bien. Merci.\e
MFA0130008,"\h(«Aika»)OK. Vyse, allons-y.
Le bateau est arrimé au dock supérieur,
et il est prêt à partir !\e"
MGA0130000,"\h(«Aika»)Vyse!
Vy-se!\e"
MGA0130001,"\h(«Aika»)Guten Morgen!
Wir fahren heute nach Shrine Island, nicht?\e"
MGA0130002,\h(«Vyse»)Ja……  Ich komm' gleich runter. Eine Sekunde.\e
MGA0130003,"\h(«Aika»)Guten Morgen, Fina!
Hast du gut geschlafen?\e"
MGA0130004,\h(«Fina»)Ja. Danke.\e
MGA0130005,"\h(«Vyse»)Fina, wir fahren in ein paar Minuten rüber nach
Shrine Island, um den Moon Stone zu holen.
Du kannst hier bleiben und dich bei mir
ausruhen, wenn du willst.\e"
MGA0130007,\h(«Fina»)Einverstanden. Vielen Dank.\e
MGA0130008,"\h(«Aika»)Also, Vyse, lass uns gehen.
Das Boot liegt am oberen Anleger,
und es ist startklar!\e"
MA0150000,"\h(«Ben the Lookout»)Ahhh…
It looks like it's going to be another nice day
today. Not too windy…\e"
MA0150001,"\h(«Ben the Lookout»)Well, there's the bell…
Time to get to work…\e"
MA0150002,\h(«Ben the Lookout»)I gotta loosen up a little.\e
MA0150003,\h(«Ben the Lookout»)Huh?\e
