[Event Name],Task ID
MA0180000,"\h(«Lindsi»)Vy~se!
Ai~ka!
Good Luck!\e"
MA0180001,"\h(«Alan»)You'd better come back!
Promise me, okay?\e"
MA0180002,"\h(«Aika»)Of course! Don't worry…
We'll come back with everyone else, too!\e"
MA0180003,"\h(«Vyse»)Alright…
Aika, let's go.\e"
MA0180004,"\h(«Aika»)Aye aye.
Valua should be on a landmass due north from
here.\e"
MA0180005,"\h(«Vyse»)I'm setting the course!
Alright… Valua, here we come!\e"
MSA0180000,"\h(«Lindsi»)¡Vy~se!
¡Ai~ka!
¡Buena suerte!\e"
MSA0180001,"\h(«Alan»)¡Será mejor que volváis!
¿Lo prometéis?\e"
MSA0180002,"\h(«Aika»)¡Claro! No te preocupes……
¡Volveremos con todos los demás!\e"
MSA0180003,"\h(«Vyse»)Está bien……
Aika, vamos.\e"
MSA0180004,"\h(«Aika»)Venga, vale.
Valua debe estar en una franja de tierra en
dirección norte desde aquí.\e"
MSA0180005,"\h(«Vyse»)¡Estoy estableciendo el rumbo!
¡Valua……! ¡Vamos a por ti!\e"
MFA0180000,"\h(«Lindsi»)Vy~se !
Ai~ka !
Bonne chance !\e"
MFA0180001,"\h(«Alan»)Vous avez intérêt de revenir !
Promis ?\e"
MFA0180002,"\h(«Aika»)Bien sûr ! Ne vous inquiétez pas……
En plus, nous reviendrons avec tous les autres !\e"
MFA0180003,"\h(«Vyse»)OK……
Aika, allons-y.\e"
MFA0180004,"\h(«Aika»)À vos ordres.
Valua devrait être sur un continent au nord
d'ici.\e"
MFA0180005,"\h(«Vyse»)Je mets le cap !
…… Valua, nous voilà !\e"
MGA0180000,"\h(«Lindsi»)Vy~se!
Ai~ka!
Viel Glück!\e"
MGA0180001,"\h(«Alan»)Dass ihr auch ja zurückkommt!
Versprecht es mir, ja?\e"
MGA0180002,"\h(«Aika»)Natürlich! Mach dir keine Sorgen……
Wir kommen zusammen mit all den anderen zurück!\e"
MGA0180003,"\h(«Vyse»)Gut……
Aika, lass uns gehen.\e"
MGA0180004,"\h(«Aika»)Aye aye.
Valua sollte auf einer Landmasse direkt nördlich
von hier liegen.\e"
MGA0180005,"\h(«Vyse»)Ich gehe auf Kurs!
OK……   Valua, wir kommen!\e"
M00010000,"\h(«Jimmy»)Don't worry about us, Vyse! We'll take care
of everything while you're gone!\e"
M00010001,"\h(«Jimmy»)My injury? It's all better! My dad always told
me that anything that doesn't kill you will hurt
at first, but it will only make you stronger!\c"
