Entry ID,Entry Name,ENGLISH.SOT,FRENCH.SOT,GERMAN.SOT,SPANISH.SOT
0,sotBtlContinue,Would you like to try again?,Voulez-vous réessayer?,Möchtest Du es noch einmal probieren?,¿Quieres intentarlo de nuevo?
1,sotBtlContinue,I never give up!,Je n'abandonne jamais !,Ich geb' nie auf!,¡Nunca me rindo!
2,sotBtlContinue,I quit.,J'abandonne.,Ich hör' auf.,Me rindo.
0,EnspatkDataTable,Increm,Increm,Increm,Increm
1,EnspatkDataTable,Incremus,Incremus,Incremus,Incremus
2,EnspatkDataTable,Sylenis,Sylenis,Sylenis,Sylenis
3,EnspatkDataTable,Panika,Panika,Panika,Panika
4,EnspatkDataTable,Driln,Driln,Driln,Driln
5,EnspatkDataTable,Drilnos,Drilnos,Drilnos,Drilnos
6,EnspatkDataTable,Sacri,Sacri,Sacri,Sacri
7,EnspatkDataTable,Sacres,Sacres,Sacres,Sacres
8,EnspatkDataTable,Sacrum,Sacrum,Sacrum,Sacrum
9,EnspatkDataTable,Sacrulen,Sacrulen,Sacrulen,Sacrulen
10,EnspatkDataTable,Noxi,Noxi,Noxi,Noxi
11,EnspatkDataTable,Noxus,Noxus,Noxus,Noxus
12,EnspatkDataTable,Slipara,Slipara,Slipara,Slipara
13,EnspatkDataTable,Quika,Quika,Quika,Quika
14,EnspatkDataTable,Curia,Curia,Curia,Curia
15,EnspatkDataTable,Risan,Risan,Risan,Risan
16,EnspatkDataTable,Riselem,Riselem,Riselem,Riselem
17,EnspatkDataTable,Eterni,Eterni,Eterni,Eterni
18,EnspatkDataTable,Eternes,Eternes,Eternes,Eternes
19,EnspatkDataTable,Eternum,Eternum,Eternum,Eternum
20,EnspatkDataTable,Wevli,Wevli,Wevli,Wevli
21,EnspatkDataTable,Wevles,Wevles,Wevles,Wevles
22,EnspatkDataTable,Wevlen,Wevlen,Wevlen,Wevlen
23,EnspatkDataTable,Pyri,Pyri,Pyri,Pyri
24,EnspatkDataTable,Pyres,Pyres,Pyres,Pyres
25,EnspatkDataTable,Pyrum,Pyrum,Pyrum,Pyrum
26,EnspatkDataTable,Crystali,Crystali,Crystali,Crystali
27,EnspatkDataTable,Crystales,Crystales,Crystales,Crystales
