Entry ID,[Str Pos],[Str Size],[Str Enc],Str Value
0,0x30,17,Shift_JIS,Lib Handle Start
1,0x577c,44,Shift_JIS,"
ntInf Ver 2.00 Build:Mar 31 1999 14:13:50
"
2,0x5d88,5,Shift_JIS,SEGA
3,0x330300,46,Shift_JIS,"
syStart Ver 1.17 Build:Dec 01 1999 12:17:57
"
4,0x330330,3,Shift_JIS,rb
5,0x330348,28,Shift_JIS,CHUNK POF IS HEAP AREA OVER
6,0x330364,24,Shift_JIS,Sound Driver Read Error
7,0x33037c,21,Shift_JIS,Sound Lib Init Error
8,0x330394,29,Shift_JIS,Sound Mem Block Create Error
9,0x3303b4,28,Shift_JIS,Sound Mem Block Param Error
10,0x3303d0,21,Shift_JIS,Sound Drv Init Error
11,0x3303e8,30,Shift_JIS,Sound Mem Block Destroy Error
12,0x330408,21,Shift_JIS,MIDI PORT OPEN ERROR
13,0x330420,21,Shift_JIS,MIDI PORT STOP ERROR
14,0x330438,22,Shift_JIS,MIDI PORT RESET ERROR
15,0x330450,28,Shift_JIS,Sound sdSysSetSlotMax Error
16,0x33046c,26,Shift_JIS,Sound MLT Down Load Error
17,0x330488,5,Shift_JIS,SMSB
18,0x330490,5,Shift_JIS,SMPB
19,0x330498,23,Shift_JIS,MLT File Is Illegal %s
20,0x3304b0,32,Shift_JIS,Sound Bank Data Down Load Error
21,0x3304d0,19,Shift_JIS,Sound Fx Set Error
22,0x3304e4,24,Shift_JIS,MIDI RELEASE MODE ERROR
23,0x3304fc,23,Shift_JIS,Sound SHOT Close Error
24,0x330514,22,Shift_JIS,Sound PCM Close Error
25,0x33052c,13,Shift_JIS,Bank 0 Error
26,0x33053c,23,Shift_JIS,Sound Get Status Error
27,0x330554,22,Shift_JIS,PCM Handle Null Error
28,0x33056c,27,Shift_JIS,Sound Midi Reset Prm Error
29,0x330588,27,Shift_JIS,Sound Shot Reset Prm Error
30,0x3305a4,26,Shift_JIS,Sound PCM Reset Prm Error
31,0x3305c0,17,Shift_JIS,Sound Play Error
32,0x3305d4,11,Shift_JIS,Bank Error
33,0x3305e0,26,Shift_JIS,Sound PCM Down Load Error
34,0x3305fc,19,Shift_JIS,PCM HANDLE Error 0
35,0x330610,23,Shift_JIS,Sound Pcm Status Error
36,0x330628,21,Shift_JIS,Sound Pcm Play Error
37,0x330640,23,Shift_JIS,Sound MIDI Pause Error
38,0x330658,22,Shift_JIS,Sound MIDI Fade Error
39,0x330670,22,Shift_JIS,Sound SHOT Fade Error
40,0x330688,26,Shift_JIS,Sound PCM Fade Error Left
41,0x3306a4,27,Shift_JIS,Sound PCM Fade Error Right
42,0x3306c0,8,Shift_JIS,\sound\
43,0x3306c8,25,Shift_JIS,MLT FAST HANDLE IS EMPTY
44,0x3306e4,22,Shift_JIS,MLT FAST HANDLE ERROR
45,0x3306fc,3,Shift_JIS,%s
46,0x330700,5,Shift_JIS,GAME
47,0x330709,7,Shift_JIS,CAMERA
48,0x330712,8,Shift_JIS,LIGHT 0
49,0x33071b,8,Shift_JIS,LIGHT 1
50,0x330724,8,Shift_JIS,LIGHT 2
51,0x33072d,9,Shift_JIS,MURABITO
52,0x330738,15,Shift_JIS,DEBUG MODE   -
53,0x330748,15,Shift_JIS,Calc Vertex  -
54,0x330758,15,Shift_JIS,Calc Polygon -
55,0x330768,15,Shift_JIS,Draw Polygon -
56,0x330778,15,Shift_JIS,FPS          -
57,0x330788,15,Shift_JIS,TEXTURE      -
58,0x330798,15,Shift_JIS,VIEW POS     -
59,0x3307a8,15,Shift_JIS,PURSUIT POS  -
60,0x3307b8,15,Shift_JIS,VIEW ANG     -
61,0x3307c8,15,Shift_JIS,PURSUIT ANG  -
62,0x3307d8,15,Shift_JIS,DISTANCE     -
63,0x3307e8,15,Shift_JIS,PERS         -
64,0x3307f8,15,Shift_JIS,LIGHT NUM    -
65,0x330808,15,Shift_JIS,LIGHT POS    -
66,0x330818,15,Shift_JIS,LIGHT VECTOR -
67,0x330828,15,Shift_JIS,AMBIENT      -
68,0x330838,15,Shift_JIS,DEFFUSE      -
69,0x330848,15,Shift_JIS,SPECULAR     -
70,0x330858,19,Shift_JIS,UP    - PLAYER Z +
71,0x33086c,19,Shift_JIS,DOWN  - PLAYER Z -
72,0x330880,19,Shift_JIS,LEFT  - PLAYER X +
73,0x330894,19,Shift_JIS,RIGHT - PLAYER X -
74,0x3308a8,27,Shift_JIS,L BTN - VIEW 45 LEFT  TURN
75,0x3308c4,27,Shift_JIS,R BTN - VIEW 45 RIGHT TURN
76,0x3308e0,25,Shift_JIS,X BTN - VIEW MODE CHANGE
77,0x3308fc,30,Shift_JIS,Y BTN - DEBUG INDICATE SWITCH
78,0x33091c,26,Shift_JIS,Z BTN - DEBUG MODE CHANGE
79,0x330938,23,Shift_JIS,START - DUNGEON CHANGE
80,0x330950,23,Shift_JIS,UP    - PLAYER ADVANCE
81,0x330968,25,Shift_JIS,LEFT  - PLAYER TURN LEFT
82,0x330984,26,Shift_JIS,RIGHT - PLAYER TURN RIGHT
83,0x3309a0,25,Shift_JIS,L BTN - VIEW MODE CHANGE
84,0x3309bc,17,Shift_JIS,UP    - X ROLL -
85,0x3309d0,17,Shift_JIS,DOWN  - X ROLL +
86,0x3309e4,17,Shift_JIS,LEFT  - Y ROLL -
87,0x3309f8,17,Shift_JIS,RIGHT - Y ROLL +
88,0x330a0c,17,Shift_JIS,L BTN - PERS FAR
