Entry ID,EU Message ID,[Entry DE Name Pos],[Entry DE Name Size],Entry DE Name,[Entry ES Name Pos],[Entry ES Name Size],Entry ES Name,[Entry FR Name Pos],[Entry FR Name Size],Entry FR Name,[Entry GB Name Pos],[Entry GB Name Size],Entry GB Name,Category ID,[Category Name],Effect ID,[Effect Name],Scope ID,[Scope Name],Pad 1,Effect Param ID,Effect Param Name,Effect Base,Element ID,[Element Name],Type ID,[Type Name],State Inflict ID,State Inflict Name,State Resist ID,State Resist Name,State ID,[State Name],State Miss%,Pad 2,Pad 3
0,0x8c356814,0x12b6,7,Increm,0x12a9,7,Increm,0x12ac,7,Increm,0x12a6,7,Increm,1,Magic,21,Incr Attack & Defense,3,Single EC,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
1,0x8c35681c,0x12bd,9,Incremus,0x12b0,9,Incremus,0x12b3,9,Incremus,0x12ad,9,Incremus,1,Magic,21,Incr Attack & Defense,4,All ECs,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
2,0x8c356828,0x12c6,8,Sylenis,0x12b9,8,Sylenis,0x12bc,8,Sylenis,0x12b6,8,Sylenis,1,Magic,12,Silence,1,Single PC,0,0,Power,0,0,Green,0,Physical,1,Will,1,Will,5,Silence,40,0,0
3,0x8c356830,0x12ce,7,Panika,0x12c1,7,Panika,0x12c4,7,Panika,0x12be,7,Panika,1,Magic,11,Confusion,1,Single PC,0,0,Power,0,0,Green,0,Physical,1,Will,1,Will,4,Confusion,40,0,0
4,0x8c356838,0x12d5,6,Driln,0x12c8,6,Driln,0x12cb,6,Driln,0x12c5,6,Driln,1,Magic,26,Decr All Attr,1,Single PC,0,0,Power,0,0,Green,0,Physical,1,Will,1,Will,8,Weak,40,0,0
5,0x8c356840,0x12db,8,Drilnos,0x12ce,8,Drilnos,0x12d1,8,Drilnos,0x12cb,8,Drilnos,1,Magic,26,Decr All Attr,2,All PCs,0,0,Power,0,0,Green,0,Physical,1,Will,1,Will,8,Weak,60,0,0
6,0x8c356848,0x12e3,6,Sacri,0x12d6,6,Sacri,0x12d9,6,Sacri,0x12d3,6,Sacri,1,Magic,31,Recover HP,3,Single EC,0,500,HP,68,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
7,0x8c356850,0x12e9,7,Sacres,0x12dc,7,Sacres,0x12df,7,Sacres,0x12d9,7,Sacres,1,Magic,31,Recover HP,3,Single EC,0,1000,HP,68,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
8,0x8c356858,0x12f0,7,Sacrum,0x12e3,7,Sacrum,0x12e6,7,Sacrum,0x12e0,7,Sacrum,1,Magic,31,Recover HP,4,All ECs,0,1000,HP,68,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
9,0x8c356860,0x12f7,9,Sacrulen,0x12ea,9,Sacrulen,0x12ed,9,Sacrulen,0x12e7,9,Sacrulen,1,Magic,32,Recover HP of 100%,3,Single EC,0,10000,HP,68,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
10,0x8c35686c,0x1300,5,Noxi,0x12f3,5,Noxi,0x12f6,5,Noxi,0x12f0,5,Noxi,1,Magic,4,Poison + Damage,1,Single PC,0,1,Will,60,0,Green,1,Magical,1,Will,1,Will,0,Poison,40,0,0
11,0x8c356874,0x1305,6,Noxus,0x12f8,6,Noxus,0x12fb,6,Noxus,0x12f5,6,Noxus,1,Magic,4,Poison + Damage,2,All PCs,0,1,Will,100,0,Green,1,Magical,1,Will,1,Will,0,Poison,60,0,0
12,0x8c35687c,0x130b,8,Slipara,0x12fe,8,Slipara,0x1301,8,Slipara,0x12fb,8,Slipara,1,Magic,9,Sleep,2,All PCs,0,0,Power,0,0,Green,0,Physical,1,Will,1,Will,3,Sleep,60,0,0
13,0x8c356884,0x1313,6,Quika,0x1306,6,Quika,0x1309,6,Quika,0x1303,6,Quika,1,Magic,20,Incr Quick,4,All ECs,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
14,0x8c35688c,0x1319,6,Curia,0x130c,6,Curia,0x130f,6,Curia,0x1309,6,Curia,1,Magic,30,Rem Neg States B,3,Single EC,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
15,0x8c356894,0x131f,6,Risan,0x1312,6,Risan,0x1315,6,Risan,0x130f,6,Risan,1,Magic,27,Revive With HP of 50%,3,Single EC,0,0,Power,0,0,Green,0,Physical,55,Revival,55,Revival,7,Revival,50,0,0
16,0x8c35689c,0x1325,8,Riselem,0x1318,8,Riselem,0x131b,8,Riselem,0x1315,8,Riselem,1,Magic,28,Revive With HP of 100%,3,Single EC,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
17,0x8c3568a4,0x132d,7,Eterni,0x1320,7,Eterni,0x1323,7,Eterni,0x131d,7,Eterni,1,Magic,5,Unconscious,1,Single PC,0,0,Power,0,0,Green,0,Physical,1,Will,1,Will,1,Unconscious,60,0,0
18,0x8c3568ac,0x1334,8,Eternes,0x1327,8,Eternes,0x132a,8,Eternes,0x1324,8,Eternes,1,Magic,5,Unconscious,2,All PCs,0,0,Power,0,0,Green,0,Physical,1,Will,1,Will,1,Unconscious,80,0,0
19,0x8c3568b4,0x133c,8,Eternum,0x132f,8,Eternum,0x1332,8,Eternum,0x132c,8,Eternum,1,Magic,6,Unconscious + Damage A,1,Single PC,0,1,Will,250,5,Silver,1,Magical,1,Will,1,Will,1,Unconscious,0,0,0
20,0x8c3568bc,0x1344,6,Wevli,0x1337,6,Wevli,0x133a,6,Wevli,0x1334,6,Wevli,1,Magic,0,Damage,96,PC Square S3,0,1,Will,60,3,Blue,1,Magical,0,Power,0,Power,0,Poison,0,0,0
21,0x8c3568c4,0x134a,7,Wevles,0x133d,7,Wevles,0x1340,7,Wevles,0x133a,7,Wevles,1,Magic,0,Damage,97,PC Square S5,0,1,Will,105,3,Blue,1,Magical,0,Power,0,Power,0,Poison,0,0,0
22,0x8c3568cc,0x1351,7,Wevlen,0x1344,7,Wevlen,0x1347,7,Wevlen,0x1341,7,Wevlen,1,Magic,0,Damage,98,PC Square S7,0,1,Will,195,3,Blue,1,Magical,0,Power,0,Power,0,Poison,0,0,0
23,0x8c3568d4,0x1358,5,Pyri,0x134b,5,Pyri,0x134e,5,Pyri,0x1348,5,Pyri,1,Magic,0,Damage,2,All PCs,0,1,Will,50,1,Red,1,Magical,0,Power,0,Power,0,Poison,0,0,0
24,0x8c3568dc,0x135d,6,Pyres,0x1350,6,Pyres,0x1353,6,Pyres,0x134d,6,Pyres,1,Magic,0,Damage,2,All PCs,0,1,Will,85,1,Red,1,Magical,0,Power,0,Power,0,Poison,0,0,0
25,0x8c3568e4,0x1363,6,Pyrum,0x1356,6,Pyrum,0x1359,6,Pyrum,0x1353,6,Pyrum,1,Magic,0,Damage,2,All PCs,0,1,Will,120,1,Red,1,Magical,0,Power,0,Power,0,Poison,0,0,0
26,0x8c3568ec,0x1369,9,Crystali,0x135c,9,Crystali,0x135f,9,Crystali,0x1359,9,Crystali,1,Magic,0,Damage,1,Single PC,0,1,Will,70,2,Purple,1,Magical,0,Power,0,Power,0,Poison,0,0,0
27,0x8c3568f8,0x1372,10,Crystales,0x1365,10,Crystales,0x1368,10,Crystales,0x1362,10,Crystales,1,Magic,0,Damage,1,Single PC,0,1,Will,120,2,Purple,1,Magical,0,Power,0,Power,0,Poison,0,0,0
28,0x8c356904,0x137c,10,Crystalum,0x136f,10,Crystalum,0x1372,10,Crystalum,0x136c,10,Crystalum,1,Magic,0,Damage,1,Single PC,0,1,Will,170,2,Purple,1,Magical,0,Power,0,Power,0,Poison,0,0,0
29,0x8c356910,0x1386,10,Crystalen,0x1379,10,Crystalen,0x137c,10,Crystalen,0x1376,10,Crystalen,1,Magic,0,Damage,1,Single PC,0,1,Will,220,2,Purple,1,Magical,0,Power,0,Power,0,Poison,0,0,0
30,0x8c35691c,0x1390,8,Pyrulen,0x1383,8,Pyrulen,0x1386,8,Pyrulen,0x1380,8,Pyrulen,1,Magic,0,Damage,2,All PCs,0,1,Will,155,1,Red,1,Magical,0,Power,0,Power,0,Poison,0,0,0
31,0x8c356924,0x1398,7,Wevlum,0x138b,7,Wevlum,0x138e,7,Wevlum,0x1388,7,Wevlum,1,Magic,0,Damage,97,PC Square S5,0,1,Will,150,3,Blue,1,Magical,0,Power,0,Power,0,Poison,0,0,0
32,0x8c35692c,0x139f,8,Electri,0x1392,8,Electri,0x1395,8,Electri,0x138f,8,Electri,1,Magic,0,Damage,100,PC Ray S1,0,1,Will,60,4,Yellow,1,Magical,0,Power,0,Power,0,Poison,0,0,0
33,0x8c356934,0x13a7,9,Electres,0x139a,9,Electres,0x139d,9,Electres,0x1397,9,Electres,1,Magic,0,Damage,101,PC Ray S3,0,1,Will,105,4,Yellow,1,Magical,0,Power,0,Power,0,Poison,0,0,0
34,0x8c356940,0x13b0,9,Electrum,0x13a3,9,Electrum,0x13a6,9,Electrum,0x13a0,9,Electrum,1,Magic,0,Damage,101,PC Ray S3,0,1,Will,150,4,Yellow,1,Magical,0,Power,0,Power,0,Poison,0,0,0
35,0x8c35694c,0x13b9,11,Electrulen,0x13ac,11,Electrulen,0x13af,11,Electrulen,0x13a9,11,Electrulen,1,Magic,0,Damage,102,PC Ray S5,0,1,Will,195,4,Yellow,1,Magical,0,Power,0,Power,0,Poison,0,0,0
