[Event Name],Task ID
M06000003,"\h(«Sailor»)I came intending to replenish my supplies in
Nasrad, but the place has burned to the ground!
What a shock!\e"
M06000004,"\h(«Sailor»)There's almost nothing being sold in the shops,
and even what's available is so expensive. But I
still have to replenish my supplies somehow…\c"
M06000005,"\h(«Sailor»)Let's see, I've bought the Moon Stones I need,
so now I have to find 5 barrels of drinking
water……\e"
M06000006,"\h(«Sailor»)The shops are finally starting to fill up again.
Looks like I can start using Nasrad as a regular
resupply point again.\c"
M06010004,"\h(«Nasr Merchant»)Let us see…… A box of tomatoes with one, two……
No, this box is not any good either.\e"
M06010005,"\h(«Nasr Merchant»)When only this many survive the fire, you cannot
miscount even if you want to.\c"
M06010006,"\h(«Nasr Merchant»)Ixa'takan cypress… Let us see, we have two, 
four… \e"
M06010007,"\h(«Nasr Merchant»)Do not talk to me now!
I am busy with the relief supplies.\c"
M06330011,"\h(«Khazim»)Arghh!!… Crap! Dammit all! They called me the 
best gunner around! I was Khazim, the crack 
shot!\e"
M06330012,"\h(«Khazim»)But I let down my guard, and before I could do 
anything to stop them, the enemy turned the 
whole city to dust. \e"
M06330013,"\h(«Khazim»)It really chaps my hide! I think I will fly 
right over to Valua and give them a blast in the
chops!\e"
M06330014,"\h(«Vyse»)Calm down, calm down. You do anything like that,
and you'll get blasted right back. It's way too
reckless.\e"
M06330015,"\h(«Aika»)Ha, ha. So says the man who was so reckless as
to escape from Valua twice over.\e"
M06330016,"\h(«Khazim»)Wh, what is that? Y, you are not… ?\e"
M06330017,"\h(«Khazim»)Could you be that pirate Vyse who abducted the
Valuan prince and blasted your way out of the
Grand Fortress?\e"
M06330018,"\h(«Vyse»)Well, I don't know about the abducted part, but 
otherwise, yes, I am indeed Vyse. \e"
M06330019,"\h(«Khazim»)In that case, you've got to do this for me,
Vyse! Let me join your crew!  \e"
M06330020,"\h(«Khazim»)I will never be satisfied until I have delivered
a blow from my cannon to Valua!\e"
M06330021,"\h(«Khazim»)I must join forces with you and become your 
ship's gunner. Good! It is decided!\e"
M06330022,"\h(«Vyse»)Well, well, it doesn't sound like you'll take no
for an answer, so I suppose we might as well
have you come aboard.\e"
M06330023,\h( )Khazim has joined your crew as a “Gunner.”\c
M06340002,"\h(«Khazim's Man»)Our job was to defend Nasrad, but we were
completely helpless to do anything.\e"
M06340003,"\h(«Khazim's Man»)It makes me damn angry, and I'd sure like to go 
beat Valua to a pulp!\c"
M06350002,\h(«Khazim's Man»)Boss Khazim is in the turret on top of the wall!\e
M06350003,"\h(«Khazim's Man»)Boss says he's going to attack Valua and get
revenge even if he has to do it all by himself.\c"
