Entry ID,EU SOT Pos,[Entry GB Name],PC ID,[PC Name],Sell%,EU Order 1,EU Order 2,Effect ID,[Effect Name],Pad 1,Buy,Attack,Hit%,Trait ID,[Trait Name],Pad 2,Trait Value,[GB Descr Str]
0,0x8c344784,Cutlass,0,Vyse,50,0,21,-1,None,0,70,20,90,-1,None,0,0,"Vyse received these swords as a gift from his
father, Dyne. It is light, with a short blade."
1,0x8c34478c,Pirate Cutlass,0,Vyse,50,1,48,-1,None,0,220,33,90,-1,None,0,0,"The favorite sword among Air Pirates in the Mid
Ocean area. It is light and very easy to wield."
2,0x8c34479c,Sky Cutlass,0,Vyse,50,2,54,-1,None,0,450,45,90,-1,None,0,0,"A cutlass used by Pirates and fishermen alike.
Its edge is perfect for cleaning fish."
3,0x8c3447a8,Admiral Cutlass,0,Vyse,50,9,0,-1,None,0,4970,128,90,-1,None,0,0,"An old sword that once belonged to a Valuan
Admiral when he was stationed in Esparanza."
4,0x8c3447b8,Assassin Blade,0,Vyse,50,3,2,0,Poison by 10%,0,830,58,90,-1,None,0,0,"A favorite among assassins of the world, mainly
because it has a chance to poison its target."
5,0x8c3447c8,Thunder Cutlass,0,Vyse,50,13,64,-1,None,0,8610,160,90,36,Yellow,0,-2,"An ancient cutlass made from Yeligar's hardened
skin. Some say it can cut through lightning."
6,0x8c3447d8,Iron-cutter,0,Vyse,50,7,40,-1,None,0,3870,112,90,-1,None,0,0,"An ancient blade of pre-Old World times, it is
said that this blade was used to cut iron ore."
7,0x8c3447e4,Nasr Cutlass,0,Vyse,50,4,46,-1,None,0,1340,70,90,-1,None,0,0,"A cutlass used by desert-faring merchants for
self-defense, its blade is finely worked stone."
8,0x8c3447f4,Sword of Daccat,0,Vyse,50,8,62,1,Sleep by 50%,0,4690,120,90,-1,None,0,0,"The sword of the great Air Pirate Daccat, it has
the power to lull enemies to sleep."
9,0x8c344804,Hunter's Sword,0,Vyse,50,5,35,-1,None,0,2280,87,90,-1,None,0,0,"A hunting blade fashioned to resemble a beast's
fang. A favorite among Ixa'takan warriors."
10,0x8c344814,Stonecutter,0,Vyse,50,6,58,-1,None,0,3120,99,90,-1,None,0,0,"A blade originally used in masonry work, it has
since been modified to be used in combat."
11,0x8c344820,Dream Cutlass,0,Vyse,50,10,26,-1,None,0,6690,137,90,35,Blue,0,-2,"A legendary sword that can supposedly rip the
fabric of reality and make dreams come true."
12,0x8c344830,Windslicer,0,Vyse,50,12,70,-1,None,0,8760,153,90,-1,None,0,0,"A blade so slender that it is fabled to be able
to cut the very air in half."
13,0x8c34483c,Vorlik Blade,0,Vyse,50,15,68,-1,None,0,16500,200,200,-1,None,0,0,"A masterpiece of the legendary swordsmith,
Ryu-kan, forged from Velorium."
14,0x8c34484c,Suiran Blade,0,Vyse,50,11,60,-1,None,0,7500,141,90,-1,None,0,0,"A short sword used by Yafutoman soldiers, its
thick, heavy blade is still easy to handle."
15,0x8c34485c,Soul Sword,0,Vyse,50,14,56,16,Unconscious by 5%,0,12340,174,90,-1,None,0,0,"The ultimate sword, the best work of the master
swordsmith, Ryu-kan. Can cause instant death."
16,0x8c344868,Boomerang,1,Aika,50,17,5,-1,None,0,70,19,110,-1,None,0,0,"Aika's favorite boomerang. It's large but light,
and relatively easy to aim."
17,0x8c344874,Skywing,1,Aika,50,26,55,-1,None,0,3670,107,110,-1,None,0,0,"A boomerang shaped like a flying bird. It
always returns, no matter how far it is thrown."
18,0x8c34487c,Scout Wing,1,Aika,50,21,51,-1,None,0,680,53,110,-1,None,0,0,"A weapon carried by crews of scouting parties,
it is meant to be fast and deadly."
19,0x8c344888,Ice Splitter,1,Aika,50,29,38,-1,None,0,7390,142,110,34,Purple,0,-2,"A boomerang with an icy clear, sharp blade that
seemingly freezes the air it flies through."
20,0x8c344898,Leather Crescent,1,Aika,50,18,41,-1,None,0,180,30,110,-1,None,0,0,"A leather-reinforced boomerang that is very
sturdy in build, and packs an extra punch."
21,0x8c3448ac,Throwing Blade,1,Aika,50,19,63,-1,None,0,310,38,110,-1,None,0,0,"An ancient weapon found near Sailors' Island.
Thought to have been used for wood & stone work."
22,0x8c3448bc,Hunting Arc,1,Aika,50,24,36,-1,None,0,1820,80,110,-1,None,0,0,"A traditional Ixa'takan hunting weapon, children
are taught to use them from a very young age."
23,0x8c3448c8,Valuarang,1,Aika,50,20,67,-1,None,0,480,46,110,-1,None,0,0,"A light boomerang used to practice for the
annual boomerang contest in the Valuan Coliseum."
24,0x8c3448d4,Yin Wing,1,Aika,50,28,72,17,Sleep by 5%,0,5930,130,110,-1,None,0,0,"A tear-shaped blade crafted by a master
weaponsmith from a single piece of Moon Stone."
25,0x8c3448e0,Dancing Arc,1,Aika,50,22,23,-1,None,0,1100,65,110,-1,None,0,0,"A decorative throwing blade used by Nasrean
dancers. It is used as a hunting weapon as well."
26,0x8c3448ec,Wing of Hope,1,Aika,50,27,71,-1,None,0,4760,119,110,-1,None,0,0,"Crafted in memory of those lost in the Dark Rift
and in hopes that others will fare better."
27,0x8c3448fc,Storm Wing,1,Aika,50,23,59,2,Weak by 10%,0,1280,69,150,-1,None,0,0,"Used by guards in an ancient imperial palace,
this blade has the power to weaken enemies."
28,0x8c344908,Moon Wing,1,Aika,50,31,45,-1,None,0,10170,161,110,-1,None,0,0,"A superb weapon created by the master, Ryu-kan.
A perfect balance of design and functionality."
29,0x8c344914,Hydra Wing,1,Aika,50,32,37,-1,None,0,11390,168,110,-1,None,0,0,"A boomerang modified by the Valuan army with
reinforcement for close-quarters combat."
30,0x8c344920,Grendel Wing,1,Aika,50,25,33,-1,None,0,2820,96,150,32,Green,0,-2,"A boomerang made from a bone of the Green Gigas.
Its power rivals the Fist of Grendel."
31,0x8c344930,Flutter Blade,1,Aika,50,30,29,3,Confusion by 20%,0,8910,153,110,-1,None,0,0,"A double-bladed boomerang with an unpredictable
flight path. It can induce Confuse in enemies."
32,0x8c344940,Cupil,2,Fina,0,34,7,-1,None,0,0,58,120,-1,None,0,0,"An artificial life form created by Silvites.
Cupil has been with Fina since she was 4."
33,0x8c344948,Cupil Lance,2,Fina,0,41,14,-1,None,0,0,110,120,-1,None,0,0,"Cupil morphs into a lance and lunges itself at
whatever enemy Fina commands."
34,0x8c344954,Cupil Star,2,Fina,0,40,18,-1,None,0,0,103,120,-1,None,0,0,"Cupil morphs into a star and spirals towards its
enemy."
35,0x8c344960,Cupicone,2,Fina,0,36,6,-1,None,0,0,73,120,-1,None,0,0,"Morphs into a sharp cone, and lunges itself
at its enemies."
36,0x8c34496c,Cupil Spear,2,Fina,0,46,16,-1,None,0,0,147,120,-1,None,0,0,"Morphs into a barbed spearhead. Each barb
helps Cupil inflict more damage."
37,0x8c344978,Cupil Blade,2,Fina,0,35,8,4,Silence by 20%,0,0,67,115,-1,None,0,0,"Cupil learns the ability to morph into an
extremely sharp knife."
38,0x8c344984,Cupil Sword,2,Fina,0,38,19,4,Silence by 20%,0,0,90,115,-1,None,0,0,"By morphing into a sword, Cupil can cleave
almost any enemy in two."
39,0x8c344990,Cupil Cutlass,2,Fina,0,43,12,4,Silence by 20%,0,0,127,115,-1,None,0,0,"Cupil learned to morph into a cutlass by
watching Vyse fight. Cupil Fury!!!"
40,0x8c3449a0,Cupil Claymore,2,Fina,0,47,10,4,Silence by 20%,0,0,157,115,-1,None,0,0,"Morphing into a giant 2-handed sword, Cupil can
cause massive amounts of damage on any enemy."
41,0x8c3449b0,Cupil Cannon,2,Fina,0,37,9,-1,None,0,0,86,105,20,Dodge%,0,5,"Morphs into a small, but heavy, cannonball,
and drops on an enemy from high above."
42,0x8c3449c0,Cupil Spike,2,Fina,0,44,17,-1,None,0,0,141,105,20,Dodge%,0,10,"Cupil morphs into a spike-laden board and drops
on an enemy's head. It misses a lot, though."
43,0x8c3449cc,Cupil Weight,2,Fina,0,48,20,-1,None,0,0,172,105,20,Dodge%,0,15,"Cupil uses magic to increase its own weight many
times over, and then drops on an enemy's head."
