[Event Name],Task ID
MF0300000,\h(«Vyse»)Our ship! It's on fire!!!\e
MF0300001,"\h(«Ramirez»)Fina…
So, you are here.\e"
MF0300002,\h(«Ramirez»)I've been looking for you.\e
MF0300003,\h(«Fina»)Ramirez…\e
MF0300004,"\h(«Aika»)Fina, you know him?!\e"
MF0300005,\h(«Fina»)……\e
MF0300006,\h(«Vyse»)Did you lead this attack?!\e
MF0300007,"\h(«Ramirez»)Yes.
From this day on, Nasr belongs to the Valuan 
Empire.\e"
MF0300008,"\h(«Ramirez»)And…
I will be taking you back to Valua.\e"
MF0300009,\h(«Ramirez»)Surrender or you all die.\e
MF0300010,"\h(«Fina»)Vyse!
Please do as he says!\e"
MF0300011,\h(«Vyse»)Fina?!\e
MF0300012,"\h(«Fina»)Please… you won't be able to defeat him! 
Not yet! Do as he says…\e"
MF0300013,"\h(«What will you do?!»)“Surrender.”
“Fight… even though you know it is futile.”\e"
MF0300014,"\h(«Vyse»)Grr…
Alright… we surrender.\e"
MF0300015,\h(«Ramirez»)A wise choice.\e
MF0300016,"\h(«Ramirez»)Capture the Air Pirates.
Take them back to the Grand Fortress.\e"
MF0300017,"\h(«Fina»)Ramirez…
Why are you doing this?\e"
MF0300018,\h(«Ramirez»)……\e
MF0300019,"\h(«Vyse»)We'll never surrender!
We'd rather die!\e"
MF0300020,\h(«Ramirez»)As you wish.\e
MF0300021,"\h(«Ramirez»)I would have spared you, but you leave me no 
choice.\e"
MSF0300000,\h(«Vyse»)¡Nuestro navío! ¡¡¡Fuego!!!\e
MSF0300001,"\h(«Ramírez»)Fina……
Así que estás aquí.\e"
MSF0300002,\h(«Ramírez»)He estado buscándote.\e
MSF0300003,\h(«Fina»)Ramírez……\e
MSF0300004,"\h(«Aika»)Fina, ¡¿le conoces?!\e"
MSF0300005,\h(«Fina»)……\e
MSF0300006,\h(«Vyse»)¡¿Tú empezaste este ataque?!\e
MSF0300007,"\h(«Ramírez»)Sí.
A partir de hoy, Nasr pertenece al Imperio
Valuan.\e"
MSF0300008,"\h(«Ramírez»)Y……
os llevaré de regreso a Valua.\e"
MSF0300009,\h(«Ramírez»)Rendíos o moriréis todos.\e
MSF0300010,"\h(«Fina»)¡Vyse!
¡Haz lo que dice, por favor!\e"
MSF0300011,\h(«Vyse»)¡¿Fina?!\e
MSF0300012,"\h(«Fina»)Por favor…… ¡No podrás derrotarle!
¡Aún no! Haz lo que te dice……\e"
MSF0300013,"\h(«¡¿Qué vas a hacer?!»)“Rendirme.”
“Pelear…… aunque sea inútil.”\e"
MSF0300014,"\h(«Vyse»)Grr……
Muy bien…… me rindo.\e"
MSF0300015,\h(«Ramírez»)Una sabia decisión.\e
MSF0300016,"\h(«Ramírez»)Capturad a los Piratas Aéreos.
Llevadlos de vuelta a la Gran Fortaleza.\e"
MSF0300017,"\h(«Fina»)Ramírez……
¿Por qué haces esto?\e"
MSF0300018,\h(«Ramírez»)……\e
MSF0300019,"\h(«Vyse»)¡No nos rendiremos!
¡Preferimos morir!\e"
MSF0300020,\h(«Ramírez»)Tú lo has querido.\e
MSF0300021,"\h(«Ramírez»)Te habría perdonado la vida, pero ahora no me
dejas otra alternativa.\e"
MFF0300000,\h(«Vyse»)Notre navire ! Il est en feu !!!\e
MFF0300001,"\h(«Ramirez»)Fina……
Alors, vous êtes là.\e"
MFF0300002,\h(«Ramirez»)Je vous cherchais.\e
MFF0300003,\h(«Fina»)Ramirez……\e
MFF0300004,"\h(«Aika»)Fina, vous le connaissez ?!\e"
MFF0300005,\h(«Fina»)……\e
MFF0300006,\h(«Vyse»)Avez-vous conduit cette attaque ?!\e
MFF0300007,"\h(«Ramirez»)Oui.
À partir d'aujourd'hui, Nasr appartient à
l'Empire Valuan.\e"
MFF0300008,"\h(«Ramirez»)Et……
Vous allez revenir avec moi à Valua.\e"
MFF0300009,\h(«Ramirez»)Rendez-vous ou vous mourrez tous.\e
MFF0300010,"\h(«Fina»)Vyse !
Faites ce qu'il vous dit, je vous en supplie !\e"
MFF0300011,\h(«Vyse»)Fina ?!\e
MFF0300012,"\h(«Fina»)Je vous en supplie…… vous ne pourrez pas le
vaincre !
Pas encore ! Faites ce qu'il vous dit……\e"
MFF0300013,"\h(«Que ferez-vous ?!»)“Vous vous rendrez.”
“Vous vous battrez…… même si c'est inutile.”\e"
MFF0300014,"\h(«Vyse»)Grr……
D'accord…… nous nous rendons.\e"
MFF0300015,\h(«Ramirez»)C'est un bon choix.\e
MFF0300016,"\h(«Ramirez»)Capturez les Pirates de l'Air.
Ramenez-les à la Grande Forteresse.\e"
MFF0300017,"\h(«Fina»)Ramirez……
Pourquoi faites-vous cela ?\e"
MFF0300018,\h(«Ramirez»)……\e
MFF0300019,"\h(«Vyse»)Nous ne nous rendrons jamais !
Mieux vaut mourir !\e"
