[Event Name],Task ID
MK0110000,"\h(«Gilder»)Umm… Fina?
Where are we?\e"
MK0110001,\h(«Fina»)We are in the Chamber of Elders.\e
MK0110003,\h(«Elder Prime»)I trust you have completed your mission.\e
MK0110004,"\h(«Fina»)I'm sorry… 
I collected the Crystals, but they were stolen 
by Ramirez.\e"
MK0110005,\h(«Elder Prime»)…What?!\e
MK0110006,\h(«Aika»)Fina? Who… What is that?\e
MK0110007,"\h(«Elder Prime»)I see you've brought some of the island-dwellers
back with you, how amusing.\e"
MK0110008,"\h(«Gilder»)Hey…
Looks like there's a bunch of them.\e"
MK0110009,"\h(«Elder Halos»)I see…
So Ramirez has turned, after all.\e"
MK0110010,"\h(«Elder Cross»)When he stopped contacting us, we feared the
worst…\e"
MK0110011,"\h(«Elder Stout»)When he was here in the Shrine, he was so
loyal… I can't imagine what made him change.\e"
MK0110012,"\h(«Elder Halos»)If he gave the Crystals to island dwellers, 
this is very grave news indeed…\e"
MK0110013,"\h(«Elder Orbis»)If he has turned, and he has all six Crystals. 
He may release the seal on Zelos. That would
be… tragic.\e"
MK0110014,"\h(«Gilder»)Zelos? What's grave news?
What are you talking about?\e"
MK0110015,"\h(«Fina»)Elder Prime, please, I want to know the truth… \e"
MK0110016,"\h(«Fina»)Ramirez said that he was gathering the Moon 
Crystals to raise the Lost Continent, to unleash
the Rains of Destruction… \e"
MK0110017,"\h(«Fina»)He told me that the Silvites called down the 
Rains of Destruction on the Old World.\e"
MK0110018,"\h(«Fina»)Is that true?
Is that what the Crystals are used for?\e"
MK0110019,"\h(«Elder Prime»)So… Young Fina, you have discovered the truth 
about the Crystals… \e"
MK0110020,"\h(«Elder Prime»)I suppose the time has come to tell you 
everything.\e"
MK0110021,"\h(«Elder Prime»)I shall take you to the Hall of Knowledge, where
you will find the truth.\e"
MK0110022,"\h(«Aika»)Hey! What's happening to us?
I don't like thi………\e"
MSK0110000,"\h(«Gilder»)Umm…… ¿Fina?
¿Dónde estamos?\e"
MSK0110001,\h(«Fina»)Estamos en la Cámara de Ancianos.\e
MSK0110003,\h(«Gran Anciano»)Confío en que habrás cumplido la misión.\e
MSK0110004,"\h(«Fina»)De verdad que lo siento…… 
Reuní los Cristales, pero Ramírez los robó.\e"
MSK0110005,\h(«Gran Anciano»)…… ¡¿Cómo?!\e
MSK0110006,\h(«Aika»)¿Fina? ¿Quién……? ¿Qué es eso?\e
MSK0110007,"\h(«Gran Anciano»)Veo que te has traído algunos isleños contigo.
¡Impresionante!\e"
MSK0110008,"\h(«Gilder»)Eh……
Parece que hables de muchos.\e"
MSK0110009,"\h(«Anciano Halos»)Comprendo……
Así que Ramírez os traicionó finalmente.\e"
MSK0110010,"\h(«Anciano Cruz»)Cuando dejó de estar en contacto con nosotros,
nos temimos lo peor……\e"
MSK0110011,\h(«Anciano Vigoroso»)Aquí era tan leal…… No entiendo por qué cambió.\e
MSK0110012,"\h(«Anciano Halos»)Si es cierto que entregó los Cristales a unos
isleños, desde luego se trata de algo muy
grave……\e"
MSK0110013,"\h(«Anciano Orbis»)Si nos ha traicionado, y además tiene los seis
Cristales, podría abrir el precinto de Zelos.
Y eso sería…… terrible.\e"
MSK0110014,"\h(«Gilder»)¿Zelos? ¿Qué es lo que sería terrible?
¿De que están hablando?\e"
MSK0110015,"\h(«Fina»)Gran Anciano, por favor, quiero saber la
verdad……\e"
MSK0110016,"\h(«Fina»)Ramírez dijo que reunía los Cristales Lunares
para elevar el Continente Perdido, para liberar
las Lluvias Destructoras……\e"
MSK0110017,"\h(«Fina»)Me contó que los Silvites convocaron las Lluvias
Destructoras en los tiempos del Mundo Antiguo.\e"
MSK0110018,"\h(«Fina»)¿Es verdad eso?
¿Es eso para lo que sirven los Cristales?\e"
MSK0110019,"\h(«Gran Anciano»)Así es que…… Joven Fina, has descubierto la
verdad sobre los Cristales……\e"
MSK0110020,"\h(«Gran Anciano»)Supongo que ha llegado el momento de contártelo
todo.\e"
MSK0110021,"\h(«Gran Anciano»)Te llevaré a la Entrada del Saber, allí
descubrirás la verdad.\e"
MSK0110022,"\h(«Aika»)¡Ehh! ¿Pero qué nos pasa?
No me gusta este………\e"
MFK0110000,"\h(«Gilder»)Umm…… Fina ?
Où sommes-nous ?\e"
MFK0110001,\h(«Fina»)Nous sommes dans la Chambre des Anciens.\e
MFK0110003,\h(«Ancien Prime»)Je suppose que tu as accompli ta mission.\e
MFK0110004,"\h(«Fina»)Je suis désolée……
J'ai rassemblé les Cristaux, mais Ramirez me les
a volés.\e"
MFK0110005,\h(«Ancien Prime»)……Comment ?!\e
MFK0110006,\h(«Aika»)Fina ? Qui…… Qu'est-ce que c'est ?\e
MFK0110007,"\h(«Ancien Prime»)Je vois que tu es revenue avec des habitants de
l'île, très amusant.\e"
MFK0110008,"\h(«Gilder»)Hé……
Il y en a tout un groupe.\e"
MFK0110009,"\h(«Ancien Halos»)Je vois……
Alors en fin de compte Ramirez a changé de
bord.\e"
MFK0110010,"\h(«Ancien Cross»)Quand il a cessé de nous contacter, nous avons
craint le pire……\e"
MFK0110011,"\h(«Ancien Stout»)Quand il était au Temple, il était si loyal……
je ne comprends pas ce qui l'a fait changer.\e"
MFK0110012,"\h(«Ancien Halos»)S'il a donné les Cristaux aux habitants des
îles, c'est vraiment très grave……\e"
MFK0110013,"\h(«Ancien Orbis»)S'il a changé de bord, et qu'il a les six
Cristaux. Il risque de libérer Zelos.
Ce serait…… tragique.\e"
MFK0110014,"\h(«Gilder»)Zelos ? Qu'est-ce qui est grave ?
De quoi parlez-vous ?\e"
MFK0110015,"\h(«Fina»)Ancien Prime, je vous en prie, dites-moi la
vérité……\e"
MFK0110016,"\h(«Fina»)Ramirez a dit qu'il rassemblait les Cristaux de
Lune pour élever le Continent Perdu, pour
déclencher les Pluies de la Destruction……\e"
MFK0110017,"\h(«Fina»)Il m'a dit que les Silvites avaient invoqué les
Pluies de la Destruction sur l'Ancien Monde.\e"
MFK0110018,"\h(«Fina»)Est-ce la vérité ?
Est-ce à cela que les Cristaux servent ?\e"
MFK0110019,"\h(«Ancien Prime»)Alors…… Jeune Fina, tu as découvert la vérité
sur les Cristaux……\e"
MFK0110020,"\h(«Ancien Prime»)Je suppose que le moment est venu de te dire
toute la vérité.\e"
MFK0110021,"\h(«Ancien Prime»)Je vais t'emmener dans la salle des
connaissances, où tu trouveras la vérité.\e"
MFK0110022,"\h(«Aika»)Hé ! Que nous arrive t-il ?
Je n'aime pas ce………\e"
MGK0110000,"\h(«Gilder»)Emm…… Fina?
Wo sind wir hier?\e"
MGK0110001,\h(«Fina»)Wir sind im Chamber of Elders.\e
MGK0110003,"\h(«Höchster Elder»)Ich hoffe, du hast deine Mission erfüllt.\e"
MGK0110004,"\h(«Fina»)Tut mir leid……
Ich habe die Kristalle eingesammelt, aber sie
wurden von Ramirez gestohlen.\e"
MGK0110005,\h(«Elder Prime»)……Was?!\e
MGK0110006,\h(«Aika»)Fina? Wer…… Was ist das?\e
MGK0110007,"\h(«Elder Prime»)Wie ich sehe, hast du ein paar Inselbewohner
mitgebracht, wie amüsant.\e"
MGK0110008,"\h(«Gilder»)He……
Sieht so aus, als seien sie zu mehreren.\e"
MGK0110009,"\h(«Elder Halos»)Verstehe……
Also hat Ramirez schließlich doch
übergewechselt.\e"
MGK0110010,"\h(«Elder Cross»)Als er uns nicht mehr kontaktierte, haben wir
das Schlimmste angenommen……\e"
