Entry ID,EU Message ID,[Entry DE Name Pos],[Entry DE Name Size],Entry DE Name,[Entry ES Name Pos],[Entry ES Name Size],Entry ES Name,[Entry FR Name Pos],[Entry FR Name Size],Entry FR Name,[Entry GB Name Pos],[Entry GB Name Size],Entry GB Name,PS Flags,[L1],[L2],[D1],[D2],[D3],Pad 1,Trait 1 ID,[Trait 1 Name],Pad 2,Trait 1 Value,Trait 2 ID,[Trait 2 Name],Pad 3,Trait 2 Value,Trait 3 ID,[Trait 3 Name],Pad 4,Trait 3 Value,Trait 4 ID,[Trait 4 Name],Pad 5,Trait 4 Value,Pad 6,Pad 7,Buy,Pad 8,Pad 9,Sell%,EU Order 1,EU Order 2,Pad 10,[DE Descr Pos],[DE Descr Size],DE Descr Str,[ES Descr Pos],[ES Descr Size],ES Descr Str,[FR Descr Pos],[FR Descr Size],FR Descr Str,[GB Descr Pos],[GB Descr Size],GB Descr Str
440,0x8c345fc8,0x1b715,12,Rogue Figur,0x1b661,13,Figura Rogue,0x1b95b,17,Fanion du Voleur,0x1b1a8,13,Rogue Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,800,0,0,50,0,25,0,0x16c49,85,"Schädel mit gekreuzten Schwertern, Symbol\\nder Luftpiraten. Erhöht Magic Resistance.",0x16aec,88,Esta calavera es el símbolo de los Piratas\\nAéreos y aumenta la Resistencia a la Magia.,0x16cb4,90,"Crâne et épées croisées, symbole des pirates\\nde l'Air. Accroît la résistance à la Magie.",0x16897,95,"A menacing skull with crossed swords, the symbol\\nof the Air Pirates. Increases Magic Defense."
441,0x8c345fd8,0x1b721,11,Pryn Figur,0x1b66e,12,Figura Pryn,0x1b96c,13,Symbole Pryn,0x1b1b5,12,Pryn Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,30,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,2400,0,0,50,1,22,0,0x16c9e,92,Stellt einen mystischen roten Vogel dar und ist\\nmit roten Federn. Erhöht Magic Resistance.,0x16b44,91,Representa un pájaro místico de bello plumaje\\nrojo que aumenta la Resistencia a la Magia.,0x16d0e,91,"Représente un oiseau mystique, décoré de plumes\\nrouges. Accroît la résistance à la Magie.",0x168f6,94,"Crafted after a mystical red bird, and decorated\\nwith red feathers. Increases Magic Defense."
442,0x8c345fe4,0x1b72c,13,Pyrynn Figur,0x1b67a,14,Figura Pyrynn,0x1b979,15,Symbole Pyrynn,0x1b1c1,14,Pyrynn Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,45,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,4400,0,0,50,2,23,0,0x16cfa,83,"Skulptur, die den mystischen Hüter von Pyrynn\\ndarstellt. Erhöht Magic Resistance.",0x16b9f,76,Basada en el mítico guardián de Pyrynn.\\nAumenta la Resistencia a la Magia.,0x16d69,91,Une sculpture fondée sur le gardien mythique de\\nPyrynn. Accroît la résistance à la Magie.,0x16954,80,A sculpture based on the mythical guardian of\\nPyrynn. Increases Magic Defense.
443,0x8c345ff4,0x1b739,12,Urwal Figur,0x1b688,15,Figura Ballena,0x1b988,16,Symbole Rhaknam,0x1b1cf,16,Arcwhale Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,60,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,4640,0,0,50,3,4,0,0x16d4d,68,"Skulptur eines Urwals, des Himmelshüters. Erhöht\\nMagic Resistance.",0x16beb,81,Representa a una ballena guardiana del\\ncielo. Mejora la Resistencia a la Magia.,0x16dc4,94,"Une sculpture de la baleine légendaire, gardien\\ndes cieux. Accroît la Résistance à la Magie.",0x169a4,81,"A sculpture of an arcwhale, the guardian of the\\nskies. Increases Magic Defense."
444,0x8c346004,0x1b745,13,Quetya Figur,0x1b697,14,Figura Quetya,0x1b998,15,Symbole Quetya,0x1b1df,14,Quetya Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,80,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,4880,0,0,50,4,24,0,0x16d91,94,"Skulptur einer Quetya, Gottheit der Ixa'takan.\\nIhre göttliche Kraft erhöht Magic Resistance.",0x16c3c,89,"Figura de un Quetya, deidad de Ixa'taka, sus\\npoderes mejoran la Resistencia a la Magia.",0x16e22,97,"Sculpture d'un Quetya, une Déité Ixa'takan. Son\\npouvoir divin accroît la résistance à la Magie.",0x169f5,88,"A sculpture of a Quetya, an Ixa'takan Deity.\\nIts divine power increases Magic Defense."
445,0x8c346014,0x1b752,12,Riesenfigur,0x1b6a5,15,Figura Gigante,0x1b9a7,17,Symbole du Géant,0x1b1ed,13,Giant Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,100,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,5120,0,0,50,5,16,0,0x16def,57,Skulptur in Form eines Riesen.\\nErhöht Magic Resistance.,0x16c95,70,Una escultura en forma de gigante.\\nMejora la Resistencia a la Magia.,0x16e83,64,Sculpture en forme de géant.\\nAccroît la Résistance à la Magie.,0x16a4d,62,A sculpture in the form of a giant.\\nIncreases Magic Defense.
446,0x8c346024,0x1b75e,14,Bluheim Figur,0x1b6b4,15,Figura Bluheim,0x1b9b8,16,Symbole Bluheim,0x1b1fa,15,Bluheim Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,130,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,5360,0,0,50,6,6,0,0x16e28,73,"Skulptur von Bluheim, dem Gigas von Yafutoman.\\nErhöht Magic Resistance.",0x16cdb,74,"Figura de Bluheim, el Gigas Yafutoman.\\nMejora la Resistencia a la Magia.",0x16ec3,77,"Sculpture de Bluheim, le Gigas Yafutoman.\\nAccroît la Résistance à la Magie.",0x16a8b,71,"A sculpture of Bluheim, the Yafutoman Gigas.\\nIncreases Magic Defense."
447,0x8c346034,0x1b76c,15,Göttinnenfigur,0x1b6c3,16,Figura de Diosa,0x1b9c8,15,Symbole Déesse,0x1b209,15,Goddess Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,160,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,6800,0,0,50,7,17,0,0x16e71,83,"Skulptur der Göttin der Liebe, des Mutes und des\\nSieges. Erhöht Magic Resistance.",0x16d25,89,"Figura de la diosa del amor, el coraje y la\\nvictoria. Mejora la Resistencia a la Magia.",0x16f10,97,"Statue de la déesse de l'amour, du courage, et\\nde la victoire. Accroît la Résistance à la Magie",0x16ad2,84,"A sculpture of the goddess of love, courage,\\nand victory. Increases Magic Defense."
448,0x8c346044,0x1b77b,11,Vyse Figur,0x1b6d3,12,Figura Vyse,0x1b9d7,16,Symbole de Vyse,0x1b218,12,Vyse Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,190,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,8800,0,0,50,8,37,0,0x16ec4,55,Schamlose Skulptur von Vyse.\\nErhöht Magic Resistance.,0x16d7e,73,Descarada copia de la imagen de Vyse.\\nMejora la Resistencia a la Magia.,0x16f71,64,Sculpture indécente de Vyse.\\nAccroît la Résistance à la Magie.,0x16b26,58,A shameless sculpture of Vyse. \\nIncreases Magic Defense.
449,0x8c346050,0x1b786,11,Kugelfigur,0x1b6df,16,Figura Esférica,0x1b9e7,15,Symbole Sphère,0x1b224,17,Spherical Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,300,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,13500,0,0,50,9,30,0,0x16efb,42,Glühende Kugel.\\nErhöht Magic Resistance.,0x16dc7,56,Esfera brillante que mejora\\nla Resistencia a la Magia.,0x16fb1,57,Une sphère brillante.\\nAccroît la Résistance à la Magie.,0x16b60,44,A glowing sphere.\\nIncreases Magic Defense.
