Entry ID,EU Message ID,[Entry DE Name Pos],[Entry DE Name Size],Entry DE Name,[Entry ES Name Pos],[Entry ES Name Size],Entry ES Name,[Entry FR Name Pos],[Entry FR Name Size],Entry FR Name,[Entry GB Name Pos],[Entry GB Name Size],Entry GB Name,Sell%,EU Order 1,EU Order 2,Pad 1,Buy,Pad 2,Pad 3,[DE Descr Pos],[DE Descr Size],DE Descr Str,[ES Descr Pos],[ES Descr Size],ES Descr Str,[FR Descr Pos],[FR Descr Size],FR Descr Str,[GB Descr Pos],[GB Descr Size],GB Descr Str
320,0x8c345718,0x1ac8f,14,Green Crystal,0x1abe8,14,Cristal Verde,0x1af13,13,Cristal Vert,0x1a741,14,Green Crystal,0,7,12,0,0,0,0,0x151e2,84,"Altertümliches Juwel, das die Kraft des Lebens\\nenthält. Kann Green Gigas aufrufen.",0x14fd2,93,Gema ancestral que contiene el poder de la vida.\\nTiene el poder de convocar al Gigas Verde.,0x1513a,90,Pierre ancienne qui détient le pouvoir de la\\nvie. A le pouvoir d'invoquer le Gigas Vert.,0x14d74,93,An ancient gem that contains the power of life.\\nIt has the power to summon the Green Gigas.
321,0x8c345728,0x1ac9d,12,Red Crystal,0x1abf6,13,Cristal Rojo,0x1af20,14,Cristal Rouge,0x1a74f,12,Red Crystal,0,6,24,0,0,0,0,0x15236,82,"Altertümliches Juwel, das die Kraft des Feuers\\nenthält. Kann Red Gigas aufrufen.",0x1502f,91,Gema ancestral que contiene el poder del fuego.\\nTiene el poder de convocar al Gigas Rojo.,0x15194,93,Pierre ancienne qui détient le pouvoir du feu.\\nElle a le pouvoir d'invoquer le Gigas Rouge.,0x14dd1,91,An ancient gem that contains the power of fire.\\nIt has the power to summon the Red Gigas.
322,0x8c345734,0x1aca9,15,Purple Crystal,0x1ac03,16,Cristal Púrpura,0x1af2e,14,Cristal Mauve,0x1a75b,15,Purple Crystal,0,9,21,0,0,0,0,0x15288,84,"Altertümliches Juwel, das die Kraft des Eises\\nenthält. Kann Purple Gigas aufrufen.",0x1508a,94,Gema ancestral que contiene el poder del hielo.\\nTiene el poder de convocar al Gigas Purpura.,0x151f1,90,Pierre ancienne qui détient le pouvoir de glace.\\nA le pouvoir d'invoquer le Gigas Mauve.,0x14e2c,93,An ancient gem that contains the power of ice.\\nIt has the power to summon the Purple Gigas.
323,0x8c345744,0x1acb8,13,Blue Crystal,0x1ac13,13,Cristal Azul,0x1af3c,14,Cristal Bleue,0x1a76a,13,Blue Crystal,0,8,0,0,0,0,0,0x152dc,83,Altertümliches Juwel mit der Kraft von Wind und\\nWasser. Kann Blue Gigas aufrufen.,0x150e8,90,Gema ancestral que contiene el poder del viento\\ny el agua. Puede convocar al Gigas Azul.,0x1524b,90,Pierre ancienne au pouvoir de vent et d'eau.\\nElle a le pouvoir d'invoquer le Gigas Bleu.,0x14e89,93,An ancient gem with the power of wind and water.\\nIt has the power to summon the Blue Gigas.
324,0x8c345754,0x1acc5,15,Yellow Crystal,0x1ac20,17,Cristal Amarillo,0x1af4a,14,Cristal Jaune,0x1a777,15,Yellow Crystal,0,10,33,0,0,0,0,0x1532f,77,Altertümliches Juwel mit der Kraft des Blitzes.\\nKann Yellow Gigas aufrufen.,0x15142,94,Gema ancestral que contiene el poder del rayo.\\nTiene el poder de convocar al Gigas Amarillo.,0x152a5,92,Pierre ancienne qui a le pouvoir de l'éclair.\\nElle a le pouvoir d'invoquer le Gigas Jaune.,0x14ee6,90,An ancient gem with the power of lightning.\\nIt has the power to summon the Yellow Gigas.
325,0x8c345764,0x1acd4,10,GINGESSHO,0x1ac31,10,GINGESSHO,0x1af58,10,GINGESSHO,0x1a786,10,GINGESSHO,0,38,-1,0,0,0,0,0x1537c,8,CUT.\\n ,0x151a0,8,CUT.\\n ,0x15301,8,CUT.\\n ,0x14f40,13,CUT.\\n------
326,0x8c34576c,0x1acde,17,Green Moon Stone,0x1ac3b,13,Piedra Verde,0x1af62,13,Pierre Verte,0x1a790,17,Green Moon Stone,0,0,13,0,0,0,0,0x15384,78,Ein Mondstein vom Green Moon. Er kann Waffen\\ndie Kräfte der Natur verleihen.,0x151a8,92,Piedra Lunar procedente de la Luna Verde.\\nOtorga a las armas los poderes de la naturaleza.,0x15309,95,Une Pierre de Lune de la Lune Verte. Elle peut\\ninsuffler les pouvoirs de la nature aux armes.,0x14f4d,84,A Moon Stone from the Green Moon. It can infuse\\nweapons with the powers of nature.
327,0x8c345780,0x1acef,15,Red Moon Stone,0x1ac48,12,Piedra Roja,0x1af6f,13,Pierre Rouge,0x1a7a1,15,Red Moon Stone,0,1,25,0,0,0,0,0x153d2,76,Ein Mondstein vom Red Moon. Er kann Waffen\\ndie Kraft des Feuers verleihen.,0x15204,84,Piedra Lunar procedente de la Luna Roja.\\nOtorga a las armas los poderes del fuego.,0x15368,89,Une Pierre de Lune de la Lune Rouge. Elle peut\\ninsuffler les pouvoirs du feu aux armes.,0x14fa1,80,A Moon Stone from the Red Moon. It can infuse\\nweapons with the powers of fire.
328,0x8c345790,0x1acfe,17,Purple MoonStone,0x1ac54,15,Piedra Púrpura,0x1af7c,13,Pierre Mauve,0x1a7b0,17,Purple MoonStone,0,2,22,0,0,0,0,0x1541e,78,Ein Mondstein vom Purple Moon. Er kann Waffen\\ndie Kraft des Eises verleihen.,0x15258,87,Piedra Lunar procedente de la Luna Púrpura.\\nOtorga a las armas los poderes del hielo.,0x153c1,94,Une Pierre de Lune de la Lune Mauve. Elle peut\\ninsuffler les pouvoirs de la glace aux armes.,0x14ff1,82,A Moon Stone from the Purple Moon. It can infuse\\nweapons with the powers of ice.
329,0x8c3457a4,0x1ad0f,16,Blue Moon Stone,0x1ac63,12,Piedra Azul,0x1af89,13,Pierre Bleue,0x1a7c1,16,Blue Moon Stone,0,3,1,0,0,0,0,0x1546c,87,Ein Mondstein vom Blue Moon. Er kann Waffen die\\nKräfte von Wind und Wasser verleihen.,0x152af,96,Piedra Lunar procedente de la Luna Azul. Otorga\\na las armas los poderes del viento y del agua.,0x1541f,91,Une Pierre de Lune de la Lune Bleue. Peut donner\\nles pouvoirs de vent et d'eau aux armes.,0x15043,91,A Moon Stone from the Blue Moon. It can infuse\\nweapons with the powers of wind and water.
