Entry ID,Entry JP Name,Element ID,[Element Name],Order,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Speed,Effect SP,Pad 1,Pad 2,Effect Base,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad 3,Pad 4,Pad 5,Ship Occ ID,[Ship Occ Name],Pad 6,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Ship Eff Base,Unk,Pad 7,Pad 8,Pad 9,[JP Descr Pos],[JP Descr Size],JP Descr Str,[Ship JP Descr Pos],[Ship JP Descr Size],Ship JP Descr Str
0,アパ,1,Red,120,0b0011,"",X,X,21,Incr Attack & Defense,1,Single PC,6,Magic,0,4,0,0,-1,-1,None,-1,None,0,0,0,0,1,Always,0,105,Incr Attack + Defense,4,2,0,-1,0,0,0,0x2c5b60,88,仲間ひとりを「強壮」の状態にするЖ術。\n攻撃力と防御力が25％ずつ上がる。　　　消費Ｇ＝４,0x2d058c,88,船の攻撃力と防御力を25％上昇させる。\n効果は２ターン持続する。　　　　　　　消費Ｇ＝４
1,アポス,1,Red,121,0b0011,"",X,X,21,Incr Attack & Defense,2,All PCs,6,Magic,0,16,0,0,-1,-1,None,-1,None,0,0,0,0,1,Always,0,105,Incr Attack + Defense,16,4,0,-1,0,0,0,0x2c5bb8,96,仲間全員を「強壮」の状態にするЖ術。長期戦では\n絶大な効果が期待できるはずだ。　　　　消費Ｇ＝16,0x2d05e4,88,船の攻撃力と防御力を25％上昇させる。\n効果は４ターン持続する。　　　　　　　消費Ｇ＝16
2,サイレシャ,2,Purple,20,0b0011,"",X,X,12,Silence,3,Single EC,6,Magic,0,2,0,0,0,0,Physical,5,Silence,40,0,0,0,0,Magic Cannon,0,116,Silence by 100%,2,2,0,-1,0,0,0,0x2c5c18,96,一定の確率で敵単体を「沈黙」の状態にするЖ術。\n回復Ж術を多用する敵には、まずこれだ。消費Ｇ＝２,0x2d063c,100,Ж術発射装置によって使用可能。敵のЖ術を封じる。\n効果は２ターン持続する。　　　　　　　消費Ｇ＝２
3,パニカ,2,Purple,130,0b0010,"",X,"",11,Confusion,3,Single EC,6,Magic,0,3,0,0,0,0,Physical,4,Confusion,40,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x2c5c78,96,一定の確率で敵単体を「混乱」の状態にするЖ術。\n混乱した敵は至近距離の誰かを攻撃する。消費Ｇ＝３,0x2d06a0,20,使用できません。\n
4,ダウナ,4,Yellow,140,0b0011,"",X,X,26,Decr All Attr,3,Single EC,6,Magic,0,3,0,0,0,0,Physical,8,Weak,40,0,0,0,0,Magic Cannon,0,106,Weak by 100%,3,2,0,-1,0,0,0,0x2c5cd8,96,一定の確率で敵単体を「衰弱」の状態にするЖ術。\n敵の全基本能力を25％ずつ下げる。　　　消費Ｇ＝３,0x2d06b4,100,Ж術発射装置によって使用可能。敵の能力を下げる。\n効果は２ターン持続する。　　　　　　　消費Ｇ＝３
5,ダウノス,4,Yellow,141,0b0011,"",X,X,26,Decr All Attr,4,All ECs,6,Magic,0,6,0,0,0,0,Physical,8,Weak,60,0,0,0,0,Magic Cannon,0,106,Weak by 100%,6,4,0,-1,0,0,0,0x2c5d38,96,一定の確率で敵全体を「衰弱」の状態にするЖ術。\nなかなか使いどころの難しいЖ術だ。　　消費Ｇ＝６,0x2d0718,100,Ж術発射装置によって使用可能。敵の能力を下げる。\n効果は４ターン持続する。　　　　　　　消費Ｇ＝６
6,サプラ,0,Green,40,0b0111,X,X,X,31,Recover HP,1,Single PC,6,Magic,0,2,0,0,500,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP,2,-1,400,-1,0,0,0,0x2c5d98,96,仲間ひとりのＨＰを500ポイント回復するЖ術。\n移動中も使用することができる。　　　　消費Ｇ＝２,0x2d077c,84,船のＨＰを4000ポイント修復する。\n移動中も使用することができる。　　　　消費Ｇ＝２
7,サプリィ,0,Green,41,0b0111,X,X,X,31,Recover HP,1,Single PC,6,Magic,0,4,0,0,1000,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP,4,-1,800,-1,0,0,0,0x2c5df8,96,仲間ひとりのＨＰを1000ポイント回復するЖ術。\nサプラでは回復しきれないダメージに。　消費Ｇ＝４,0x2d07d0,84,船のＨＰを8000ポイント修復する。\n移動中も使用することができる。　　　　消費Ｇ＝４
8,サプレス,0,Green,42,0b0110,X,X,"",31,Recover HP,2,All PCs,6,Magic,0,8,0,0,1000,0,Physical,0,Poison,0,0,0,0,-1,Never,0,-1,None,-1,-1,1000,-1,0,0,0,0x2c5e58,92,仲間全員のＨＰを1000ポイント回復するЖ術。\n全体回復のЖ術はこれだけだ。　　　　　消費Ｇ＝８,0x2d0824,16,使用できません\n
9,サプローネ,0,Green,43,0b0111,X,X,X,32,Recover HP of 100%,1,Single PC,6,Magic,0,6,0,0,10000,0,Physical,0,Poison,0,0,0,0,1,Always,0,101,Recover HP by 100%,6,-1,0,-1,0,0,0,0x2c5eb4,92,仲間ひとりのＨＰを最大まで回復するЖ術。\n戦闘時より、移動時に使いたいЖ術だ。　消費Ｇ＝６,0x2d0834,76,船のＨＰを完全に修復する。\n移動中も使用することができる。　　　　消費Ｇ＝６
10,プワザ,0,Green,50,0b0010,"",X,"",4,Poison + Damage,3,Single EC,6,Magic,0,3,0,0,60,1,Magical,0,Poison,40,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x2c5f10,100,敵単体にダメージを与えた上、一定の確率で「毒」の\n状態にするЖ術。長期戦向けだ。　　　　消費Ｇ＝３,0x0,0,""
11,プワゾーク,0,Green,51,0b0010,"",X,"",4,Poison + Damage,4,All ECs,6,Magic,0,6,0,0,100,1,Magical,0,Poison,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x2c5f74,100,敵全体にダメージを与えた上、一定の確率で「毒」の\n状態にするЖ術。長期戦向けだ。　　　　消費Ｇ＝６,0x0,0,""
12,スリーパ,3,Blue,110,0b0010,"",X,"",9,Sleep,4,All ECs,6,Magic,0,6,0,0,0,0,Physical,3,Sleep,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x2c5fd8,96,一定の確率で敵全体を「睡眠」の状態にするЖ術。\n大量のザコ敵は、眠らせておくのも手だ。消費Ｇ＝６,0x0,0,""
13,クイッカ,3,Blue,70,0b0011,"",X,X,20,Incr Quick,2,All PCs,6,Magic,0,6,0,0,-1,-1,None,-1,None,0,0,0,0,1,Always,0,104,Incr Quick,6,1,0,-1,0,0,0,0x2c6038,96,仲間全員を「機敏」の状態にするЖ術。スピードが\n２倍になり、逃走成功率も上がる。　　　消費Ｇ＝６,0x2d0880,76,船のスピードを２倍にする。\n効果は１ターン持続する。　　　　　 　消費Ｇ＝６
14,キュア,5,Silver,80,0b0010,"",X,"",30,Rem Neg States B,1,Single PC,6,Magic,0,2,0,0,-1,-1,None,-1,None,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x2c6098,100,仲間ひとりの「失神」を除くすべての不利な状態を、\n確実に治療するЖ術。長旅の必需品だ。　消費Ｇ＝２,0x0,0,""
15,ライザ,5,Silver,90,0b0010,"",X,"",27,Revive With HP of 50%,1,Single PC,6,Magic,0,4,0,0,0,0,Physical,7,Revival,50,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x2c60fc,96,仲間ひとりを「失神」の状態から、50％の確率で\n復活させるЖ術。ＨＰも最大値の50％だ。消費Ｇ＝４,0x0,0,""
16,ライゾン,5,Silver,91,0b0010,"",X,"",28,Revive With HP of 100%,1,Single PC,6,Magic,0,8,0,0,0,0,Physical,7,Revival,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x2c615c,100,仲間ひとりを「失神」の状態から、確実に復活させる\nЖ術。ＨＰも最大値まで回復する。　　　消費Ｇ＝８,0x0,0,""
17,ジェダ,5,Silver,100,0b0010,"",X,"",5,Unconscious,3,Single EC,6,Magic,0,5,0,0,0,0,Physical,1,Unconscious,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x2c61c0,96,一定の確率で敵単体を即死させるЖ術。亜空間から\n出現した無数の刃が、敵の体を貫く。　　消費Ｇ＝５,0x0,0,""
18,ジェデス,5,Silver,101,0b0010,"",X,"",5,Unconscious,4,All ECs,6,Magic,0,10,0,0,0,0,Physical,1,Unconscious,80,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x2c6220,96,一定の確率で敵全体を即死させるЖ術。亜空間から\n出現した刃が、豪雨のごとく降り注ぐ。　消費Ｇ＝10,0x0,0,""
19,ジェドーサ,5,Silver,102,0b0010,"",X,"",6,Unconscious + Damage A,3,Single EC,6,Magic,0,15,0,0,250,1,Magical,1,Unconscious,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x2c6280,96,敵単体を確実に即死させるЖ術。完全な即死耐性を\n持つ敵に対しては、大ダメージを与える。消費Ｇ＝15,0x0,0,""
20,ウェイバ,3,Blue,60,0b0011,"",X,X,0,Damage,32,EC Square S3,6,Magic,0,2,0,0,60,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,60,4,0,0,0,0x2c62e0,100,敵単体をカマイタチで包み込み、ダメージを与える。\n近くにいる敵を巻き込むこともある。　　消費Ｇ＝２,0x2d08cc,80,Ж術発射装置によって使用可能。\n波動弾で、敵にダメージを与える。　　　消費Ｇ＝２
21,ウェイビィ,3,Blue,61,0b0011,"",X,X,0,Damage,33,EC Square S5,6,Magic,0,4,0,0,105,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,90,4,0,0,0,0x2c6344,88,敵単体を中心に巨大な竜巻を発生させて、\n広い範囲の敵に大ダメージを与える。　　消費Ｇ＝４,0x2d091c,80,Ж術発射装置によって使用可能。\n大波動弾で、敵にダメージを与える。　　消費Ｇ＝４
22,ウェボーン,3,Blue,63,0b0011,"",X,X,0,Damage,34,EC Square S7,6,Magic,0,8,0,0,195,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,8,-1,150,4,0,0,0,0x2c639c,100,絡み合う竜巻の群れが、敵単体を中心とした広範囲に\n超特大のダメージ。ほとんど全体攻撃だ。消費Ｇ＝８,0x2d096c,80,Ж術発射装置によって使用可能。\n波動砲弾で、敵にダメージを与える。　　消費Ｇ＝８
23,バーナ,1,Red,0,0b0011,"",X,X,0,Damage,4,All ECs,6,Magic,0,2,0,0,50,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,60,1,0,0,0,0x2c6400,92,戦いの場の中心に爆発を起こし、火炎と爆風で\n敵全体にダメージを与える。　　　　　　消費Ｇ＝２,0x2d09bc,80,Ж術発射装置によって使用可能。\n炎の弾で、敵にダメージを与える。　　　消費Ｇ＝２
