Entry ID,[Str Pos],[Str Size],[Str Enc],Str Value
0,0x3fc,46,Shift_JIS,Metrowerks Target Resident Kernel for PowerPC
1,0x2a92e0,18,Shift_JIS,"
OSDumpHeap(%d):
"
2,0x2a92f4,18,Shift_JIS,"--------Inactive
"
3,0x2a9308,26,Shift_JIS,"addr	size		end	prev	next
"
4,0x2a9324,19,Shift_JIS,"--------Allocated
"
5,0x2a9338,22,Shift_JIS,"%4d:	%x	%5d	%x	%x	%x
"
6,0x2a9350,14,Shift_JIS,"--------Free
"
7,0x2a9360,36,Shift_JIS,OSCheckHeap: Failed HeapArray in %d
8,0x2a9384,55,Shift_JIS,OSCheckHeap: Failed 0 <= heap && heap < NumHeaps in %d
9,0x2a93bc,40,Shift_JIS,OSCheckHeap: Failed 0 <= hd->size in %d
10,0x2a93e4,79,Shift_JIS,OSCheckHeap: Failed hd->allocated == NULL || hd->allocated->prev == NULL in %d
11,0x2a9434,62,Shift_JIS,"OSCheckHeap: Failed InRange(cell, ArenaStart, ArenaEnd) in %d"
12,0x2a9474,55,Shift_JIS,"OSCheckHeap: Failed OFFSET(cell, ALIGNMENT) == 0 in %d"
13,0x2a94ac,73,Shift_JIS,OSCheckHeap: Failed cell->next == NULL || cell->next->prev == cell in %d
14,0x2a94f8,51,Shift_JIS,OSCheckHeap: Failed MINOBJSIZE <= cell->size in %d
15,0x2a952c,61,Shift_JIS,"OSCheckHeap: Failed OFFSET(cell->size, ALIGNMENT) == 0 in %d"
16,0x2a956c,57,Shift_JIS,OSCheckHeap: Failed 0 < total && total <= hd->size in %d
17,0x2a95a8,69,Shift_JIS,OSCheckHeap: Failed hd->free == NULL || hd->free->prev == NULL in %d
18,0x2a95f0,95,Shift_JIS,OSCheckHeap: Failed cell->next == NULL || (char*) cell + cell->size < (char*) cell->next in %d
19,0x2a9650,44,Shift_JIS,OSCheckHeap: Failed total == hd->size in %d
20,0x2a9700,9,Shift_JIS,%s%s.STD
21,0x2a9710,17,Shift_JIS,/sound/m0367.mlt
22,0x2a9724,25,Shift_JIS,もう一度、挑戦しますか？
23,0x2a9740,11,Shift_JIS,ME090A.sct
24,0x2a974c,20,Shift_JIS,/sound/m04%02d.samp
25,0x2a976c,10,Shift_JIS,s%03d.sml
26,0x2a9778,10,Shift_JIS,s%03d.sst
27,0x2a9784,12,Shift_JIS,stsicon.mld
28,0x2a9790,14,Shift_JIS,s%02d%02d.mld
29,0x2a97a0,14,Shift_JIS,s%03d%02d.mld
30,0x2a97b0,9,Shift_JIS,/battle/
31,0x2a9850,14,Shift_JIS,E99%02d%02d%d
32,0x2a9860,12,Shift_JIS,E99%02d00%d
33,0x2a986c,13,Shift_JIS,E99%02d%02d0
34,0x2a987c,13,Shift_JIS,E99%02d%02d1
35,0x2a988c,11,Shift_JIS,E99%02d001
36,0x2a9a48,16,Shift_JIS,D%02d%03d00.MLK
37,0x2a9a58,10,Shift_JIS,PCWIN.MLK
38,0x2a9a64,19,Shift_JIS,%c%02d%03d%02X.MLK
39,0x2a9a78,10,Shift_JIS,MA000.MLD
40,0x2a9a84,10,Shift_JIS,ma000.mld
41,0x2a9a90,10,Shift_JIS,MA001.MLD
42,0x2a9a9c,10,Shift_JIS,ma001.mld
43,0x2a9aa8,10,Shift_JIS,MA002.MLD
44,0x2a9ab4,10,Shift_JIS,ma002.mld
45,0x2a9ac0,10,Shift_JIS,MA003.MLD
46,0x2a9acc,10,Shift_JIS,ma003.mld
47,0x2a9ad8,10,Shift_JIS,MA004.MLD
48,0x2a9ae4,10,Shift_JIS,ma004.mld
49,0x2a9af0,10,Shift_JIS,MA005.MLD
50,0x2a9afc,10,Shift_JIS,ma005.mld
51,0x2a9b08,9,Shift_JIS,%s%s.STD
52,0x2a9b18,9,Shift_JIS,ts001010
53,0x2a9b24,9,Shift_JIS,ts001033
54,0x2a9b30,9,Shift_JIS,ts001020
55,0x2a9b3c,9,Shift_JIS,ts001026
56,0x2a9b48,9,Shift_JIS,ts001027
57,0x2a9b84,9,Shift_JIS,/battle/
58,0x2a9b90,12,Shift_JIS,stsicon.mld
59,0x2a9c18,11,Shift_JIS,MA%03d.MLD
60,0x2a9c24,28,Shift_JIS,incorrect load chara No[%d]
61,0x2a9c40,11,Shift_JIS,MB%03d.MLD
62,0x2a9c4c,11,Shift_JIS,MG%03d.MLD
63,0x2a9c58,13,Shift_JIS,E1800000.MLD
64,0x2a9c68,15,Shift_JIS,D05000%02X.MLK
65,0x2a9c78,15,Shift_JIS,F05000%02X.MLK
66,0x2a9cc8,18,Shift_JIS,Error: tasSetTask
67,0x2a9cdc,24,Shift_JIS,Error: tasSetTask align
68,0x2a9cf4,13,Shift_JIS,E99%02d%02d0
69,0x2a9d04,13,Shift_JIS,E99%02d%02d1
70,0x2a9d14,12,Shift_JIS,M%c%03d.MLD
