[Event Name],Task ID
MC0200000,"\h(《ファイナ》)みなさん……
本当に　お世話になりました。
ありがとうございました。\e"
MC0200001,"\h(《ダイン》)気を付けてな　ファイナさん。
ヴァイス　しっかり
ファイナさんを助けるんだぞ。\e"
MC0200002,"\h(《ヴァイス》)わかってるって！
じゃあ　ちょいと行ってくるぜ！\e"
MC0200003,"\h(《アイカ》)行ってきますね！
船長　おばさま！\e"
MC0200004,"\h(《ファイナ》)ヴァイスさん……
アイカさん……
本当に　よろしいんですか？\e"
MC0200005,"\h(《ヴァイス》)気にするなよ　ファイナ。
別に　ファイナのためだけに
行こうってんじゃないんだ。\e"
MC0200006,"\h(《ヴァイス》)人々や　船乗りを苦しめる　バルアが
月晶を手に入れることだけは
絶対に　止めなきゃいけない。\e"
MC0200007,"\h(《ヴァイス》)青の空賊として
とことん　バルアと
はりあってやるつもりさ。\e"
MC0200008,"\h(《ヴァイス》)それに……
なんてったって　おれ自身が一番
大航海に出てみたいんだ！\e"
MC0200009,"\h(《ヴァイス》)月晶はもちろん　古代のいせきや
まだ見ぬ国々……大空の果て……
すべて　この目で見てやるぜ！\e"
MC0200010,"\h(《アイカ》)ファイナが来るなって言っても
ついていっちゃうんだからね！\e"
MC0200011,"\h(《アイカ》)こーんな　ワクワクすることを
みのがしてちゃ
空賊の名折れだよ！\e"
MC0200012,"\h(《ファイナ》)……はい。
ありがとうございます！\e"
MC0200013,"\h(《ヴァイス》)ファイナ　
月晶のありかについて
心当たりは　あるのか？\e"
MC0200014,"\h(《ファイナ》)それぞれの月の下の大陸に
ひとつずつ月晶は　あるはずです。\e"
MC0200015,"\h(《ファイナ》)ここから近いところですと……
バルア大陸の黄の月晶か
ナスル大陸の赤の月晶ですが……\e"
MC0200016,"\h(《ダイン》)今は　バルアに　もどるのは
きけん過ぎる。
時機を見たほうが　よかろう。\e"
MC0200017,"\h(《ダイン》)東へむかえば　ナスル大陸がある。
とちゅう　岩しょうがあって
ふつうの船では進めないが……\e"
MC0200018,"\h(《ダイン》)この　ラムキャノンを　つけた
リトルジャックなら
岩しょうも　とっぱできるだろう。\e"
MC0200019,"\h(《ヴァイス》)よし　決まりだな！
まずは　東のナスル大陸へ
赤の月晶を　さがしに行こうぜ！\e"
MC0200020,"\h(《ドラクマ》)こぞう！
そろそろ出港するぞ！\e"
MC0200021,"\h(《ヴァイス》)じゃあ……
行ってくるぜ　オヤジ。\e"
MC0200022,"\h(《ダイン》)ああ　しっかり見てこい。
この世界を
おまえ自身の目でな！\e"
Ms002d000,"\h(《ヴァイス》)おれたちの空賊船
アルバトロス号の絵だ。\e"
Ms002d001,"\h(《ヴァイス》)これ……何の絵なんだろ。
アイカは風船だって言うけど
おれは　タコだと思うんだよな。\c"
Ms002d002,"\h(《ヴァイス》)オヤジの　ハマキやら　本やらが
ぎっしり　つまってる。\c"
Ms002d003,"\h(《ヴァイス》)オヤジひきいる
ダイン一家の空賊旗だ。\c"
Ms002d041,"\h(《ヴァイス》)ダイン一家の空賊旗だ。
必ず　おれが
みんなを救い出してみせる！\c"
Ms002d004,"\h(《ヴァイス》)お宝の中に　いいハマキが　あると
全部　オヤジが部屋に
持っていっちまうんだよな。\c"
Ms002d005,"\h(《ヴァイス》)薬の原料とかが
つめこんである木箱だ。\c"
Ms002d006,"\h(《ヴァイス》)武器だんやく……
月Ж石……\c"
Ms002d042,"\h(《ヴァイス》)この部屋の中のものは
すべて無事みたいだ。月Ж石も
武器も　すべて　そろっている。\c"
Ms002d007,"\h(《ヴァイス》)おっ　うまそう！　しんせんな果物は
なかなか手に入りづらいんだ。
今日の戦利品かな？\c"
Ms002d008,"\h(《ヴァイス》)ラム酒が　つまったタルだ。
船乗りには　きついラム酒が
人気が　あるらしい。\c"
Ms002d043,"\h(《ヴァイス》)酒なんかは　そのまま残ってる。
黒の空賊が　おそってきたら　これが
真っ先に　うばわれるらしい……\c"
Ms002d009,"\h(《ヴァイス》)ラム酒　ぶどう酒……
いろんな酒が
ずらずら　ならんでいるぞ。\c"
Ms002d044,"\h(《ヴァイス》)酒なんかは　そのまま残ってる。
黒の空賊が　おそってきたら　これが
真っ先に　うばわれるらしい……\c"
Ms002d010,"\h(《ヴァイス》)バルアの戦艦からの戦利品だ。
おちゃめな　ラクガキが
なかなか似合ってるじゃん。\c"
Ms002d045,"\h(《ヴァイス》)バルアからの戦利品を前に
しゅくはいをあげた　ばっかりだったのに
こんなことに　なるとはな……\c"
Ms002d011,"\h(《ヴァイス》)伝声管（でんせいかん）だ。
オヤジのいる船長室に
つながっているんだよな。\e"
Ms002d012,"\h(《ダイン》)ヴァイス！　まだ　そんなところで
油を売っているのか！
さっさと来い！\c"
Ms002d013,"\h(《ヴァイス》)伝声管（でんせいかん）だ。
オヤジのいる船長室に
つながっているんだよな。\e"
