[Event Name],Task ID
Ms034a008,"\h(《ヴァイス》)でっかい　バルアの　エンブレムだ。
うーん　ここに　おれたちの空賊旗を
どーんと　かざるかな！\c"
Ms034a009,"\h(《ヴァイス》)おれの　デザインした空賊旗だ。
いつか船長になったら……って
ガキのころから　考えてたんだよな。\c"
Ms034a010,"\h(《ヴァイス》)おれたちの空賊旗だ。
アイカのヤツ　なかなか
イカす旗を考えてくれたよな。\c"
Ms034a011,"\h(《ヴァイス》)おれたちの空賊旗だ。
ファイナが考えただけあって
きれいに　まとまっているぜ！\c"
Ms034a012,"\h(《ヴァイス》)ここに　マルコが　かくれてたんだ。
あいつも　だいたんなことをやるよな。
空賊に向いてるかもしれない。\c"
Ms034a013,"\h(《ヴァイス》)ここは船長席だ。
まあ　おれは　かじを取ってるほうが
性に合ってるから必要ないけど。\c"
Ms034a014,"\h(《ヴァイス》)さすがは　バルアの皇子用に作られた
艦だけのことはあるな。
計器は最新のものばかりだ。\c"
Ms034a015,"\h(《ギルダー》)おっと　出港は
ちょいと待ってくれや。
おまえに話があるんだ。\c"
Ms034a016,"\h(《ヴァイス》)さて　と……
そろそろ出発するかな？\e"
Ms034a017,"\h(《出発しようかな？》)「出発するぜ！」
「もう少し船内を　うろつこう」\e"
Ms034a018,"\h(《ヴァイス》)よーし　行くぜ！
デルフィナス　全速前進！\c"
Ms034a019,"\h(《ヴァイス》)せっかくだから
もう少し船内を
うろついてみるかな。\c"
Ms034a020,"\h(《さてと……》)「よし　発進するか」
「もう少し船内を　うろつくか」\c"
Ms034a021,"\h(《ヴァイス》)敵の旗艦に　横づけされたまま
艦を動かすのは　きけんだ。
甲板戦で　相手を　げきたいしよう！\c"
M01110000,"\h(《ロレンス》)くそっ　船のそんしょうが大きい……
おれの　うでなら　持ちこたえられるが
さっさと修理をするんだな。\e"
M01110001,"\h(《どうする？》)「かじを取る」
「もう少し船内をまわる」\e"
M01110002,"\h(《ロレンス》)そうか　では交代だ。
気をつけろよ。\c"
M01110003,"\h(《ロレンス》)そうか。
さっさと修理を
したほうがいいぞ。\c"
M01110004,"\h(《ロレンス》)ここは　おれに任せて
あんたは　さっさと甲板に行きな。\c"
M01140000,"\h(《ピンタ》)たいへんだピン！
ちょっと修理したくらいじゃ
追いつかないピン！\c"
M05100000,"\h(《ハンス》)機体の　そんしょうが大きすぎます！
なんとか持ちこたえていますが
早急に　修理をしなければ！\c"
M07060000,"\h(《ドン》)ちっ　こいつは　ちょっと
あつかい　づらいぜ。
早く修理してくれよ　ヴァイス！\c"
M07060001,"\h(《どうする？》)「かじを取る」
「もう少し船内をまわる」\c"
M07060002,"\h(《ドン》)そうかい？
かなり　きけんな状態だぜ。
気をつけろよ！\c"
M07060003,"\h(《ドン》)まあ　いいけどよ。
さっさと修理を　しねえと
ヤバイぜ。\c"
M08070000,"\h(《モエギ》)ああ……
船も　みなさんも　無事に
港へ帰れると　よいのですが……\c"
M14000000,"\h(《ブラバム》)そんしょうが　はげしいぞい！
これ以上の　せんとうは無理じゃ！
早く　修復せんと　いかんぞい！\c"
Mp0010000,"\h(《アイカ》)ちょっと　ヴァイス！
もたもたしてないで　さっさと
船を回復させてよ！\c"
Mp0020000,"\h(《ファイナ》)ヴァイスさん！
かなり　きけんな状態です！
早く修理を　してください！\c"
"",a034ab.mld
"",a034ac.mld
"",a034ad.mld
"",me034h.sct
"",M0233
"",m5340000
