[Event Name],Task ID
M00040000,"\h(《パウ》)パウパウ！
パウパウ！\c"
M01000002,"\h(《ポリー》)エスペランザってのは
流れ者や　バルア兵くずれが
住みついてんだってね。\e"
M01000003,"\h(《ポリー》)うちの人も　もしかしたら
エスペランザに流れ着いてるかも
しれないねえ。\c"
M01000004,"\h(《ポリー》)うちの人は　エスペランザに
いるかと思ったんだが
結局　見つからなかった……\e"
M01000005,"\h(《ポリー》)いったい　どこにいるんだろう。
まさか　サルガッソーに
ちょうせんしたりなんかは……\c"
M01000006,"\h(《ポリー》)やっと　サルガッソーを　ぬけたね。
サルガッソーで　あの人と会えて
こんなに　うれしいことはないよ。\e"
M01000007,"\h(《ポリー》)ありがとう　ヴァイス！
あんたの船に乗って
本当に良かったよ！\c"
M01000008,"\h(《ポリー》)ああ　ついに　サルガッソーを
抜けちまったね……\e"
M01000009,"\h(《ポリー》)なんだか　あの人に会えそうな
気がしてたんだけど……
気のせいだったかねえ……\c"
M01000010,"\h(《ポリー》)なんだか　さわがしいねえ。
砲げき戦には勝ったんじゃ
なかったのかい？\c"
M01000011,"\h(《ポリー》)ようやく三日月島に　もどるんだね。
うちの人にも会えたし
本当に　いい航海だったよ。\c"
M01000012,"\h(《ポリー》)東の果てまで行ったってのに
結局うちの人は　いなかったねえ。
いったい　どこにいるんだか……\c"
M01000013,"\h(《ポリー》)氷だらけのところに行くんだろ？
あったかーいもんを
たっぷり食べなきゃねえ。\c"
M01000014,"\h(《ポリー》)氷の大陸なんかには　さすがに
うちの人は　いないと思うけど……
どこにいるんだかねえ……\c"
M01000015,"\h(《ポリー》)雲の下まで行こうってんだ。
いっぱい食べておかなきゃ
ダメだよ。\c"
M01000016,"\h(《ポリー》)バルア大陸の下に　もぐるってね。
まさか　そんなとこには
うちの人は　いないだろうねえ……\c"
M01000017,"\h(《ポリー》)ファイナちゃん　元気がないね。
明るく　ふるまっちゃいるけど
あたしには　お見通しさ。\e"
M01000018,"\h(《ポリー》)ただでさえ少食な子なのに
ここのところ　食べる量が
ずいぶん減ってるんだよ。\c"
M01000019,"\h(《ポリー》)ずいぶん　いろいろなところに
行ったけど……うちの人は
いったい　どこにいるんだか……\c"
M01000020,"\h(《ポリー》)エンリックの元気がないねえ。
好物の　ソライワシグラタンも
残しちまうなんて……\e"
M01000021,"\h(《ポリー》)よっぽど　つらいことが
あったみたいだねえ……\c"
M01000022,"\h(《ポリー》)ずいぶん色んなところに
行ったけど……うちの人は
いったい　どこにいるんだか……\c"
M01000023,"\h(《ポリー》)もうすぐ　エンリックと
お別れなんだってねえ……\e"
M01000024,"\h(《ポリー》)それまでは　あの子の好物を
いっぱい作ってやろうかねえ。\c"
M01000025,"\h(《ポリー》)あたしらの　オーシャンに
変なものが出てきたねえ。
まったく気味が悪いったら。\c"
M01000026,"\h(《ポリー》)帰ってきたら　好きなもんを
なんでも作ってやるよ。
がんばってきな　ヴァイス！\c"
M01000027,"\h(《ポリー》)えっ？　氷の大陸に
ドラクマさんが　いたのかい？\e"
M01000028,"\h(《ポリー》)そうかい……あの人も
モービス以外に目を向けりゃ
幸せになれると思うんだけどね。\c"
M04090000,"\h(《カリファ》)月のすがたを写しし島
新しき　すがたにて　そなたを待つ。\e"
M04090001,"\h(《カリファ》)赤い月の　お告げじゃ。
旅の助けとするがよい。\c"
M04090002,"\h(《カリファ》)氷に　とざされし街にて
おおいなる　おどろきが
そなたを　むかえるであろう。\e"
M04090003,"\h(《カリファ》)赤い月の　お告げじゃ。
旅の助けとするがよい。\c"
M04090004,"\h(《カリファ》)今は　つばさを休める時。
さらなる世界の開きは近い。\e"
M04090005,"\h(《カリファ》)赤い月の　お告げじゃ。
旅の助けとするがよい。\c"
M04090006,"\h(《カリファ》)地の底にて待つ者
浅き　まどろみにて
目覚めの時を待つ。\e"
M04090007,"\h(《カリファ》)赤い月の　お告げじゃ。
旅の助けとするがよい。\c"
M04090008,"\h(《カリファ》)つばさを休める地
なつかしき人　そなたを待つ。\e"
M04090009,"\h(《カリファ》)赤い月の　お告げじゃ。
旅の助けとするがよい。\c"
M04090010,"\h(《カリファ》)へびの　ふところにて
強大なる敵　あらわれ
わかれを　もたらす。\e"
M04090011,"\h(《カリファ》)赤い月の　お告げじゃ。
旅の助けとするがよい。\c"
M04090012,"\h(《カリファ》)つばさに力を　たくわえよ。
光のめぐみなき地にて
そなたを待つものあり。\e"
M04090013,"\h(《カリファ》)赤い月の　お告げじゃ。
旅の助けとするがよい。\c"
M04090014,"\h(《カリファ》)つばさの集う地への道
そなたを　はばむ　黒いかげ　あらわる。\e"
M04090015,"\h(《カリファ》)赤い月の　お告げじゃ。
旅の助けとするがよい。\c"
