[Event Name],Task ID
MC0020000,"\h(《ラミレス》)ガルシアン閣下。
アルマダの提督　全員が
集合いたしました。\e"
MC0020001,\h(《ガルシアン》)うむ。\e
MC0020002,"\h(《ガルシアン》)しょくん　
わざわざ　集まってもらったのは
他でもない。\e"
MC0020003,"\h(《ガルシアン》)テオドーラ陛下が　おさがしの
「銀の文明の民」を
ついに　とらえることに成功した。\e"
MC0020004,\h(《老将》)おお　なんと！\e
MC0020005,"\h(《大男》)そいつは　おどろきだ！
いったい　だれが　つかまえたんだ？\e"
MC0020006,"\h(《アルフォンソ》)フフフ……
もちろん　このアルフォンソに
決まってるでは　ありませんか。\e"
MC0020007,"\h(《アルフォンソ》)わたしが　あの娘を発見したのですよ。
部下の　はんらんの　おかげで
取りにがして　しまいましたがね。\e"
MC0020008,"\h(《グレゴリオ》)テオドーラ陛下も
さぞや　お喜びのことじゃろう。\e"
MC0020009,"\h(《グレゴリオ》)失われた古代文明の知恵（ちえ）が
わがバルアに　さらなるはんえいを
もたらしてくれるとよいがのう。\e"
MC0020010,"\h(《ビゴロ》)それより「銀の文明の民」てのは
女なのかよ？
そいつはゴキゲンだ！\e"
MC0020011,"\h(《ビゴロ》)年は？　美人なんだろうな？
少しくらい鼻っ柱の強いほうが
おれは好みなんだがな。\e"
MC0020012,"\h(《ベレーザ》)残念ね　ビゴロ。
あなたの好みとは正反対の
無口で　おとなしい少女よ。\e"
MC0020013,"\h(《ベレーザ》)その少女の名はファイナ。陛下の
おられる　バルア宮殿（きゅうでん）に
まもなく　送られるはずよ。\e"
MC0020014,"\h(《デ・ロッコ》)ヒヒヒヒ……　さすがは　ベレーザ提督。
諜報担当（ちょうほうたんとう）だけに
お耳が早い。\e"
MC0020015,"\h(《デ・ロッコ》)兵器開発担当の　ボクとしては
「銀の文明」の失われた技術に
きょうみが　あるなァ。キヒヒヒッ！\e"
MC0020016,"\h(《ガルシアン》)わたしは　これより王宮に　むかい
テオドーラ陛下に「月晶（げっしょう）」
たんさくの許可を　いただいてくる。\e"
MC0020017,"\h(《ガルシアン》)「銀の文明の民」に　案内させ
世界に散らばった　６つの月晶を
すべて　手に入れるのだ。\e"
MC0020018,\h(《ガルシアン》)……それと　アルフォンソ。\e
MC0020019,"\h(《ガルシアン》)おまえは　いつわりの報告を行ったな。
その罪により
オーシャン方面　司令官の任を解く。\e"
MC0020020,"\h(《ガルシアン》)しばらくの間　モンテスマ大陸で
きんしん　しておれ。\e"
MC0020021,"\h(《アルフォンソ》)わ　わたしが報告を　いつわったですと？
ハハハ　とつぜん　なにを
言い出すのですか。\e"
MC0020022,"\h(《ガルシアン》)空賊の　しゅうげきを受け
おまえは　部下と　艦をすてて
一人で　だっしゅつしたそうだな。\e"
MC0020023,"\h(《ガルシアン》)おまえの艦は　空賊たちから
解放され　先ほど　きかんした。
すべては報告ずみだ。\e"
MC0020024,\h(《アルフォンソ》)ぬうう……\e
MC0020025,"\h(《ガルシアン》)わが　アルマダは　無敵の艦隊。
敵に　せなかを見せることは許さぬ。
一同　きもに命じておけ！\e"
MC0020026,"\h(《ガルシアン》)では　かいさんだ。
いつでも出港できるよう
艦の整備を　おこたるな。\e"
MC0020027,\h(《一同》)はっ！\e
MG0080000,\h(《ファイナ》)ラミレス……\e
MG0080001,\h(《ラミレス》)…………\e
MG0080002,"\h(《ファイナ》)ラミレス……どうして!?
どうして　あなたが
バルアに　いるの!?\e"
MG0080003,"\h(《ファイナ》)長老さまたちの言いつけを
あなたは　わすれてしまったの!?\e"
MG0080004,\h(《ラミレス》)…………\e
