[Event Name],Task ID
MF0040000,\h(《ヴァイス》)なんだ　この　デカい石は？\e
MF0040001,"\h(《ファイナ》)この下には
「タルタスの穴」という　大きな穴が
広がっている　といわれています。\e"
MF0040002,"\h(《ファイナ》)その　大きな穴の　おくに
黄のギガスと月晶が
ねむっているはずです。\e"
MF0040003,"\h(《ファイナ》)この神殿は　銀の文明の民が
ギガスと月晶を　ふういんするために
建てたものだと思います。\e"
MF0040004,"\h(《ドラクマ》)クサいものにはフタをしろ……
というわけか。\e"
MF0040005,"\h(《アイカ》)でも　これじゃ　ギガスは
外に出てこれないけど……\e"
MF0040006,"\h(《アイカ》)あたしたちも
月晶を取りにいけないね。\e"
MF0040007,"\h(《ヴァイス》)たしかに　な……
どうしようか。\e"
MF0040008,"\h(　)おい！
なんだ　きさまらは!!\e"
MF0040009,"\h(《調査兵》)ここは　わが　バルアの
最重要きみつ地点だ。
見た人間は生かして帰すわけにはいかん！\e"
MF0050000,"\h(《バルア兵》)ひいい……ま　まいった！
許してくれーっ！\e"
MF0050001,"\h(《アイカ》)じゃ　助けるかわりに教えてよ。
このデッカい石のフタを
開ける方法ってないの？\e"
MF0050002,"\h(《バルア兵》)そ　そりゃムリだな。
なにしろ　軍が総出でやっても
開かなかったんだ。\e"
MF0050003,"\h(《バルア兵》)まあ　ここは　バルアの空域だし
おエラいさんは　後でゆっくり
開けようって考えらしいぜ。\e"
MF0050004,"\h(《ドラクマ》)フム……
たしかに　手の内に　あるだけに
あせる必要はないな。\e"
MF0050005,"\h(《ヴァイス》)それにしても
最重要きみつ地点って　言うわりには
ずいぶん　けいびが手うすだな。\e"
MF0050006,"\h(《バルア兵》)そりゃ　今　うちの軍は
ナスル首都こうりゃくの準備で
大いそがしだからな。\e"
MF0050007,"\h(《アイカ》)何ですって!?
バルアは　ナスルと
戦争を　するつもりなの!?\e"
MF0050008,"\h(《バルア兵》)ら　らしいぜ。
おれのような　ペーペーは
よく知らないけどな。\e"
MF0050009,"\h(《バルア兵》)それに最近　モービスとかいう
デカいクジラが現れるらしくて
みな　その　けいびに出てるんだ。\e"
MF0050010,"\h(《ドラクマ》)何だと!?
今　モービスと言ったか!?\e"
MF0050011,"\h(《ドラクマ》)正直に答えろ！
このあたりの空域に　ヤツが……
モービスが　いるんだな!?\e"
MF0050012,"\h(《バルア兵》)よ　よくは知らないが
きのう　けいびの艦隊が　きりの中で
見かけたって言ってたぜ。\e"
MF0050013,"\h(《ドラクマ》)そうか……ならば
まだ　この大陸の　どこかに
いるはずだな。\e"
MF0050014,"\h(《ドラクマ》)今の話を聞いたか。
とうとう　モービスと
決着をつける時が来たぞ。\e"
MF0050015,"\h(《ドラクマ》)今までは月晶さがしに
つきあってきたが　今度は
わしに　つきあってもらうぞ。\e"
MF0050016,"\h(《どうする？》)「わかった　つきあうよ」
「勝ち目ないと思うぜ……」\e"
MF0050017,"\h(《ヴァイス》)どうやら黄の月晶は
すぐに手に入りそうもないしな。
わかった　つきあうよ。\e"
MF0050018,"\h(《ドラクマ》)当たり前だ。
もともと　わしの航海の目的は
モービスなのだからな。\e"
MF0050019,"\h(《ドラクマ》)ラムキャノンを取り付けたのは
この日のためだ。今度こそ……
ヤツを　この手でたおす！\e"
MF0050020,"\h(《ヴァイス》)うーん……リトルジャックでは
あの　モービスには
勝ち目ないと思うぜ……\e"
MF0050021,"\h(《ドラクマ》)バカ者！
戦う前から「勝ち目がない」
などと言うやつがあるか！\e"
MF0050022,"\h(《ドラクマ》)ラムキャノンを取り付けたのは
この日のためだ。今度こそ……
ヤツを　この手でたおす！\e"
M01250000,"\h(《どうする？》)「リトルジャックに　きかんする」
「たんさくを　つづける」\c"
M01250001,"\h(《どうする？》)「デルフィナスに　きかんする」
「たんさくを　つづける」\c"
M01250002,"\h(《ヴァイス》)この　きょだいな石板の下に
ギガスが　ふういんされているのか……\c"
M01250003,"\h(《エンリック》)この石板の下に
黄の月晶が　ギガスと共に
ふういんされているはずだ。\e"
M01250004,"\h(《エンリック》)ここから　タルタスの穴に
入るのは　ムリだろう。大陸の下の
地溝（ちこう）地帯に　行ってみよう。\c"
"",k8030000
"",M5250000
"",a125cf04.mld
"",a125cf04.mld
"",e6f004
"",M0374
"",a125cf04.mld
"",a125cf05.mld
"",a125cf05.mld
"",e6f005
"",M0376
"",a125cf05.mld
