[Event Name],Task ID
MD0130000,"\h(《ベレーザ》)喜ぶ気持ちもわかるけれど
この世界には
まだ５つの月晶が残っているのよ。\e"
MD0130001,"\h(《ベレーザ》)バルアは　あまくはないわ。
次もこんなに
うまくいくとは限らないわよ。\e"
MD0130002,"\h(《ヴァイス》)ああ　そうかもしれないな。
だけど　おれたちは　
きっと月晶を手に入れてみせるぜ。\e"
MD0130003,"\h(《ヴァイス》)バルアなんかに
この世界を　メチャクチャに
されちゃたまらないからな。\e"
MD0130004,"\h(《ファイナ》)ヴァイスさん。
このナスルから　はるか西　
サウスオーシャンの　かなたに……\e"
MD0130005,"\h(《ファイナ》)緑の月の守りを受けし
大陸があると言われています。
行ってみませんか？\e"
MD0130006,"\h(《ヴァイス》)ホントか　ファイナ!?
なんてこった……
オーシャンの向こうに大陸があるなんて！\e"
MD0130007,"\h(《ファイナ》)ええ。
緑の月晶は　きっと　その大陸に
ふういんされているはずです。\e"
MD0130008,"\h(《ベレーザ》)フフ　モンテスマ大陸のことね。
わが　バルア軍は
すでに　モンテスマに進出しているわよ。\e"
MD0130009,"\h(《ベレーザ》)それに　サウスオーシャンは
強い逆風が　ふく空域。
そんな船で　こえるのは　ムリね。\e"
MD0130010,\h(《ドラクマ》)いや　そうでもないぞ。\e
MD0130011,"\h(《ドラクマ》)おまえの艦のエンジンは　もらった。
あれだけの出力が　あれば
サウスオーシャンも　こえられる。\e"
MD0130012,"\h(《ベレーザ》)何ですって!?
それじゃ　わたしたちは
どうやって帰ればいいの？\e"
MD0130013,"\h(《アイカ》)歩いて帰ってもらうことに
みんなで決めたの。
あたしたちを　ダマした　ばつよ。\e"
MD0130014,"\h(《アイカ》)「さばくを歩いた者にしか
　さばくの大きさは　わからない」
だったよね　たしか？\e"
MD0130015,\h(《ベレーザ》)歩いて……\e
MD0130016,"\h(《ベレーザ》)……フフッ。
どうやら　一本とられたみたいね。\e"
MD0130017,"\h(《ベレーザ》)まさか　さばくの大きさを知るチャンスを
いただけるとはね……\e"
MD0130018,"\h(《ベレーザ》)今回は　わたしの負けだわ。
でも　あなたが思っているより
バルアは大きな力を持っている。\e"
MD0130019,"\h(《ベレーザ》)それに　モンテスマに
たどりつける保証は　どこにもないのよ。\e"
MD0130020,"\h(《ベレーザ》)それでも　あなたは行くの？
考え直すなら　今のうちよ。\e"
MD0130021,\h(《ヴァイス》)保証なんて　船乗りには　いらないさ。\e
MD0130022,"\h(《ヴァイス》)見たことのないものを見たい。
行ったことのない場所に行ってみたい。\e"
MD0130023,"\h(《ヴァイス》)この　デカい世界の　すみずみまで
足あとを　きざみこむのが　おれの夢さ。
だれにも　ジャマは　させないぜ。\e"
MD0130024,"\h(《ベレーザ》)……わかったわ。
ボウヤ　また会いましょう。
航海の無事を　いのってるわ。\e"
MD0130025,\h(《ベレーザ》)ボウヤ。\e
MD0130026,"\h(　)「猛き赤の月晶」を
　手に入れた。\e"
"",e6d013
"",a204ad13.mld
"",a204ad13.mld
"",a204ad13_2.mld
"",a204ad13_2.mld
"",a204ad13_efe.mld
"",a204ad13_efe.mld
"",M0329
"",a204ad13.mld
"",a204ad13_2.mld
"",a204ad13_efe.mld
